borza,par,volume,price
Bithumb,BTC/KRW,"$335,159,000",$4241.20
Bitfinex,BTC/USD,"$251,698,000",$4124.50
GDAX,BTC/USD,"$129,735,000",$4134.19
Bittrex,NEO/BTC,"$128,392,000",$4084.88
OKCoin.cn,BTC/CNY,"$126,882,000",$4192.86
BTCC,BTC/CNY,"$116,466,000",$4193.40
Huobi,BTC/CNY,"$110,211,000",$4201.20
Bitstamp,BTC/USD,"$106,097,000",$4116.36
bitFlyer,BTC/JPY,"$96,546,000",$4156.36
Kraken,BTC/EUR,"$86,459,700",$4144.14
Gemini,BTC/USD,"$85,291,500",$4131.47
Poloniex,ETH/BTC,"$82,830,200",$4151.95
Korbit,BTC/KRW,"$78,465,800",$4241.20
Poloniex,BTC/USDT,"$77,299,900",$4119.05
Coinone,BTC/KRW,"$70,038,800",$4242.52
Kraken,BTC/USD,"$56,847,800",$4151.97
Binance,NEO/BTC,"$54,380,500",$4030.35
Bittrex,BTC/USDT,"$48,186,900",$4101.05
Bittrex,ARK/BTC,"$45,300,900",$4128.90
HitBTC,BCC/BTC,"$42,348,100",$4122.52
Bittrex,ETH/BTC,"$36,120,300",$4164.52
itBit,BTC/USD,"$32,201,300",$4128.42
Gemini,ETH/BTC,"$30,575,700",$4154.35
Bittrex,OMG/BTC,"$30,079,800",$4049.99
Bitfinex,IOT/BTC,"$26,955,200",$4107.98
Poloniex,LTC/BTC,"$25,300,800",$4158.97
CHBTC,BTC/CNY,"$24,777,600",$4194.77
Kraken,ETH/BTC,"$23,194,800",$4155.73
Bitfinex,ETH/BTC,"$21,952,700",$4155.07
Poloniex,XRP/BTC,"$21,773,400",$4175.09
Bittrex,BCC/BTC,"$18,544,000",$4122.17
GDAX,BTC/EUR,"$17,716,300",$4176.64
BTCC,BTC/USD,"$17,326,400",$4162.50
Bittrex,PAY/BTC,"$16,619,700",$4170.01
Bitstamp,BTC/EUR,"$14,853,100",$4135.68
Bittrex,STRAT/BTC,"$14,306,400",$4166.57
SZZC,BTC/CNY,"$13,775,100",$4159.55
Binance,BNB/BTC,"$12,546,500",$4115.94
YoBit,ETH/BTC,"$12,352,300",$4140.61
GDAX,ETH/BTC,"$12,039,300",$4162.78
Poloniex,DGB/BTC,"$11,942,700",$4023.80
Poloniex,STR/BTC,"$11,591,500",$4251.14
