date,tid,price,amount,type
1503082472,18776518,4154.99,0.08610000,0
1503082457,18776513,4145.52,0.06000000,1
1503082448,18776507,4160.70,0.01367700,0
1503082440,18776506,4160.72,0.06028499,0
1503082440,18776505,4160.72,0.29514428,1
1503082440,18776504,4160.72,0.89900000,1
1503082439,18776500,4155.92,0.00470000,0
1503082438,18776499,4155.92,0.24530000,1
1503082438,18776498,4155.92,0.05000000,1
1503082438,18776497,4155.92,0.05000000,1
1503082438,18776496,4155.92,0.20000000,1
1503082438,18776495,4155.92,0.02500000,1
1503082428,18776490,4159.73,0.24830000,0
1503082427,18776488,4159.73,0.05000000,1
1503082427,18776487,4159.73,0.05000000,1
1503082427,18776486,4159.73,0.10000000,1
1503082427,18776485,4159.73,0.05000000,1
1503082426,18776484,4159.73,0.24530000,1
1503082426,18776483,4159.73,0.08440000,1
1503082423,18776482,4160.78,0.00274898,0
1503082417,18776480,4160.32,0.02000000,0
1503082414,18776476,4159.73,0.11000000,0
1503082414,18776475,4159.68,0.05090000,0
1503082408,18776474,4160.00,5.31530237,1
1503082407,18776473,4159.77,4.99999763,0
1503082407,18776472,4159.71,2.40430000,0
1503082407,18776471,4159.70,0.72000000,0
1503082407,18776470,4159.68,1.56040000,0
1503082405,18776469,4159.70,0.17894113,0
1503082405,18776468,4155.97,0.02326394,0
1503082400,18776465,4155.92,0.02500000,1
1503082400,18776464,4155.97,0.00173606,0
1503082400,18776463,4145.54,0.03472081,1
1503082400,18776462,4155.92,0.01720789,1
1503082398,18776461,4151.53,0.03000000,0
1503082398,18776460,4146.50,0.15305211,0
1503082397,18776457,4146.50,0.05000000,0
1503082395,18776456,4155.97,0.02734000,1
1503082394,18776455,4157.44,0.05000000,0
1503082393,18776452,4157.45,0.07176481,0
1503082392,18776451,4159.51,0.72320000,1
1503082391,18776448,4159.51,0.01798556,1
1503082391,18776447,4160.00,5.66197153,1
1503082390,18776446,4160.28,0.55957681,0
1503082390,18776445,4160.00,2.40560000,1
1503082388,18776444,4160.00,0.12000000,1
1503082388,18776443,4155.99,4.40182847,0
1503082387,18776442,4155.95,2.41060000,0
1503082385,18776441,4155.99,4.22817153,0
1503082385,18776440,4155.93,0.04910000,0
1503082384,18776439,4155.93,0.13000000,0
1503082384,18776438,4155.92,0.59272847,0
1503082380,18776434,4140.01,0.64016212,0
1503082380,18776433,4140.01,0.59418328,0
1503082380,18776432,4140.01,0.00352511,0
1503082378,18776430,4151.34,0.03150000,1
1503082372,18776429,4155.96,0.51210000,0
1503082371,18776428,4155.95,0.72260000,0
1503082363,18776421,4155.94,0.12002098,0
1503082358,18776420,4155.97,0.01200201,0
1503082352,18776414,4160.30,0.96370000,0
1503082352,18776413,4160.28,1.56040000,0
1503082349,18776412,4160.32,1.06469011,0
1503082349,18776411,4160.31,0.89900000,0
1503082348,18776410,4160.30,0.01225788,0
1503082348,18776407,4155.63,0.16000000,0
1503082344,18776398,4155.64,2.47223493,0
1503082343,18776397,4151.39,0.18000000,0
1503082343,18776396,4151.37,0.11700000,0
1503082343,18776395,4151.34,0.13775517,0
1503082339,18776391,4151.36,0.68980000,0
1503082337,18776390,4151.36,0.12075073,0
1503082337,18776389,4151.36,0.02102180,0
1503082333,18776385,4148.85,0.05709085,1
1503082332,18776384,4151.38,0.34469000,0
1503082331,18776381,4151.38,0.76553000,0
1503082331,18776380,4151.38,2.07785000,0
1503082330,18776378,4142.00,0.09767300,1
1503082330,18776376,4151.38,2.86699010,0
1503082330,18776375,4148.85,0.04000000,0
1503082329,18776372,4151.39,0.06655170,0
1503082329,18776371,4151.39,0.19000000,0
1503082329,18776370,4148.85,0.10500000,0
1503082328,18776369,4148.85,0.12640221,0
1503082328,18776368,4148.83,0.01404609,0
1503082328,18776367,4148.00,0.50000000,0
1503082327,18776366,4148.83,0.08075391,1
1503082326,18776365,4148.85,0.11059691,0
1503082326,18776362,4148.83,0.37328658,1
1503082325,18776361,4142.00,0.02000000,1
1503082323,18776340,4148.85,0.02299098,0
1503082322,18776330,4148.83,0.39928876,0
1503082320,18776328,4148.85,0.00300990,0
1503082318,18776327,4148.85,0.01547460,0
1503082314,18776317,4148.87,0.07220324,0
1503082314,18776316,4151.33,0.04749272,0
1503082314,18776315,4148.88,0.07669772,0
1503082314,18776314,4148.88,0.44716488,0
1503082313,18776313,4148.88,0.47613740,0
1503082312,18776312,4148.88,0.00150000,1
1503082309,18776310,4151.35,0.08326137,0
1503082306,18776302,4151.36,0.11935716,0
1503082299,18776299,4145.57,0.04000000,1
1503082289,18776292,4155.64,1.07152463,0
1503082282,18776289,4160.28,0.03535207,0
1503082282,18776288,4160.28,0.05776654,0
1503082277,18776286,4151.79,0.82395400,1
1503082275,18776283,4160.31,0.03691928,0
1503082268,18776276,4151.79,0.15547186,1
1503082265,18776275,4160.35,0.12684657,0
1503082264,18776274,4151.77,0.28389900,1
1503082264,18776273,4151.77,0.17765802,1
1503082262,18776272,4160.35,0.01100000,0
1503082258,18776269,4151.77,0.28160000,1
1503082258,18776268,4151.78,4.16000000,1
1503082258,18776267,4158.88,0.00250000,1
1503082257,18776266,4158.89,0.47900000,1
1503082257,18776265,4158.89,0.07690000,1
1503082244,18776257,4164.84,0.01370016,0
1503082231,18776253,4164.90,0.01056278,0
1503082216,18776249,4158.03,0.11370662,1
1503082212,18776237,4158.03,1.77000000,1
1503082212,18776234,4158.03,0.29369796,1
1503082211,18776233,4158.03,0.36484413,1
1503082211,18776232,4166.64,0.47885232,0
1503082210,18776231,4158.03,0.24694043,1
1503082209,18776230,4158.03,1.10048020,1
1503082209,18776229,4158.03,0.02831523,1
1503082207,18776228,4166.67,0.46030513,0
1503082207,18776227,4166.67,0.02741958,0
1503082196,18776221,4166.68,0.20468903,0
1503082196,18776220,4166.65,0.22650386,0
1503082196,18776219,4166.67,0.10480102,0
1503082196,18776218,4166.67,0.76198656,0
1503082196,18776217,4166.65,0.47800000,0
1503082191,18776214,4166.68,0.01006062,0
1503082191,18776212,4166.65,1.56040000,0
1503082189,18776205,4166.67,0.86995200,0
1503082183,18776192,4166.73,0.01197102,0
1503082164,18776185,4166.92,0.04275000,0
1503082157,18776182,4166.97,0.00268615,0
1503082149,18776168,4168.87,0.00819300,0
1503082147,18776167,4158.07,0.10516993,1
1503082146,18776166,4158.07,0.47800000,1
1503082146,18776165,4158.07,0.47800000,1
1503082146,18776163,4158.07,0.47700000,1
1503082146,18776161,4158.07,0.47800000,1
1503082145,18776160,4158.07,0.47800000,1
1503082144,18776157,4168.90,0.11054099,0
1503082132,18776153,4169.03,0.00300000,0
