price,amount,type
4714.46,2.94700000,0
4714.45,0.21000000,0
4712.24,2.11980000,0
4712.02,1.18920655,0
4711.00,0.00111977,0
4710.00,0.33253079,0
4708.59,2.00000000,0
4707.78,0.33268760,0
4706.36,0.14000000,0
4706.04,1.56040000,0
4706.02,4.23660000,0
4703.68,0.07228914,0
4702.81,3.13020000,0
4702.79,0.18000000,0
4702.76,6.45170000,0
4702.50,0.00300000,0
4702.20,2.00000000,0
4701.00,2.15000000,0
4700.26,3.00000000,0
4700.00,1.89870892,0
4699.35,0.04000000,0
4699.34,7.00000000,0
4698.02,0.07228914,0
4696.97,0.02000000,0
4696.00,0.30000000,0
4695.59,6.14800000,0
4694.46,6.26040000,0
4694.44,50.05000000,0
4693.63,1.02063000,0
4692.35,0.07228914,0
4692.10,6.00000000,0
4692.00,0.25398309,0
4691.00,1.03000000,0
4690.00,0.11073104,0
4689.29,6.49000000,0
4689.00,0.03000000,0
4688.00,0.03000000,0
4687.00,0.03000000,0
4686.68,0.07228914,0
4686.00,1.03000000,0
4685.83,6.00000000,0
4685.00,0.03000000,0
4684.00,0.03000000,0
4683.00,0.03000000,0
4682.50,1.00300000,0
4682.00,0.03000000,0
4681.75,6.24034700,0
4681.02,0.07228914,0
4681.00,0.03000000,0
4680.10,1.72841254,0
4680.00,24.63169660,0
4679.00,0.03000000,0
4678.75,6.40830000,0
4678.00,0.03000000,0
4677.00,0.03000000,0
4676.00,0.03000000,0
4675.35,0.07228914,0
4675.00,0.33000000,0
4674.98,5.99000000,0
4674.40,1.87641150,0
4674.32,0.26005440,0
4674.00,0.03000000,0
4673.01,0.00650096,0
4673.00,0.03000000,0
4672.46,5.03396800,0
4672.27,0.37109354,0
4672.00,0.03000000,0
4671.12,0.12437488,0
4671.11,12.53020000,0
4671.09,50.08052644,0
4671.00,0.03169986,0
4670.14,5.00000000,0
4670.00,0.97310965,0
4669.68,0.07228914,0
4669.00,0.03000000,0
4668.00,0.03000000,0
4667.22,5.10380000,0
4667.12,0.10000000,0
4667.00,0.03000000,0
4666.00,0.67344986,0
4665.00,0.03000000,0
4664.74,4.70000000,0
4664.01,0.07228914,0
4664.00,0.03000000,0
4663.00,0.03000000,0
4662.50,0.00300000,0
4662.11,5.00000000,0
4662.00,0.03170314,0
4661.74,10.20630000,0
4661.50,6.00000000,0
4661.00,0.03000000,0
4660.00,2.03000000,0
4659.32,5.00000000,0
4659.00,0.03000000,0
4658.35,0.07228914,0
4658.00,0.03000000,0
4657.00,4.34122659,0
4656.00,0.03000000,0
4655.00,0.03000000,0
4654.00,0.03000000,0
4653.00,0.03170644,0
4652.68,0.07228914,0
4652.50,0.00300000,0
4652.00,0.03000000,0
4651.00,0.28000000,0
4650.76,0.29397822,0
4650.00,12.58893211,0
4649.78,3.50000000,0
4649.00,0.03000000,0
4648.00,0.03000000,0
4647.85,50.05000000,0
4647.01,0.07228914,0
4647.00,4.03000000,0
4646.00,0.03000000,0
4645.23,0.43420939,0
4645.00,0.03000000,0
4644.00,1.73170974,0
4643.00,0.03000000,0
4642.50,0.00300000,0
4642.00,0.03000000,0
4641.35,0.07228914,0
4641.10,0.00686691,0
4641.01,7.53792585,0
4641.00,0.03000000,0
4640.00,0.03000000,0
4639.00,0.06200000,0
4638.00,0.24895792,0
4637.00,0.03000000,0
4636.00,6.89000000,0
4635.68,0.07228914,0
4635.00,0.03171306,0
4634.00,0.03000000,0
4633.69,0.29000000,0
4633.00,0.03000000,0
4632.00,0.03000000,0
4631.44,0.20362590,0
4631.00,0.18000000,0
4630.30,3.50806643,0
4630.01,0.07228914,0
4630.00,0.28000000,0
4629.00,0.03000000,0
4628.00,0.03000000,0
4627.57,0.24100000,0
4627.00,0.03000000,0
4626.00,4.46171640,0
4625.00,0.03000000,0
4624.72,50.05000000,0
4624.35,0.07228914,0
4624.03,25.01250000,0
4624.02,0.02159400,0
4624.00,0.08264100,0
4623.00,1.03000000,0
4622.50,0.00300000,0
4622.00,0.03000000,0
4620.00,0.06041163,0
4618.68,0.07228914,0
4617.00,0.00171974,0
4613.01,0.07228914,0
4612.50,25.01550000,0
4612.00,0.25000000,0
4611.86,0.00110581,0
4611.00,0.05000000,0
4610.99,0.05280806,0
4609.94,0.50000000,0
4608.00,0.00172310,0
4607.35,0.07228914,0
4605.32,2.17140000,0
4603.00,0.20000000,0
4602.50,0.00300000,0
4602.00,0.25000000,0
4601.13,0.43000000,0
4601.00,25.06250000,0
4600.76,0.08194081,0
4600.00,1.94978205,0
4599.00,0.00172647,0
4595.00,0.06000000,0
4593.99,0.02000000,0
4592.99,0.03000000,0
4592.25,0.00134357,0
4592.00,0.02582200,0
4590.09,0.08500000,0
4590.01,0.05241491,0
4590.00,0.00172986,0
4589.53,16.67243168,0
4589.18,1.33215499,0
4587.80,0.20000000,0
4586.17,0.72439807,0
4586.00,0.07190000,0
4585.79,0.11624039,0
4585.00,1.63920000,0
4582.50,0.00300000,0
4581.00,0.00173326,0
4580.00,3.87702749,0
4578.08,25.01250000,0
4576.00,0.05843596,0
4575.00,1.02250000,0
4574.32,0.02371491,0
4574.00,0.62000000,0
4572.00,0.00173667,0
4571.26,0.41280963,0
4570.00,0.85000000,0
4567.00,0.10000000,0
4566.66,7.85986710,0
4566.07,0.02510698,0
4566.00,0.05105000,0
4565.32,2.17140000,0
4565.00,0.84847811,0
4563.00,0.00174009,0
4562.50,0.00300000,0
4562.00,0.03200000,0
4560.00,5.35217982,0
4559.00,0.22000000,0
4555.28,16.82268755,0
4554.00,0.00174353,0
4553.00,0.06579179,0
4552.56,0.10015381,0
4552.50,0.00300000,0
4551.86,0.02314438,0
4551.13,0.43000000,0
4551.06,0.20000000,0
4551.00,0.07084200,0
4550.12,0.04000000,0
4550.00,16.21127759,0
4549.00,2.00000000,0
4546.00,0.07800000,0
4545.00,1.00524698,0
4543.92,25.01250000,0
4542.50,0.00300000,0
4542.16,10.20630000,0
4541.63,2.00000000,0
4541.00,0.01000000,0
4540.00,0.18110000,0
4537.00,0.77061081,0
4536.00,0.00175045,0
4535.00,0.88008820,0
4533.31,0.50000000,0
4532.58,23.73633422,0
4531.00,0.01000000,0
4530.00,2.09671303,0
