date,tid,price,amount,type
1504190875,19728467,4718.69,0.16284127,0
1504190869,19728464,4714.46,0.15900000,1
1504190869,19728463,4714.46,0.21100000,1
1504190869,19728462,4714.46,0.21000000,1
1504190869,19728461,4714.46,0.21000000,1
1504190869,19728460,4714.46,0.21000000,1
1504190843,19728430,4721.04,0.53493353,0
1504190843,19728428,4720.00,0.02306571,0
1504190843,19728426,4720.00,0.29747947,0
1504190839,19728421,4720.00,0.00152053,0
1504190835,19728399,4714.45,0.15687209,1
1504190834,19728398,4714.45,0.18692791,1
1504190834,19728396,4714.46,2.11620000,1
1504190828,19728373,4714.46,0.66103152,1
1504190828,19728369,4714.46,0.03445479,1
1504190826,19728368,4720.00,0.07570332,0
1504190824,19728366,4720.00,0.09721398,0
1504190824,19728365,4714.45,0.02407209,1
1504190809,19728350,4720.00,0.13457056,0
1504190808,19728349,4720.00,0.49075362,0
1504190806,19728344,4720.00,0.07038842,0
1504190793,19728323,4722.00,0.00159117,0
1504190786,19728310,4723.00,0.00490724,0
1504190786,19728308,4722.99,0.01022100,0
1504190778,19728297,4718.00,0.09972615,1
1504190770,19728290,4723.99,0.00597200,0
1504190750,19728274,4724.99,0.69000000,0
1504190748,19728273,4724.99,0.00162098,0
1504190746,19728269,4718.41,0.01092552,1
1504190729,19728254,4724.99,2.48140000,0
1504190729,19728253,4718.41,0.28836964,1
1504190718,19728242,4724.99,0.65000000,0
1504190710,19728234,4725.00,1.00000000,0
1504190709,19728232,4725.00,0.01675164,0
1504190703,19728125,4725.00,1.34000000,0
1504190702,19728120,4725.00,0.00168405,0
1504190687,19728111,4725.00,0.01000000,0
1504190687,19728110,4720.00,2.00000000,0
1504190680,19728108,4725.00,1.50453732,0
1504190678,19728104,4718.01,0.58577317,1
1504190678,19728103,4718.80,0.20000000,1
1504190672,19728084,4725.00,0.01173637,0
1504190672,19728083,4720.00,1.99826363,0
1504190656,19728071,4720.00,0.00173637,0
1504190653,19728069,4725.00,0.01480000,0
1504190652,19728068,4718.81,0.04920000,1
1504190652,19728065,4725.00,2.01000000,0
1504190651,19728064,4718.81,0.00486187,1
1504190645,19728061,4725.00,0.00543764,0
1504190636,19728055,4725.00,2.01000000,0
1504190624,19728048,4720.34,2.00000000,1
1504190621,19728047,4725.00,1.23723841,0
1504190621,19728046,4725.00,0.77276159,0
1504190608,19728032,4725.00,0.00177681,0
1504190599,19728024,4725.00,2.01000000,0
1504190594,19728023,4724.99,0.64627792,1
1504190589,19728017,4725.00,0.07364287,0
1504190588,19728016,4725.00,0.12291436,0
1504190584,19728015,4725.00,1.87148342,0
1504190584,19728014,4724.99,0.03851658,0
1504190584,19728013,4720.00,0.10000000,0
1504190569,19727997,4724.99,0.01000000,0
1504190569,19727995,4720.00,2.00000000,0
1504190563,19727990,4724.99,0.00183124,0
1504190560,19727975,4724.99,0.09405218,0
1504190554,19727953,4724.99,2.01000000,0
1504190553,19727951,4724.99,0.01060000,0
1504190550,19727943,4724.99,0.01500000,0
1504190539,19727933,4724.99,2.01000000,0
1504190534,19727931,4718.80,2.83883835,0
1504190534,19727930,4718.89,0.10000000,1
1504190534,19727929,4719.85,0.00108051,1
1504190532,19727928,4720.00,2.01008114,1
1504190531,19727927,4720.00,0.72124446,1
1504190531,19727926,4722.39,0.03997033,1
1504190524,19727920,4725.00,0.21977849,0
