date,tid,price,amount,type
1503082483,18776534,0.07048999,3.33801490,0
1503082483,18776533,0.07048998,1.89000000,0
1503082483,18776532,0.07047720,0.10000000,0
1503082469,18776517,0.07047566,1.42296974,0
1503082469,18776516,0.07047565,1.78883126,0
1503082439,18776503,0.07047576,0.09967029,0
1503082297,18776296,0.07047629,0.80699659,0
1503082192,18776215,0.07047674,0.38711525,0
1503082190,18776210,0.07047674,21.89627075,0
1503082189,18776201,0.07047675,12.34381551,0
1503082189,18776200,0.07047675,16.17548000,0
1503082035,18776089,0.07039998,2.27300000,0
1503081927,18775990,0.07038900,1.07404817,1
1503081927,18775989,0.07038901,0.15489783,1
1503081924,18775986,0.07038900,2.13838072,1
1503081890,18775978,0.07039998,1.14000000,0
1503081859,18775961,0.07039998,0.20000000,0
1503081838,18775938,0.07039999,1.28741495,0
1503081837,18775936,0.07039999,0.20000000,0
1503081837,18775935,0.07039999,3.89029884,0
1503081837,18775934,0.07039999,20.00000000,0
1503081836,18775932,0.07039998,3.38001346,0
1503081835,18775926,0.07039998,0.15489783,0
1503081830,18775921,0.07039998,0.20000000,0
1503081820,18775916,0.07039999,14.17836300,0
1503081814,18775912,0.07040000,4.26000000,0
1503081599,18775748,0.07048834,0.10000000,1
1503081576,18775737,0.07050000,0.10000000,1
1503081227,18775512,0.07030075,1.78883126,0
1503081227,18775511,0.07033348,0.20000000,1
1503081225,18775507,0.07058000,0.50000000,1
1503081075,18775447,0.07060000,2.00000000,1
1503080649,18775199,0.07133975,2.09735159,0
1503080232,18774885,0.07134100,0.17086669,0
1503079998,18774660,0.07148294,0.01434000,0
1503079997,18774659,0.07134120,0.20000000,0
1503079988,18774641,0.07126584,0.17871407,0
1503079945,18774537,0.07124067,0.17120000,0
1503079896,18774464,0.07125510,0.16788557,0
1503079890,18774437,0.07125510,0.16780750,0
1503079691,18774246,0.07093756,0.50000000,0
1503079681,18774232,0.07112898,2.00000000,0
1503079666,18774217,0.07112880,0.18127068,0
1503079655,18774206,0.07112880,1.21355906,0
1503079602,18774079,0.07112880,0.18259764,0
1503079593,18774032,0.07112880,6.71500339,0
1503079588,18773999,0.07112880,2.92668500,0
1503079586,18773992,0.07112880,0.18017536,0
1503079540,18773927,0.07112845,0.39252400,0
1503079446,18773768,0.07112876,16.87081288,0
1503079368,18773671,0.07097999,1.98471400,0
1503079365,18773670,0.07097999,0.73736300,0
1503079358,18773666,0.07112892,3.92578939,0
1503079358,18773665,0.07098000,8.86192000,0
1503079356,18773664,0.07097999,4.11022539,0
1503079221,18773550,0.07097999,0.50000000,0
1503079218,18773548,0.07097999,0.47867800,0
1503079211,18773543,0.07097999,0.88961000,0
1503079211,18773541,0.07097999,0.26597700,0
1503079204,18773537,0.07097999,0.42019000,0
1503079200,18773535,0.07097999,0.31678500,0
1503079197,18773533,0.07097999,1.39508600,0
1503079080,18773433,0.07097999,1.33935500,0
1503079071,18773423,0.07097999,2.11544400,0
