date,tid,price,amount,type
1503082332,18776383,1.16514,0.91286,1
1503082332,18776382,1.16515,202.75890,1
1503082189,18776203,1.16895,330.00000,0
1503082188,18776196,1.16896,43.37197,0
1503081458,18775680,1.16500,252.88000,1
1503081453,18775679,1.16500,252.87999,1
1503081132,18775471,1.16500,54.32438,1
1503081055,18775435,1.16500,90.72740,1
1503081053,18775430,1.16501,9.27260,1
1503080811,18775289,1.16501,112.93194,0
1503080810,18775288,1.16500,637.89999,1
1503080806,18775279,1.16501,47.06806,1
1503080762,18775250,1.16501,25.17731,1
1503080761,18775249,1.16501,34.82269,1
1503080755,18775246,1.16502,330.43309,1
1503080755,18775245,1.16505,9.56691,1
1503080465,18775089,1.16898,20.05330,0
1503080465,18775088,1.16897,15.94000,0
1503080465,18775087,1.16896,15.00670,0
1503079969,18774618,1.16502,33.43329,1
1503079969,18774615,1.16510,15.00670,1
1503079809,18774318,1.16897,153.72000,0
1503079770,18774293,1.16897,0.34000,0
1503079769,18774292,1.16896,170.00000,0
1503079727,18774273,1.16895,52.85000,0
1503079725,18774271,1.16895,97.01459,0
1503079725,18774270,1.16895,25.38541,0
1503079663,18774214,1.16895,45.52000,0
1503079552,18773942,1.16821,42.28341,0
1503079552,18773941,1.16814,154.43542,0
1503079552,18773940,1.16814,183.45404,0
1503079531,18773910,1.16814,140.27728,1
1503079531,18773908,1.16814,43.18283,1
1503079515,18773886,1.16814,34.34499,1
1503079515,18773884,1.16814,4.69513,1
1503079507,18773876,1.16814,39.26739,1
1503079466,18773834,1.16814,173.84258,1
1503079465,18773833,1.16814,217.80510,1
1503079465,18773832,1.16814,119.65320,1
1503079464,18773831,1.16814,98.15190,1
1503079464,18773830,1.16814,217.80510,1
1503079464,18773828,1.16814,40.03629,1
1503079459,18773816,1.16814,45.65071,1
1503079438,18773757,1.16814,132.11810,1
1503079438,18773756,1.16814,217.80510,1
1503079438,18773755,1.16814,217.80510,1
1503079438,18773754,1.16814,217.80510,1
1503079437,18773753,1.16814,217.80510,1
1503079437,18773752,1.16814,217.80510,1
1503079437,18773751,1.16814,217.80510,1
1503079437,18773750,1.16814,217.80510,1
1503079437,18773749,1.16814,217.80510,1
1503079437,18773748,1.16814,217.80510,1
1503079437,18773747,1.16814,162.35599,1
1503079437,18773746,1.16814,55.44911,1
1503079436,18773745,1.16814,217.80510,1
1503079436,18773744,1.16814,217.80510,1
1503079436,18773743,1.16814,217.80510,1
1503079436,18773742,1.16814,217.80510,1
1503079436,18773741,1.16814,217.80510,1
