date,tid,price,amount,type
1503082357,18776417,38.11,0.00000200,1
1503082357,18776416,38.16,0.15000000,1
1503082357,18776415,38.20,6.44772800,1
1503082344,18776399,38.20,2.10454400,1
1503082340,18776393,38.20,4.41649300,1
1503082339,18776392,38.20,2.03123500,1
1503082269,18776278,38.21,0.15000000,1
1503082268,18776277,38.21,7.48711574,1
1503082250,18776262,38.21,0.47484700,1
1503082250,18776259,38.21,5.74335000,1
1503082157,18776181,38.29,55.31300000,1
1503082146,18776164,38.28,31.66953500,1
1503082145,18776159,38.28,2.59844000,1
1503081686,18775848,38.26,54.65861225,0
1503081686,18775846,38.26,0.15000000,1
1503081686,18775844,38.31,0.15000000,1
1503081685,18775843,38.36,0.15000000,1
1503081685,18775842,38.41,0.15000000,1
1503081684,18775838,38.45,0.26769102,1
1503081670,18775815,38.46,0.15000000,1
1503081651,18775801,38.51,0.15000000,1
1503081225,18775508,38.60,9.79299000,1
1503081225,18775506,38.60,1.41488300,1
1503081222,18775503,38.60,1.41488300,1
1503081222,18775502,38.60,1.26642000,1
1503081149,18775475,38.57,3.65814000,1
1503081092,18775457,38.55,2.92514000,1
1503081081,18775452,38.64,1.81074915,0
1503081081,18775451,38.63,0.18925085,0
1503081064,18775437,38.74,19.95534331,0
1503080930,18775344,38.77,10.85610910,0
1503080929,18775343,38.77,17.24500000,1
1503080929,18775342,38.60,3.67000000,0
1503080929,18775341,38.59,0.57348743,0
1503080928,18775338,38.58,1.85640229,1
1503080927,18775336,38.58,1.85640229,0
1503080812,18775290,38.53,0.00003057,1
1503080810,18775286,38.53,19.48694343,1
1503080806,18775280,38.53,5.01302600,1
1503080785,18775262,38.52,25.76000000,1
1503080720,18775231,38.52,1.21181000,1
1503080644,18775190,38.51,0.15000000,1
1503080236,18774891,38.55,21.85434982,1
1503080234,18774888,38.55,19.13000000,1
1503080234,18774887,38.55,8.38456600,1
1503080228,18774876,38.71,2.67059218,0
1503080171,18774825,38.52,2.32362000,1
1503080072,18774726,38.47,6.00000000,1
1503080006,18774672,38.52,0.25000000,0
1503079993,18774653,38.53,4.50000000,0
1503079979,18774630,38.53,0.50000000,0
1503079969,18774619,38.45,1.38230898,1
1503079969,18774616,38.46,0.15000000,1
1503079969,18774613,38.51,0.11780000,1
1503079893,18774456,38.55,2.25000000,0
1503079849,18774345,38.54,13.09530000,1
1503079812,18774320,38.51,0.03220000,1
1503079811,18774319,38.52,21.45000000,1
1503079744,18774276,38.52,2.43065540,0
1503079607,18774111,38.50,55.51762898,1
1503079607,18774110,38.50,7.11169600,1
1503079607,18774109,38.50,11.80500000,1
1503079607,18774108,38.50,0.13000000,1
1503079607,18774107,38.50,6.77962298,1
1503079607,18774106,38.50,0.97368102,1
1503079607,18774105,38.50,1.52325633,1
1503079606,18774103,38.50,0.72343967,1
1503079606,18774101,38.51,0.15000000,1
1503079606,18774097,38.52,0.15000000,1
1503079605,18774092,38.52,49.85000000,1
1503079605,18774088,38.56,0.15000000,1
1503079405,18773705,38.64,8.49999975,1
1503078663,18773129,38.65,10.00000000,1
1503078647,18773110,38.69,7.93340300,1
1503078646,18773109,38.69,6.57064800,1
1503078633,18773093,38.75,10.03948387,0
1503078434,18772576,38.83,1.25403000,1
1503078311,18772491,38.65,0.13274807,0
1503078302,18772470,38.72,13.37333944,1
1503078210,18772358,38.96,13.62243300,1
1503078196,18772332,38.96,8.42043121,0
1503078178,18772293,38.93,69.33204000,1
1503078178,18772292,38.93,1.21796000,1
1503077993,18772171,39.19,0.84445241,0
1503077854,18771968,38.90,0.00000472,1
1503077732,18771694,38.90,1.96350000,1
1503077702,18771566,38.90,40.00000000,1
1503077702,18771565,38.90,7.48392828,1
1503077702,18771563,38.95,0.00004972,1
1503077578,18771364,38.95,1.52425028,1
1503077578,18771363,38.95,1.52430000,1
1503077577,18771361,38.95,1.52430000,1
1503077577,18771355,38.95,1.52430000,1
1503077577,18771352,38.95,1.52430000,1
1503077577,18771349,38.95,1.52129658,1
1503077487,18771015,39.08,59.99995625,1
1503077478,18770920,39.08,19.99999975,1
1503077395,18770751,38.95,0.00300000,1
1503077395,18770750,39.00,2.00000000,1
1503077344,18770579,39.06,39.79999975,1
1503077344,18770578,39.06,0.20000000,1
1503077334,18770524,39.05,20.66488196,1
1503077324,18770477,39.05,3.13634100,1
1503077324,18770476,39.05,13.44698800,1
1503077324,18770473,39.05,31.03123600,1
1503077323,18770465,39.05,4.63519300,1
1503077090,18770093,39.11,14.16588804,1
1503077090,18770092,39.12,0.93000000,1
1503077084,18770085,39.12,9.18765339,1
1503076983,18769955,39.22,7.19000000,0
1503076983,18769954,39.21,2.97000000,0
1503076983,18769953,39.21,14.84000000,0
1503076852,18769875,39.25,25.00000000,0
1503076774,18769836,39.23,0.50000000,0
1503076708,18769769,39.10,1.03580000,1
1503076400,18769409,39.28,0.00000025,1
1503076397,18769396,39.29,0.13377059,0
1503076245,18769290,39.28,1.99999975,1
1503075857,18768941,39.37,0.00076200,1
1503075856,18768940,39.26,3.65919511,1
1503075855,18768939,39.26,0.40536542,0
1503075563,18768698,39.31,2.53752226,0
1503075327,18768459,39.30,23.86997431,1
1503075325,18768454,39.30,15.12717202,1
1503075314,18768451,39.29,3.74847000,1
1503075310,18768447,39.39,3.10464205,1
1503075308,18768445,39.39,1.96000000,0
1503075277,18768422,39.26,1.18154000,1
1503075258,18768408,39.25,0.80300000,0
1503075166,18768296,39.20,15.00000000,0
1503075043,18768204,39.13,1.04907113,1
1503075043,18768203,39.14,2.58073903,1
1503075043,18768201,39.14,1.03926097,1
1503075030,18768169,39.13,2.27763616,0
1503075030,18768168,39.12,3.72236384,0
1503075023,18768145,39.00,34.46114000,0
1503075020,18768143,38.98,16.50128104,1
1503075020,18768142,38.98,2.41711301,1
1503075020,18768141,38.98,2.13160595,1
1503075016,18768133,38.99,4.79558861,0
1503075013,18768122,38.99,49.79914300,0
1503074760,18767851,38.94,0.00000342,0
1503074759,18767850,38.94,1.52430000,0
1503074736,18767818,38.94,0.67629212,1
1503074427,18767502,38.91,18.77075302,1
1503074372,18767456,39.10,0.46073856,0
1503074372,18767455,39.10,2.32046376,0
1503074372,18767454,39.10,2.32161098,0
1503074137,18767113,39.09,2.99730000,0
1503074110,18767068,38.96,1.00000000,1
1503073937,18766844,38.96,12.72369512,1
1503073923,18766816,39.10,2.31855555,1
1503073919,18766801,39.10,26.33340315,1
1503073919,18766799,39.12,0.00013420,1
1503073918,18766797,39.12,11.04186580,1
1503073816,18766599,39.03,1.00000000,1
1503073572,18766355,39.21,14.88727340,1
1503073401,18766197,39.11,24.58987446,1
1503073046,18765855,39.38,0.12671407,0
1503073038,18765834,39.08,1.13803000,1
1503073037,18765832,39.08,1.13803000,1
1503072919,18765666,38.98,5.00000000,1
1503072892,18765649,38.96,4.72310000,1
1503072890,18765646,38.96,16.17219000,1
1503072764,18765504,39.19,1.01811687,0
1503072418,18765001,39.08,2.24963531,1
1503072418,18765000,39.08,34.67103998,1
1503072411,18764977,39.08,82.91624975,1
1503072407,18764969,39.07,3.82271027,0
1503072406,18764967,39.07,52.06000000,0
1503072404,18764960,39.07,3.82288176,1
1503072404,18764959,39.07,9.62732762,1
1503072197,18764498,39.35,2.00984848,0
1503072196,18764497,39.34,0.25000000,0
1503072173,18764430,38.93,0.25548285,1
1503072173,18764422,38.92,0.25548285,1
1503072172,18764420,38.92,0.25548285,1
1503072172,18764417,38.92,0.25548285,1
1503072171,18764413,38.92,0.25548285,1
1503072171,18764410,38.92,0.25548285,0
1503072171,18764407,38.92,0.25548285,0
1503072170,18764404,38.92,0.25548285,0
1503072169,18764393,38.88,0.25548285,1
1503072168,18764387,38.88,0.25548285,1
1503072168,18764385,38.88,0.25548285,1
1503072168,18764382,38.88,0.25548285,1
