date,tid,price,amount,type
1503082469,18776515,44.50,15.99470400,0
1503082469,18776514,44.49,25.66129600,0
1503082456,18776512,44.52,0.40437400,0
1503082456,18776511,44.51,26.11162600,0
1503082439,18776502,44.55,0.00041000,0
1503082439,18776501,44.53,23.92359000,0
1503082428,18776489,44.53,2.64400000,0
1503082417,18776479,44.56,24.34200000,0
1503082404,18776467,44.55,3.17700000,0
1503082404,18776466,44.51,5.23000000,0
1503082397,18776458,44.52,0.36112160,0
1503082393,18776454,44.52,0.00041500,0
1503082393,18776453,44.51,27.50258500,0
1503082382,18776437,44.52,12.62191200,0
1503082382,18776436,44.51,27.99393800,0
1503082381,18776435,44.29,3.38415000,0
1503082379,18776431,44.30,6.61585000,1
1503082370,18776427,44.54,45.00000000,0
1503082358,18776419,44.59,1.91400000,0
1503082357,18776418,44.30,20.00000000,0
1503082347,18776406,44.51,3.42573300,0
1503082346,18776405,44.50,28.62426700,0
1503082330,18776374,44.56,0.00145400,0
1503082329,18776373,44.51,28.37054600,0
1503082324,18776359,44.23,40.94097830,1
1503082324,18776356,44.23,0.12660000,1
1503082324,18776350,44.24,39.00000000,0
1503082324,18776347,44.24,15.00000000,0
1503082323,18776339,44.36,2.01000000,0
1503082323,18776333,44.40,0.56306300,1
1503082317,18776325,44.56,13.58889600,0
1503082317,18776324,44.52,28.88310400,0
1503082316,18776318,44.41,2.15000000,1
1503082307,18776307,44.57,11.57900000,0
1503082306,18776304,44.56,42.00000000,0
1503082306,18776303,44.55,44.41300000,0
1503082295,18776295,44.58,14.57822700,0
1503082295,18776294,44.57,29.42177300,0
1503082284,18776290,44.62,100.00000000,0
1503082275,18776282,44.62,5.39143636,0
1503082273,18776280,44.63,11.25100000,0
1503082250,18776263,44.72,0.00023400,0
1503082250,18776261,44.71,30.19976600,0
1503082239,18776256,44.72,3.70000000,0
1503082228,18776252,44.73,25.15600000,0
1503082228,18776251,44.72,5.52000000,0
1503082212,18776236,44.76,0.00047100,0
1503082212,18776235,44.75,16.29852900,0
1503082207,18776226,44.55,2.94869995,1
1503082207,18776225,44.64,2.05130005,1
1503082202,18776223,44.75,14.94400000,0
1503082189,18776206,44.74,16.60100000,0
1503082178,18776190,44.75,20.36900000,0
1503082167,18776188,44.75,0.74000000,0
1503082156,18776180,44.77,26.71600000,0
1503082155,18776179,44.64,1.11600824,1
1503082150,18776174,44.64,0.12645176,1
1503082150,18776173,44.65,3.75754000,1
1503082150,18776171,44.66,0.12436000,1
1503082150,18776170,44.68,0.99164824,1
1503082096,18776141,44.79,0.00045700,0
1503082096,18776140,44.79,32.63254300,0
1503082043,18776098,44.89,13.63000000,0
1503082043,18776097,44.88,4.10000000,0
1503082042,18776096,44.88,20.52000000,0
1503082042,18776095,44.82,39.00000000,0
1503082016,18776064,44.76,15.36000000,0
1503082001,18776042,44.76,23.16000000,0
1503081997,18776036,44.68,7.17566000,1
1503081993,18776032,44.68,9.89426861,1
1503081993,18776031,44.70,5.10573139,1
1503081990,18776029,44.79,9.99400000,0
1503081988,18776027,44.70,2.28366891,1
1503081975,18776001,44.80,40.33626733,0
1503081952,18775994,44.70,20.00000000,1
1503081887,18775975,44.70,60.88422800,1
1503081845,18775947,44.70,10.09955300,1
1503081795,18775903,44.81,2.06222651,0
1503081795,18775902,44.80,14.05500000,0
1503081732,18775877,44.70,1.62681870,1
1503081732,18775876,44.72,0.37318530,1
1503081709,18775871,44.72,2.62681470,1
1503081709,18775870,44.73,0.00019783,1
1503081707,18775866,44.73,17.74223117,1
1503081693,18775856,44.73,29.32400000,1
1503081688,18775855,44.73,5.52040800,1
1503081687,18775853,44.73,50.52701400,1
1503081687,18775852,44.74,0.59137200,1
1503081687,18775851,44.74,3.00000000,1
1503081686,18775849,44.74,34.79862800,1
1503081686,18775847,44.74,3.00000000,1
1503081682,18775834,44.73,3.00000000,1
1503081680,18775832,44.73,52.58683700,1
1503081678,18775826,44.73,135.07142900,1
1503081676,18775824,44.81,14.71186000,0
1503081676,18775823,44.80,33.28814000,0
1503081673,18775820,44.73,2.00107500,1
1503081672,18775819,44.73,42.06248800,1
1503081672,18775818,44.73,42.85248600,1
1503081672,18775817,44.73,9.26482500,1
1503081668,18775810,44.73,99.00000000,1
1503081663,18775805,44.73,3.04700900,1
1503081659,18775804,44.78,46.00000000,0
1503081560,18775722,44.85,0.14000000,1
1503081519,18775696,44.79,63.43400000,0
1503081436,18775663,44.90,33.74561100,1
1503081420,18775657,44.90,32.67153000,1
1503081418,18775656,44.90,3.57458300,1
1503081407,18775654,44.90,3.94292712,1
1503081405,18775653,44.90,1.05707288,1
1503081387,18775644,44.90,0.23356700,1
1503081381,18775641,44.90,5.22947700,1
1503081373,18775634,44.90,19.54523200,1
1503081334,18775599,44.91,0.76200000,0
1503081305,18775551,44.93,0.72000000,0
1503080815,18775293,44.88,18.31100000,0
1503080808,18775284,44.83,19.48694343,0
1503080742,18775241,44.77,8.05000000,1
1503080737,18775237,44.80,1.95000000,1
1503080674,18775207,44.93,2.21000000,0
1503080674,18775206,44.93,11.04000000,0
1503080661,18775205,44.90,13.12000000,0
1503080645,18775194,44.99,11.56900000,0
1503080645,18775193,44.95,45.00000000,0
1503080644,18775192,44.90,3.24000000,0
1503080644,18775191,44.89,16.19000000,0
1503080632,18775183,44.91,2.51600000,0
1503080632,18775181,44.90,4.00000000,0
1503080632,18775178,44.89,19.99000000,0
1503080606,18775152,44.90,0.95000000,0
1503080560,18775141,44.74,1.01790966,0
1503080404,18775021,44.99,0.00000029,1
1503080365,18774998,45.05,0.88000000,0
1503080364,18774996,45.05,3.40000000,0
1503080357,18774991,44.99,13.21980900,1
1503080357,18774989,44.99,11.34235000,1
1503080320,18774960,45.01,0.72000000,0
1503080265,18774908,44.86,15.00000000,1
1503080203,18774853,44.91,1.00179700,1
1503080181,18774837,44.89,14.47000000,0
1503080171,18774826,44.89,16.75000000,0
1503080143,18774789,44.90,2.60100000,0
1503080120,18774755,44.91,8.93100000,0
1503080058,18774722,44.73,0.50000000,1
1503080045,18774713,44.90,3.46000000,0
1503080035,18774700,44.90,1.00000000,0
1503080022,18774683,44.89,5.02600000,0
1503080011,18774674,44.91,2.38000000,0
1503079995,18774655,44.92,5.00000000,0
1503079994,18774654,44.92,3.14000000,0
1503079983,18774632,44.98,20.07000000,0
1503079971,18774624,44.89,1.59000000,0
1503079971,18774623,44.74,15.00000000,0
1503079970,18774621,44.71,30.66490702,0
1503079968,18774611,44.71,1.65010898,0
1503079967,18774606,44.71,2.06000000,1
1503079967,18774605,44.72,15.00000000,1
1503079960,18774594,44.90,14.27000000,0
1503079959,18774584,44.69,2.05372214,0
1503079948,18774538,44.85,2.59000000,0
1503079936,18774532,44.92,22.90444295,0
1503079936,18774531,44.87,9.52555705,0
1503079936,18774530,44.86,67.57000000,0
1503079897,18774469,44.74,9.52600000,0
1503079896,18774467,44.74,10.96200000,0
1503079896,18774466,44.69,4.03800000,0
1503079894,18774462,44.74,2.05000000,1
1503079894,18774461,44.74,15.00000000,1
1503079894,18774460,44.74,30.00000000,1
1503079894,18774458,44.81,15.00000000,1
1503079891,18774447,44.80,5.52721875,1
1503079891,18774442,44.80,2.01073824,1
1503079890,18774439,44.81,8.96912200,1
1503079889,18774431,44.86,5.01000000,1
1503079888,18774424,44.80,8.05000000,1
1503079888,18774421,44.85,39.00000000,1
1503079887,18774415,44.87,2.70836700,1
1503079791,18774305,45.03,5.00000000,0
1503079783,18774302,44.98,2.88000000,0
1503079760,18774285,45.04,0.24000000,0
1503079759,18774284,45.02,16.47000000,0
1503079759,18774283,45.01,3.29000000,0
1503079759,18774282,45.01,37.00000000,0
1503079759,18774281,44.98,43.00000000,0
1503079748,18774278,45.01,38.00000000,0
1503079731,18774275,45.03,16.19200000,0
1503079712,18774266,44.81,3.64578138,1
1503079588,18774003,44.86,2.01000000,1
1503079588,18774001,44.91,0.15000000,1
1503079574,18773960,45.04,1.85000000,0
1503079568,18773955,44.91,1.85000000,1
1503079566,18773952,44.94,2.15000000,1
1503079378,18773672,45.22,32.93900000,0
1503079282,18773612,45.03,14.02434818,1
1503079282,18773610,45.11,0.15000000,1
1503079215,18773546,45.26,6.80487791,0
1503079173,18773519,45.14,0.36282800,1
1503079166,18773517,45.14,1.64550825,1
1503079164,18773516,45.14,1.13408000,1
1503079159,18773493,45.15,0.57000000,1
1503079069,18773422,45.26,0.56000000,0
1503078916,18773321,45.22,1.00000000,0
1503078533,18772782,45.00,15.99052700,1
1503078533,18772779,45.00,25.79800000,1
1503078532,18772778,45.01,15.00000000,1
1503078531,18772768,45.00,13.70730800,1
1503078531,18772764,45.00,40.79800000,1
1503078531,18772760,45.00,2.70616500,1
1503078530,18772757,45.00,1.00000000,1
1503078530,18772754,45.00,1.00000000,1
1503078530,18772747,45.05,10.00000000,1
1503078529,18772746,45.05,149.08004454,1
1503078529,18772745,45.05,50.71200000,1
1503078529,18772743,45.05,16.71500000,1
1503078529,18772739,45.05,177.70000000,1
1503078528,18772734,45.05,5.79295546,1
1503078528,18772731,45.06,13.58514754,1
1503078528,18772727,45.09,0.12216000,1
1503078513,18772669,45.19,18.52000000,1
1503078513,18772667,45.19,18.52000000,1
1503078512,18772664,45.19,8.55495170,1
1503078512,18772663,45.19,4.40574300,1
1503078510,18772654,45.20,23.40000000,1
1503078506,18772648,45.21,6.32249502,1
1503078464,18772611,45.27,0.20449200,0
1503078436,18772580,45.28,1.25403000,0
1503078418,18772562,45.35,0.15000000,0
1503078330,18772517,45.22,1.83556800,0
1503078325,18772511,45.22,2.00000000,0
1503078309,18772488,45.19,5.55930530,0
1503078309,18772486,45.19,18.52000000,0
1503078308,18772483,45.19,18.52000000,0
1503078308,18772480,45.19,18.52000000,0
1503078307,18772478,45.18,18.52000000,0
1503078302,18772469,45.19,131.11546300,0
1503078300,18772468,45.19,19.55146600,0
1503078298,18772465,45.19,54.88944300,0
1503078298,18772464,45.19,6.22986200,0
1503078297,18772461,45.19,92.00000000,0
1503078295,18772456,45.19,45.00000000,0
1503078295,18772455,45.19,15.00000000,0
1503078294,18772454,45.19,66.27000000,1
1503078247,18772407,45.28,1.27574887,1
1503078246,18772405,45.31,1.44434144,1
1503078246,18772404,45.31,1.44434144,1
1503078217,18772367,45.35,5.00000000,1
1503078215,18772365,45.54,7.13191041,1
1503078214,18772364,45.54,3.82000000,0
1503078196,18772330,45.77,31.72999124,0
1503078195,18772328,45.76,61.43741300,1
1503078195,18772325,45.67,49.00000000,0
1503078194,18772324,45.67,43.00618900,1
1503078194,18772322,45.58,4.72000000,0
1503078194,18772321,45.58,23.60000000,0
1503078194,18772320,45.57,30.57389100,0
1503078192,18772319,45.30,0.00000038,0
1503077920,18772078,45.30,6.93062200,0
1503077900,18772043,45.30,86.62000000,0
1503077900,18772042,45.29,17.38000000,0
1503077897,18772037,45.29,0.81000000,1
1503077894,18772031,45.29,18.19000000,0
1503077794,18771885,45.18,0.45484728,1
1503077788,18771870,45.20,0.00000014,1
1503077776,18771851,45.20,7.30712000,1
1503077759,18771821,45.20,3.88356900,1
1503077757,18771817,45.20,3.18244400,1
1503077748,18771775,45.20,7.30712000,1
1503077710,18771603,45.20,5.90000000,1
1503077634,18771475,45.30,2.94217377,0
1503077632,18771473,45.29,21.62000000,1
1503077620,18771462,45.28,67.42000000,0
1503077578,18771366,45.30,0.44061810,0
1503077576,18771336,45.30,9.14274686,0
1503077533,18771222,45.21,16.81531054,1
1503077533,18771216,45.21,1.51891100,1
1503077513,18771131,45.20,8.82715700,1
1503077513,18771128,45.20,7.76524400,1
1503077510,18771120,45.24,3.40759900,1
1503077499,18771071,45.25,10.22360488,0
1503077498,18771068,45.25,9.85639531,1
1503077498,18771065,45.28,20.00000000,1
1503077498,18771064,45.28,20.00000000,1
1503077497,18771063,45.29,12.42000000,1
1503077497,18771061,45.30,7.49999981,1
1503077496,18771058,45.30,6.48889219,1
1503077496,18771056,45.30,1.01110800,1
