date,tid,price,amount,type
1503082436,18776494,0.00003868,1969.75594622,0
1503082436,18776493,0.00003846,160.73236972,0
1503082435,18776492,0.00003843,734.45170102,0
1503082431,18776491,0.00003833,736.16400000,1
1503082416,18776478,0.00003832,70.00000000,1
1503082345,18776404,0.00003835,0.00000042,0
1503082345,18776402,0.00003835,1021.12581900,0
1503082345,18776400,0.00003833,5071.74614800,0
1503082341,18776394,0.00003834,12258.73761085,0
1503082292,18776293,0.00003851,519.34562451,0
1503082250,18776260,0.00003826,70.00000000,1
1503082132,18776152,0.00003829,1305.82397493,0
1503082053,18776103,0.00003821,418.73854990,1
1503082052,18776102,0.00003821,852.47334310,1
1503081949,18775993,0.00003815,152.88238600,1
1503081928,18775991,0.00003824,3335.65219665,0
1503081748,18775886,0.00003823,693.69761967,1
1503081746,18775885,0.00003822,5062.26958463,1
1503081739,18775882,0.00003822,277.11512297,0
1503081737,18775878,0.00003821,5480.46745500,0
1503081647,18775771,0.00003807,1535.66515765,1
1503081647,18775770,0.00003807,1464.33484235,1
1503081607,18775756,0.00003807,517.00000000,1
1503081567,18775728,0.00003811,1971.23130412,1
1503081380,18775640,0.00003821,0.00000090,0
1503081380,18775639,0.00003810,981.49702610,0
1503081378,18775638,0.00003810,3148.96962700,0
1503081371,18775632,0.00003820,8923.39099900,0
1503081370,18775630,0.00003820,7663.62711160,0
1503081369,18775628,0.00003811,3925.98810540,0
1503081368,18775627,0.00003811,981.49702700,0
1503081310,18775584,0.00003814,262.19192449,0
1503081294,18775550,0.00003815,237.76828309,0
1503081223,18775504,0.00003804,671.56692819,1
1503081221,18775501,0.00003805,58.45356361,1
1503081201,18775489,0.00003802,199.43865617,0
1503081199,18775488,0.00003805,77.93441840,1
1503080948,18775358,0.00003815,2967.87835186,1
1503080947,18775357,0.00003816,3279.45739255,1
1503080947,18775356,0.00003817,598.27115102,1
1503080947,18775355,0.00003818,2991.55983102,1
1503080947,18775354,0.00003824,309.88648301,1
1503080683,18775214,0.00003849,603.92621460,0
1503080682,18775213,0.00003830,5016.73505711,0
1503080575,18775144,0.00003820,2507.46858170,1
1503080565,18775143,0.00003820,19000.00000000,1
1503080444,18775064,0.00003832,792.85151356,0
1503080442,18775062,0.00003829,642.90839398,0
1503080330,18774967,0.00003829,157.09160602,1
1503080157,18774808,0.00003839,1142.99296692,0
1503080144,18774791,0.00003839,359.18233915,0
1503080141,18774788,0.00003836,2000.00000000,1
1503080131,18774764,0.00003839,1774.08231310,0
1503080094,18774736,0.00003839,160.96926282,0
1503080093,18774735,0.00003839,932.45275200,0
1503080044,18774712,0.00003839,2865.32951289,0
1503080026,18774692,0.00003837,464.17774303,0
1503080012,18774675,0.00003836,400.00000000,0
1503079999,18774661,0.00003837,400.00000000,0
1503079954,18774566,0.00003839,1947.52227142,1
1503079933,18774527,0.00003848,903.62477000,0
1503079926,18774512,0.00003849,1007.07494000,0
1503079714,18774267,0.00003853,1187.00000000,0
1503079608,18774114,0.00003896,9003.91746150,0
1503079604,18774083,0.00003896,1146.02601234,1
1503079602,18774081,0.00003896,10000.00000000,1
1503079602,18774077,0.00003896,10000.00000000,1
1503079602,18774076,0.00003896,10000.00000000,1
1503079601,18774073,0.00003896,2346.07815900,1
1503079600,18774069,0.00003896,949.29562000,1
1503079599,18774068,0.00003896,645.60737032,1
1503079599,18774067,0.00003896,400.00000000,1
1503079599,18774066,0.00003896,7989.23514200,1
1503079599,18774065,0.00003896,819.39229600,1
1503079598,18774064,0.00003896,2298.89097982,1
1503079598,18774062,0.00003896,1323.24000000,1
1503079597,18774059,0.00003896,1283.00000000,1
1503079597,18774057,0.00003896,833.21790100,1
1503079597,18774053,0.00003896,8764.34320100,1
1503079596,18774052,0.00003897,7644.46341376,0
1503079596,18774051,0.00003896,1131.69099200,1
1503079596,18774049,0.00003896,833.21790100,1
1503079596,18774048,0.00003896,1180.60770400,1
1503079595,18774046,0.00003896,819.39229600,1
1503079595,18774045,0.00003896,1000.00000000,1
1503079595,18774044,0.00003896,2072.70000000,1
1503079595,18774043,0.00003896,10000.00000000,1
1503079594,18774041,0.00003896,2490.00000000,1
1503079594,18774040,0.00003896,1020.00000000,1
1503079594,18774038,0.00003896,8050.00000000,1
1503079594,18774036,0.00003896,10066.00000000,1
1503079593,18774031,0.00003896,322.20701875,1
1503079593,18774030,0.00003896,1024.92183000,1
