date,tid,price,amount,type
1503082150,18776172,0.13625,1315.00000000,1
1503081997,18776037,0.13664,218.00000000,1
1503081995,18776035,0.13662,130.11467300,1
1503081993,18776030,0.13663,2516.81468600,1
1503081772,18775893,0.13654,218.00000000,1
1503081566,18775727,0.13714,12998.10399000,1
1503081545,18775708,0.13711,12193.08734900,1
1503081336,18775602,0.13779,1775.15236780,1
1503081334,18775598,0.13717,2500.00000000,0
1503081334,18775597,0.13717,988.89520477,0
1503081221,18775500,0.13779,3620.00145148,0
1503081030,18775419,0.13698,882.82700000,0
1503081004,18775392,0.13709,1148.00000000,0
1503081003,18775391,0.13706,2500.00000000,0
1503081002,18775390,0.13704,700.26600000,0
1503080994,18775383,0.13709,445.38800000,0
1503080993,18775382,0.13709,344.86600000,0
1503080971,18775378,0.13718,1429.13000000,0
1503080922,18775331,0.13701,69.35581344,0
1503080920,18775330,0.13663,1.08000000,0
1503080892,18775320,0.13685,720.00000000,1
1503080848,18775302,0.13683,5527.98000000,1
1503080697,18775224,0.13685,146.56353671,0
1503080695,18775222,0.13671,218.00000000,0
1503080505,18775125,0.13624,1283.00000000,1
1503080469,18775104,0.13618,4952.77696600,1
1503080469,18775103,0.13619,7699.12303400,1
1503080469,18775102,0.13655,218.00000000,1
1503080469,18775101,0.13655,218.00000000,1
1503080469,18775100,0.13655,218.00000000,1
1503080468,18775098,0.13655,218.00000000,1
1503080157,18774809,0.13624,1142.99297000,1
1503080145,18774792,0.13621,359.18234000,1
1503080132,18774766,0.13617,1774.08231000,1
1503080043,18774709,0.13630,2964.34632000,1
1503080034,18774699,0.13650,0.69626000,0
1503080033,18774697,0.13646,464.17774000,0
1503080030,18774695,0.13646,149.82527000,1
1503080026,18774691,0.13646,464.17774000,1
1503079999,18774662,0.13650,400.00000000,1
1503079951,18774541,0.13699,2949.41531000,1
1503079933,18774528,0.13710,903.62477000,1
1503079911,18774502,0.13780,0.00000032,1
1503079609,18774118,0.13780,200.00000000,0
1503079609,18774117,0.13780,200.00000000,0
1503079609,18774116,0.13780,200.00000000,0
1503079609,18774115,0.13780,154.39262968,0
1503079598,18774061,0.13780,45.60737032,0
1503079597,18774060,0.13780,200.00000000,0
1503079597,18774058,0.13780,200.00000000,0
1503079597,18774054,0.13780,200.00000000,0
1503079595,18774047,0.13779,77.79298125,0
1503079592,18774018,0.13779,122.20701875,0
1503079592,18774015,0.13779,200.00000000,0
1503079583,18773968,0.13778,5124.60913000,0
1503079582,18773967,0.13777,630.61743469,1
1503079324,18773635,0.13753,1595.73954773,0
1503079322,18773634,0.13733,218.00000000,0
1503079200,18773536,0.13710,1096.37523000,1
1503079152,18773461,0.13781,200.00000000,1
1503078970,18773386,0.13781,2256.32498969,0
1503078741,18773186,0.13704,735.03600000,1
1503078687,18773154,0.13749,384.53705724,0
1503078608,18773057,0.13700,411.21930600,1
1503078593,18773007,0.13784,7716.04759141,0
1503078536,18772800,0.13759,4661.12962000,0
1503078529,18772737,0.13756,2500.00000000,0
1503078528,18772733,0.13754,4661.12962000,0
1503078528,18772725,0.13754,3895.60491500,0
1503078442,18772584,0.13714,3121.89184000,1
1503078390,18772546,0.13798,500.00000000,0
1503078319,18772503,0.13702,5000.00000000,1
1503078319,18772501,0.13703,7399.48168000,1
1503078256,18772414,0.13707,1.48649222,1
1503078255,18772413,0.13745,991.24050778,1
1503078231,18772386,0.13703,1056.44000000,1
1503078181,18772302,0.13746,100.00000000,0
1503078060,18772224,0.13702,1373.72000000,1
1503078057,18772222,0.13759,100.00000000,0
1503078001,18772180,0.13748,249.62476505,1
1503077969,18772150,0.13785,5975.81008000,0
1503077898,18772040,0.13792,100.00000000,0
1503077861,18771974,0.13750,1000.00000000,1
1503077811,18771905,0.13839,100.00000000,0
1503077745,18771754,0.13768,2934.63396000,1
1503077745,18771752,0.13828,270.00000000,1
1503077745,18771750,0.13829,5122.70294800,1
1503077725,18771665,0.13871,100.00000000,0
1503077719,18771642,0.13829,3843.57353170,1
1503077719,18771640,0.13830,231.36381030,1
1503077701,18771561,0.13831,4133.92251000,1
1503077664,18771511,0.13831,1000.00000000,1
1503077647,18771485,0.13875,100.00000000,0
1503077616,18771445,0.13830,2101.05973400,1
1503077609,18771408,0.13830,1664.85744700,1
1503077609,18771406,0.13838,2919.78901000,1
1503077585,18771378,0.13830,3407.41433800,1
1503077578,18771365,0.13831,342.17324500,1
1503077571,18771312,0.13908,2905.09350000,1
1503077564,18771296,0.13829,6034.28348921,1
1503077564,18771294,0.13832,2287.18340879,1
1503077559,18771284,0.13929,100.00000000,0
1503077518,18771170,0.13953,100.00000000,0
1503077511,18771123,0.13835,1017.30160490,1
1503077511,18771121,0.13850,100.00000000,1
1503077509,18771114,0.13900,882.69839510,1
1503077490,18771025,0.13900,1150.53698000,1
1503077468,18770873,0.13950,500.00000000,1
1503077365,18770649,0.13978,2890.54517000,1
1503077363,18770644,0.14001,3552.07000000,0
1503077329,18770496,0.14028,150.00000000,1
1503077190,18770185,0.14000,2941.03184856,1
1503077189,18770181,0.14000,3098.97668000,1
1503077155,18770145,0.14000,2732.10204286,1
1503077155,18770144,0.14000,0.00000014,1
1503077155,18770143,0.14000,3850.07795700,1
1503077143,18770138,0.14038,1347.11941216,1
1503077141,18770135,0.14031,535.35300000,0
1503077133,18770123,0.14001,3243.15878800,1
1503077132,18770121,0.14011,2169.63191000,1
1503077127,18770115,0.14011,10830.36809000,1
1503077127,18770112,0.14012,2169.63191000,1
1503077055,18770035,0.14055,71.00675916,0
1503076948,18769937,0.14031,810.64700000,0
1503076675,18769731,0.14068,2022.00000000,1
1503076659,18769721,0.14001,506.37603600,1
1503076569,18769630,0.14112,138.14257369,0
1503076567,18769629,0.14109,38.59462834,0
1503076426,18769438,0.14086,5143.00000000,1
1503076376,18769361,0.14080,1022.04000000,1
1503076298,18769315,0.14150,920.83599194,0
1503076297,18769314,0.14149,2500.00000000,0
1503076254,18769294,0.14156,352.28878214,0
1503076120,18769179,0.14164,0.00003000,1
1503076120,18769178,0.14164,122.04540000,1
1503076112,18769167,0.14163,377.95457000,0
1503075997,18769079,0.14118,1000.00000000,1
1503075957,18769048,0.14113,1403.96000000,1
1503075943,18769036,0.14109,1062.42445100,1
1503075943,18769035,0.14110,701.57554900,1
1503075832,18768919,0.14190,718.53490704,1
1503075831,18768916,0.14190,1125.19571000,0
1503075799,18768900,0.14190,140.59196617,0
1503075753,18768833,0.14130,848.85390000,1
1503075749,18768830,0.14129,915.29273000,0
1503075731,18768815,0.14083,4266.47403000,0
1503075728,18768811,0.14037,6224.30314483,1
1503075715,18768803,0.14032,733.59248300,1
1503075715,18768802,0.14034,5628.39278700,1
1503075714,18768800,0.14035,7285.21766000,1
1503075708,18768797,0.14086,4931.07551000,0
1503075700,18768793,0.14087,7081.06765103,0
1503075690,18768783,0.14060,1346.00000000,0
1503075661,18768764,0.14030,3000.00000000,1
1503075614,18768730,0.14049,2875.93710000,1
1503075505,18768658,0.14120,2861.47594000,1
1503075505,18768655,0.14149,36.01862000,1
1503075481,18768604,0.14164,35.23016097,0
1503075480,18768601,0.14149,341.72300000,1
1503075430,18768543,0.14191,2847.15949000,1
1503075424,18768535,0.14149,1319.03374600,1
1503075423,18768533,0.14149,2706.44926800,1
1503075416,18768524,0.14149,1696.77536600,1
1503075396,18768498,0.14200,264.31892323,1
1503075393,18768495,0.14200,669.94800000,1
1503075336,18768472,0.14200,88.38791229,0
1503075292,18768436,0.14201,100.00000000,0
1503075278,18768425,0.14200,324.29500000,0
1503075278,18768423,0.14200,1.02923080,1
1503075269,18768416,0.14201,400.90600000,0
1503075261,18768411,0.14202,400.87800000,0
1503075249,18768402,0.14202,2500.00000000,1
1503075249,18768401,0.14202,1101.06975648,1
1503075221,18768375,0.14202,1851.46721985,1
1503075198,18768343,0.14202,2047.46302367,1
1503075198,18768338,0.14263,2832.78695000,1
1503075197,18768331,0.14264,10918.85350000,1
1503075197,18768330,0.14267,4857.30064600,1
1503075193,18768324,0.14267,1129.00000000,1
1503075191,18768322,0.14267,735.00000000,1
1503075190,18768321,0.14267,6277.78809400,1
1503075167,18768300,0.14342,1000.00000000,0
1503075120,18768271,0.14369,1388.40559538,0
1503075076,18768236,0.14335,2818.55880000,1
1503075065,18768222,0.14337,6479.15393115,1
1503075061,18768219,0.14337,1367.79320000,1
1503075039,18768191,0.14409,180.00000000,0
1503075008,18768110,0.14494,1000.00000000,1
1503074984,18768100,0.14536,570.00000000,0
1503074966,18768091,0.14542,685.94416173,0
1503074962,18768080,0.14543,6964.91229491,0
1503074961,18768078,0.14543,6034.19386509,0
