date,tid,price,amount,type
1506988860,22678093,251.78,1.00000000,0
1506988835,22678086,251.93,2.00000000,0
1506988603,22677996,251.93,0.64303572,0
1506988603,22677994,251.93,5.36061148,0
1506988602,22677992,251.33,0.80012102,0
1506988587,22677978,251.32,2.05000000,0
1506988564,22677971,251.32,1.01305400,0
1506988556,22677967,251.32,1.62928000,0
1506988528,22677962,251.32,0.34200000,0
1506988448,22677948,251.28,2.25468131,1
1506988447,22677946,251.32,1.21855000,0
1506988422,22677945,251.27,0.24150000,1
1506988415,22677943,251.28,1.68843395,1
1506988294,22677918,251.90,1.80408892,0
1506988292,22677917,251.89,0.17606800,0
1506988139,22677868,251.32,1.68646700,1
1506988130,22677862,251.29,10.75000000,1
1506988130,22677861,251.57,0.10000000,1
1506988130,22677860,251.60,0.23053279,1
1506988047,22677797,251.60,0.96721200,1
1506987331,22677552,251.63,0.21402600,1
1506987330,22677549,251.61,0.17606800,1
1506987329,22677548,251.64,0.24150000,1
1506987314,22677545,252.51,0.62871434,0
1506987313,22677544,252.50,0.37254566,0
1506986890,22677488,251.89,0.05554566,0
1506986889,22677487,251.89,0.31700000,1
1506985886,22677236,252.66,1.19774479,0
1506985886,22677235,252.65,3.46000000,0
1506985886,22677234,252.62,2.65000000,0
1506985886,22677233,252.37,0.45000000,0
1506985885,22677232,252.36,0.12021320,0
1506985759,22677170,252.63,0.22182638,0
1506985758,22677169,252.29,0.19771910,1
1506985757,22677168,252.29,0.45000000,0
1506985704,22677152,252.28,0.39519581,0
1506985698,22677147,252.28,0.50061619,0
1506985621,22677100,252.24,4.98715759,0
1506985621,22677099,252.23,1.59678573,0
1506985596,22677078,252.22,1.00219154,0
1506985560,22677030,252.27,1.92938402,0
1506985540,22677019,252.25,0.34250649,0
1506985385,22676977,252.19,3.33462509,0
1506985307,22676937,252.21,0.68855319,0
1506985251,22676921,252.27,3.80122820,0
1506985251,22676920,252.00,0.25754203,0
1506985238,22676914,252.03,0.02380669,0
1506985120,22676799,251.58,0.21600000,1
1506985091,22676787,252.41,1.00126000,1
1506985062,22676770,252.22,1.97629238,0
1506984129,22676370,251.57,0.28134872,1
1506983937,22676255,252.24,0.02000000,1
1506983846,22676205,252.34,0.02021000,0
1506983679,22676083,251.70,7.62822334,1
1506983679,22676082,251.70,12.74905923,1
1506983679,22676080,251.88,0.03967760,1
1506983678,22676079,252.00,0.70503983,1
1506983605,22676015,252.64,0.40783580,0
1506983605,22676013,252.63,0.27516420,0
1506983605,22676012,252.62,0.31700000,0
1506983542,22675994,252.00,2.96496017,1
1506983540,22675993,252.02,3.31803983,1
1506983540,22675992,252.02,0.31700000,1
1506983539,22675991,252.65,0.71968109,0
1506983537,22675988,252.64,2.69000000,0
1506983537,22675987,252.64,0.45257280,0
1506982735,22675689,252.11,0.41938043,0
1506982313,22675479,252.51,0.16328066,0
1506982311,22675478,252.33,1.83295087,0
1506982010,22675277,252.07,1.81802673,0
1506981912,22675242,252.29,0.39537833,0
1506981890,22675213,251.54,1.83295087,1
1506981890,22675212,251.61,0.03972020,1
1506981890,22675210,251.70,1.22673750,1
1506981663,22675054,252.32,0.12383046,0
1506981661,22675048,252.24,0.26229147,0
1506981257,22674839,252.24,0.19770853,0
1506981152,22674735,252.61,1.22410039,0
1506980919,22674634,252.20,0.20000000,0
1506980905,22674630,251.53,3.29412480,1
1506980896,22674621,252.97,0.75603619,1
1506980896,22674620,252.69,0.42000000,0
1506980896,22674619,252.48,2.10980213,0
1506980894,22674617,252.20,0.24160000,0
1506980894,22674616,252.20,0.31700000,0
1506980745,22674563,252.30,2.30963000,0
1506980738,22674557,251.15,2.82000000,0
1506980735,22674548,251.12,2.30686072,1
1506980719,22674535,251.56,0.05419858,0
1506980718,22674534,251.56,0.24160000,1
1506980718,22674533,251.74,0.31700000,1
1506980614,22674458,252.37,1.24503705,0
1506980407,22674356,252.46,0.98776044,0
1506980386,22674339,252.99,1.97646441,0
1506980386,22674338,252.99,3.61997316,1
1506980386,22674337,252.99,0.64436246,1
1506980386,22674334,252.98,0.64000000,0
1506980385,22674333,252.97,3.21000000,0
1506980385,22674332,252.97,3.94000000,1
1506980385,22674331,252.67,6.88057145,0
1506980384,22674330,252.66,3.00000000,0
1506980384,22674329,252.48,0.94000000,0
1506980384,22674328,252.47,0.33431330,0
1506980384,22674327,252.20,1.06000000,0
1506980383,22674326,252.16,0.43000000,0
1506980383,22674325,252.14,1.10000000,0
1506980383,22674324,252.12,1.21794656,0
1506980382,22674323,252.00,1.00000000,0
1506980382,22674322,252.00,2.02773175,0
1506980382,22674320,251.92,1.36453616,0
1506980382,22674319,251.91,6.08300000,0
1506980380,22674318,251.73,0.03982480,0
1506980130,22674254,251.10,2.93991300,0
1506980130,22674252,251.09,0.31800000,0
1506980106,22674195,251.38,0.31800000,1
1506979927,22674141,252.00,0.45396825,0
1506979925,22674139,251.78,0.54401645,0
1506979856,22674116,251.78,0.61502321,0
1506979856,22674115,251.78,0.38623679,0
1506979559,22674042,251.78,1.98109461,0
1506979547,22674039,251.23,1.09392986,0
1506979547,22674038,251.21,0.58000164,0
1506979543,22674037,251.21,0.36000000,0
1506979536,22674036,251.05,0.13974729,1
1506979535,22674035,251.15,0.03979300,1
1506979514,22674028,251.21,3.00000000,0
1506979505,22674018,251.20,0.57434423,1
1506979504,22674016,251.20,0.00130000,0
1506979503,22674015,251.20,0.24000000,0
1506979488,22674010,251.17,3.75207406,1
1506979482,22674005,251.22,0.31697325,0
1506979481,22674004,251.22,1.88310040,1
1506979479,22674002,251.22,0.31700000,1
1506979471,22673997,251.50,0.00014781,1
1506979470,22673996,251.50,0.29560541,1
1506979467,22673990,251.50,1.09325236,1
1506979462,22673987,251.50,1.09269442,1
1506979454,22673982,251.78,2.36851508,1
1506979448,22673972,251.79,0.13784348,1
1506979448,22673971,251.79,0.64000000,1
1506979447,22673968,251.79,0.48000000,1
1506979447,22673965,251.79,1.14000000,1
1506979445,22673952,251.79,1.53471736,1
1506979444,22673947,251.79,0.56229394,1
1506979439,22673939,251.79,0.07725529,1
1506979439,22673938,251.79,0.48463319,1
1506979437,22673935,251.79,1.13536681,0
1506979436,22673933,251.79,2.31999804,0
1506979436,22673932,251.79,0.00000196,0
1506979435,22673929,251.79,1.62000000,1
1506979435,22673928,251.79,0.31000000,1
1506979435,22673927,251.79,2.01093549,1
1506979431,22673922,251.80,3.11254260,1
1506979431,22673921,251.80,0.20549723,1
1506979420,22673898,251.79,1.62237906,1
1506979283,22673533,251.79,0.30668545,1
1506979283,22673530,251.80,0.24130000,1
1506979283,22673529,251.81,0.31700000,1
1506979274,22673525,252.64,1.32838815,0
1506979272,22673522,252.63,1.36323110,0
1506979074,22673443,251.78,0.13148492,1
1506979074,22673442,252.00,0.10000000,1
1506978997,22673416,252.64,0.35366529,0
1506978996,22673415,252.34,3.94000000,0
1506978996,22673414,252.34,0.45000000,0
1506978940,22673383,252.23,2.96634025,0
1506978911,22673367,252.25,2.29407333,0
1506978910,22673366,252.24,12.73325501,0
1506978867,22673351,252.23,0.38619132,0
1506978324,22673102,251.79,3.16000000,1
1506978212,22673052,251.62,13.00000000,1
1506978208,22673051,252.50,7.63285723,1
1506978208,22673050,252.50,0.31700000,1
1506978207,22673049,252.50,0.16923188,0
1506978139,22673024,252.55,1.47485646,1
1506978139,22673023,252.55,0.50000000,0
1506978060,22672991,251.48,0.43566077,1
1506978047,22672988,251.88,0.31700000,1
1506978011,22672979,252.54,0.02375767,0
