date,tid,price,amount,type
1507161617,22778238,4219.74,0.30500000,0
1507161591,22778229,4219.53,0.05881301,0
1507161589,22778228,4219.55,0.70920122,0
1507161545,22778227,4219.08,0.55299970,1
1507161543,22778226,4219.07,0.00130073,0
1507161543,22778225,4219.07,0.00130257,0
1507161397,22778215,4218.90,0.02031739,0
1507161397,22778214,4218.89,0.00130303,0
1507161393,22778212,4218.93,0.04295671,0
1507161392,22778211,4215.34,0.00130189,0
1507161328,22778206,4215.44,0.02143742,0
1507161328,22778205,4215.43,0.00130254,0
1507161328,22778204,4215.42,0.00130408,0
1507161314,22778202,4213.00,0.01861849,1
1507161309,22778201,4215.44,0.00336438,0
1507161309,22778200,4215.44,0.30876376,0
1507161273,22778189,4213.03,0.02784600,1
1507161272,22778188,4213.03,0.01194023,1
1507161254,22778186,4215.88,0.00161759,1
1507161254,22778185,4215.88,0.00130249,0
1507161254,22778184,4215.87,0.00130094,1
1507161254,22778183,4215.72,0.00130400,1
1507161252,22778182,4213.11,0.00154183,0
1507161234,22778176,4215.80,0.35566670,0
1507161219,22778175,4213.00,0.17864684,1
1507161217,22778174,4213.04,0.12135316,1
1507161165,22778169,4214.75,0.03402556,1
1507161144,22778167,4214.46,0.05596277,0
1507161143,22778166,4214.46,0.00130372,0
1507161143,22778165,4214.45,0.00130479,0
1507161114,22778148,4214.55,0.05300111,0
1507161077,22778146,4213.09,0.04651617,1
1507161072,22778143,4214.65,0.23608751,0
1507161072,22778142,4214.65,0.00130206,0
1507161065,22778140,4214.67,0.02177384,0
1507161062,22778138,4214.70,0.11112297,0
1507161024,22778101,4214.98,0.04370000,0
1507160985,22778099,4215.24,0.04930857,0
1507160962,22778097,4215.37,0.00788572,0
1507160962,22778096,4215.37,0.00130440,0
1507160945,22778094,4215.48,0.01049680,0
1507160945,22778093,4215.46,0.00130320,0
1507160885,22778091,4215.90,0.01232400,0
1507160885,22778090,4215.89,0.00367600,0
1507160841,22778087,4211.60,0.16122139,0
1507160840,22778086,4211.60,0.00130374,0
1507160840,22778085,4211.59,0.00177811,0
1507160831,22778084,4211.60,0.00130371,0
1507160825,22778083,4213.00,0.00105675,1
1507160824,22778082,4213.00,0.02295990,0
1507160824,22778081,4211.61,0.00415403,0
1507160819,22778080,4206.71,0.00598020,0
1507160819,22778079,4207.42,0.87150000,0
1507160818,22778078,4207.42,0.87150000,0
1507160817,22778077,4207.42,0.02035927,1
1507160817,22778076,4212.84,2.23066053,1
1507160817,22778075,4212.82,0.00130177,0
1507160816,22778074,4212.80,0.00130308,0
1507160816,22778073,4212.79,0.00130480,0
1507160800,22778072,4212.89,0.02096145,0
1507160800,22778071,4212.86,0.00130365,0
1507160800,22778070,4212.86,0.00130487,0
1507160799,22778069,4212.85,0.00130364,0
1507160777,22778068,4212.92,0.06716013,0
1507160777,22778067,4212.92,0.00343996,0
1507160777,22778066,4212.91,0.00130258,0
1507160719,22778059,4207.00,0.08094878,1
1507160719,22778058,4208.31,0.18787501,1
1507160718,22778057,4210.01,0.02461846,1
1507160718,22778056,4210.03,0.04537977,1
1507160709,22778054,4214.00,0.09303080,1
1507160707,22778053,4217.47,0.10879745,1
1507160707,22778052,4217.47,0.64817295,1
1507160706,22778051,4217.12,0.47413523,0
1507160705,22778050,4213.16,0.00130220,0
1507160704,22778049,4213.15,0.00130182,0
1507160643,22778043,4213.34,0.18787501,0
1507160643,22778042,4212.42,0.00391498,0
1507160584,22778034,4208.80,0.47413523,1
1507160581,22778033,4210.00,0.05309399,1
1507160570,22778031,4210.01,0.00856937,0
1507160567,22778029,4210.00,0.00695243,1
1507160552,22778024,4210.01,0.30782568,0
1507160545,22778021,4210.01,0.12060480,0
1507160537,22778020,4210.00,0.16205358,1
1507160534,22778019,4212.98,1.28181362,0
1507160534,22778018,4214.59,0.08978294,1
1507160533,22778017,4214.65,0.05616836,1
1507160519,22778009,4214.65,0.00800003,1
1507160516,22778008,4214.65,0.00130244,1
1507160514,22778005,4214.60,0.09523294,0
1507160511,22778001,4218.42,0.11969453,0
1507160469,22777993,4214.63,0.58291800,1
1507160453,22777990,4217.40,0.02732042,0
1507160429,22777972,4221.68,0.43240742,0
1507160429,22777971,4219.69,0.00130105,0
1507160429,22777970,4217.60,0.00130314,0
1507160429,22777969,4217.58,0.16099280,0
1507160429,22777968,4217.52,0.00130362,0
1507160429,22777967,4217.51,0.00130212,0
1507160428,22777966,4217.49,0.01253761,0
1507160421,22777964,4214.59,0.00545000,1
1507160412,22777961,4219.70,0.13009029,0
1507160412,22777960,4216.94,0.00130098,0
1507160412,22777959,4216.92,0.00130256,0
1507160403,22777958,4216.95,0.37775387,0
1507160397,22777955,4216.95,0.11715735,0
1507160397,22777954,4216.95,0.00130182,0
1507160381,22777945,4210.50,2.27381209,0
1507160379,22777943,4214.66,0.03453896,1
1507160379,22777942,4215.24,0.07719859,1
1507160379,22777941,4215.25,0.11445036,1
1507160351,22777936,4215.24,0.92280141,1
1507160350,22777935,4215.24,0.99869759,1
1507160350,22777934,4215.46,0.10864664,1
1507160349,22777933,4215.46,0.00130412,1
1507160348,22777932,4215.26,0.00130110,0
1507160348,22777931,4215.24,0.00130241,0
1507160345,22777928,4215.24,0.07666236,0
1507160334,22777880,4214.66,0.83759091,1
1507160334,22777879,4214.66,0.00130437,1
1507160333,22777878,4214.65,0.16110472,0
1507160332,22777877,4214.58,0.99869685,1
1507160331,22777875,4214.58,0.00130315,0
1507160327,22777874,4214.59,0.99431223,0
1507160327,22777873,4214.58,0.00130128,0
1507160327,22777871,4214.57,0.00438649,0
1507160324,22777870,4214.58,1.00000000,0
1507160321,22777869,4214.59,0.99869640,0
1507160321,22777868,4214.59,0.00130360,0
1507160306,22777867,4214.66,0.02934978,0
1507160302,22777865,4214.67,0.00173157,0
1507160285,22777860,4215.02,0.01217358,0
1507160285,22777859,4214.99,0.00130342,0
1507160274,22777858,4215.18,0.61210508,0
1507160261,22777856,4206.71,0.21341646,0
1507160254,22777855,4206.65,0.69501882,1
1507160254,22777854,4206.65,0.72752958,0
1507160248,22777853,4206.82,0.87150000,1
1507160248,22777852,4209.00,0.50000000,1
1507160248,22777851,4210.00,0.91508354,1
