date,tid,price,amount,type
1507160737,22778060,0.21201,179.00000000,1
1507160487,22777997,0.21353,4105.22246352,1
1507160487,22777996,0.21349,2908.39396400,0
1507160487,22777995,0.21349,2241.38287000,0
1507160474,22777994,0.21277,179.00000000,0
1507160452,22777989,0.21284,270.00000000,0
1507160396,22777953,0.21227,13138.23359400,1
1507160395,22777952,0.21377,7463.01964728,1
1507160395,22777951,0.21300,581.86241761,0
1507160393,22777949,0.21226,500.00000000,0
1507160346,22777929,0.21230,270.00000000,1
1507159609,22777655,0.21268,665.56566000,1
1507159580,22777641,0.21268,203.00000000,1
1507159362,22777542,0.21300,668.13758239,0
1507159222,22777508,0.21326,2551.00000000,0
1507159220,22777507,0.21267,449.00000000,0
1507159185,22777495,0.21335,257.14947270,0
1507159132,22777475,0.21209,943.77021300,1
1507159132,22777474,0.21248,270.00000000,1
1507158986,22777407,0.21391,156.17974849,0
1507158984,22777406,0.21357,270.00000000,0
1507158867,22777317,0.21245,642.63117600,1
1507158860,22777316,0.21243,270.00000000,1
1507158693,22777281,0.21348,1702.97714193,0
1507158692,22777280,0.21347,2934.64393000,0
1507158678,22777279,0.21350,1000.00000000,0
1507158569,22777242,0.21369,298.19964100,1
1507158569,22777241,0.21369,1123.14604000,1
1507158568,22777238,0.21369,270.00000000,1
1507158568,22777237,0.21362,2522.16800000,0
1507158568,22777236,0.21361,2906.48631900,0
1507158555,22777229,0.21364,730.00000000,0
1507158555,22777228,0.21364,270.00000000,0
1507158531,22777222,0.21369,2801.95620520,1
1507158530,22777221,0.21366,2198.04379480,0
1507158528,22777220,0.21366,798.59145520,0
1507158527,22777218,0.21361,270.00000000,0
1507158418,22777167,0.21362,427.56934887,0
1507158359,22777145,0.21373,1442.09789300,0
1507158359,22777144,0.21372,10258.94209000,0
1507158359,22777142,0.21371,270.00000000,0
1507158359,22777141,0.21371,3028.96001700,0
1507158055,22777023,0.21201,1069.46196300,1
1507158012,22776988,0.21211,106.04179050,1
1507158010,22776986,0.21200,2140.00000000,1
1507158009,22776983,0.21210,25.00000000,1
1507158002,22776982,0.21226,488.55177612,1
1507158001,22776981,0.21248,14835.63304062,1
1507158000,22776979,0.21250,1175.10830000,1
1507158000,22776978,0.21250,270.00000000,1
1507157960,22776968,0.21249,1012.77150000,1
1507157952,22776962,0.21249,2845.00000000,1
1507157943,22776956,0.21251,312.76671500,1
1507157820,22776929,0.21248,4259.74432400,1
1507157687,22776908,0.21226,44.55000000,1
1507157687,22776907,0.21259,385.45000000,1
1507157686,22776906,0.21260,270.00000000,1
