date,tid,price,amount,type
1507247009,22837868,43.87,12.64941874,0
1507247002,22837866,43.88,3.50764813,1
1507247001,22837865,43.88,2.13000000,0
1507246426,22837582,43.99,11.76000000,1
1507246426,22837580,44.02,1.90000000,1
1507246426,22837576,44.03,0.92980310,0
1507246425,22837573,44.02,1.90000000,0
1507246425,22837571,43.99,11.75999990,0
1507246425,22837570,43.95,9.51000000,0
1507245469,22836971,44.01,0.96272609,1
1507245469,22836970,44.06,16.27115094,0
1507245464,22836968,44.01,0.96272609,1
1507245459,22836964,44.01,0.96272609,1
1507245080,22836801,44.00,1.07939200,0
1507244778,22836680,43.99,1.68999000,0
1507244522,22836531,44.05,0.56685600,1
1507244476,22836503,44.05,0.20000000,0
1507244192,22836372,44.04,0.20000000,0
1507244192,22836370,44.02,0.12000500,0
1507244192,22836367,44.02,9.87999500,0
1507244192,22836364,43.99,0.12000000,0
1507243924,22836289,43.90,2.30585200,1
1507243920,22836282,43.98,8.64757300,0
1507243889,22836199,43.92,1.11598268,0
1507243827,22836173,43.96,1.92083713,1
1507243822,22836167,43.96,3.82006370,0
1507243816,22836162,43.97,3.81983622,1
1507243814,22836157,43.96,3.81938126,1
1507243527,22835600,43.86,6.45251832,1
1507243023,22835335,43.89,0.12000000,0
1507242998,22835320,43.86,22.32993598,1
1507242963,22835294,43.86,0.20543322,1
1507242963,22835291,43.86,6.79456678,0
1507242891,22835261,43.86,0.15000000,0
1507242835,22835232,43.70,1.26284000,0
1507242823,22835226,43.74,7.69000000,0
1507242820,22835224,43.74,5.00000000,0
1507242817,22835222,43.75,49.00000000,1
1507242753,22835208,43.71,15.08000000,0
1507242748,22835207,43.72,29.87876600,1
1507242748,22835206,43.72,6.68242600,1
1507242748,22835205,43.72,2.33880800,1
1507242747,22835204,43.71,20.00000000,1
1507242690,22835181,43.85,1.00601000,0
1507242562,22835148,43.84,1.13728620,0
1507242558,22835147,43.75,66.32371010,0
1507242556,22835146,43.75,2.84628990,1
1507242556,22835145,43.75,114.00000000,1
1507242556,22835144,43.76,14.83000000,1
1507242556,22835143,43.76,2.00000000,1
1507242384,22835087,43.76,14.05142200,1
1507241794,22834803,43.76,1.00000000,1
1507241479,22834628,43.78,18.34947465,0
1507241475,22834618,43.78,18.34399270,1
1507241474,22834613,43.78,18.33828233,1
1507241462,22834578,43.78,4.30908818,1
1507241462,22834577,43.79,0.00018547,1
1507241461,22834574,43.79,11.49737383,1
1507241341,22834528,43.77,5.00000000,1
1507240989,22834297,43.84,0.65256200,0
1507240534,22833894,43.76,6.52602400,1
1507239953,22833555,43.82,3.00000000,1
1507239516,22833320,43.79,10.22381900,1
1507239400,22833247,43.85,34.35511040,0
1507239293,22833167,43.88,7.03919782,0
1507239056,22833031,43.80,2.84595759,1
1507238920,22832943,43.81,7.03811916,0
1507238791,22832838,43.83,3.31503400,1
1507238782,22832832,43.85,7.00000000,1
1507238733,22832807,43.83,3.11680034,1
1507238691,22832794,43.93,34.35511040,1
1507238582,22832701,43.99,8.26252825,1
1507238582,22832700,43.99,0.12000000,0
1507238582,22832699,43.99,7.03688525,1
1507238238,22832491,43.96,1.88023000,1
1507238238,22832490,43.89,0.12000000,0
1507238154,22832455,43.87,0.00067929,1
1507238105,22832429,43.88,9.11622608,0
1507238097,22832421,43.87,6.23934352,1
1507238095,22832420,43.87,1.88100008,0
1507238095,22832419,43.87,1.87897711,0
1507238001,22832346,43.87,0.12056700,1
1507237999,22832342,43.87,1.87966300,0
1507237997,22832341,43.87,1.13676772,0
1507237988,22832330,43.79,1.39091000,1
1507237988,22832329,43.82,9.92000000,1
1507237957,22832296,43.86,10.33977222,1
1507237957,22832295,43.90,0.00022778,1
1507237950,22832287,43.90,1.87972666,1
1507237948,22832283,43.90,64.12004556,1
1507237942,22832274,43.91,12.11964000,1
1507237928,22832219,43.86,16.22998900,1
1507237823,22832160,44.00,20.00000000,0
1507237812,22832155,44.00,2.35643351,0
1507237812,22832154,44.00,1.87772728,0
1507237781,22832137,44.00,28.27476589,1
1507237780,22832134,44.00,16.86568183,1
1507237778,22832133,44.00,0.08605868,0
1507237778,22832132,43.99,34.77349360,0
1507237642,22832060,43.82,4.27000000,1
1507237622,22832038,43.99,0.11401912,0
1507237609,22832036,43.80,1.00000000,0
1507237423,22831936,43.93,7.00000000,0
1507237380,22831924,44.00,0.11394132,0
1507237350,22831903,43.98,5.22799496,0
1507237238,22831859,43.89,10.00000000,1
1507237238,22831857,43.90,0.92662814,0
1507237236,22831856,43.90,1.26000000,0
1507237057,22831691,43.90,1.36674260,0
1507237036,22831676,43.91,1.26098300,1
1507237022,22831660,43.92,4.27052559,0
1507236997,22831640,43.95,15.60204779,0
1507236978,22831624,43.94,15.26883679,1
1507236857,22831502,43.91,5.82000000,0
1507236856,22831489,43.91,12.18000000,1
1507236732,22831342,44.04,2.21430933,0
1507236642,22831278,43.99,17.47000000,1
1507236642,22831277,44.00,4.60922938,1
1507236641,22831276,44.00,1.34613637,0
1507236633,22831265,43.99,12.50194700,1
1507236629,22831260,44.08,15.48011147,1
1507236628,22831259,44.08,23.57372300,1
1507236628,22831258,44.08,6.15805300,1
1507236626,22831253,44.08,16.78811253,1
1507236525,22831178,44.12,72.44340888,1
1507236525,22831177,44.12,11.89000000,1
1507236525,22831176,44.10,0.20000000,0
1507236525,22831175,44.10,16.77194180,1
1507236524,22831174,44.09,0.12000000,0
1507236524,22831173,44.08,2.38000000,1
1507236524,22831172,44.08,73.89191481,1
1507236524,22831171,44.00,5.46778563,0
1507236523,22831170,44.00,0.35000000,0
1507236523,22831169,44.00,0.41000000,0
1507236523,22831168,43.93,2.28365385,0
1507236523,22831167,43.89,0.12000000,0
1507236521,22831163,43.87,12.37463934,0
1507236380,22831010,43.87,9.78657652,0
1507236342,22830965,43.77,2.99506300,1
1507236342,22830964,43.77,8.30273700,1
1507236312,22830935,43.77,1.69726300,1
1507236162,22830837,43.83,18.00000000,1
1507236133,22830808,43.86,1.31727272,0
1507236016,22830712,43.79,61.22881937,1
1507235900,22830616,43.80,12.66309544,1
1507235771,22830436,43.99,0.00059614,1
1507235754,22830400,43.99,2.92407366,1
1507235730,22830372,43.99,0.00026444,1
1507235728,22830365,43.99,12.50897932,1
1507235726,22830356,43.99,16.75085248,1
1507235725,22830351,43.99,2.18115613,0
1507235725,22830350,43.99,0.12000000,0
1507235724,22830349,43.98,18.43874763,0
1507235612,22830255,43.93,1.85522422,0
1507235610,22830254,43.92,1.53000000,0
1507235547,22830188,43.91,15.36402300,1
1507235459,22830059,43.89,0.12000000,0
1507235438,22830049,43.90,49.88000000,1
1507235438,22830048,43.89,0.12000000,0
1507235360,22829984,43.85,3.73789100,1
1507235167,22829635,43.82,3.49327200,0
1507235165,22829634,43.82,1.00000000,1
1507234566,22829176,43.94,1.01502048,1
1507234564,22829175,43.89,0.12000000,0
1507234461,22829126,43.88,4.75513972,0
1507234376,22829068,43.92,0.12000000,1
1507234363,22829061,43.98,1.12046404,1
1507234361,22829059,43.89,0.12000000,0
1507234342,22829045,43.94,0.29494766,0
1507234337,22829037,43.89,0.88000000,1
1507234335,22829034,43.89,0.12000000,0
1507234324,22829022,43.89,0.12000000,0
1507234212,22828985,43.98,2.26807639,1
1507234179,22828948,43.93,1.99772417,0
1507234177,22828941,43.96,0.22679709,0
1507234166,22828924,43.82,7.60000000,1
1507234141,22828883,43.93,2.27065786,1
1507234093,22828812,43.92,7.00000000,0
1507234057,22828786,43.85,2.50000000,1
1507234044,22828785,43.95,0.10693970,1
1507234042,22828784,43.89,0.12000000,0
1507233896,22828715,43.83,0.22746977,0
1507233796,22828672,43.76,11.34821000,1
1507233657,22828552,43.81,9.99977175,0
1507233597,22828505,43.80,5.00000000,0
1507233594,22828504,43.80,10.00000000,1
1507233557,22828473,43.80,10.00000000,0
1507233534,22828463,43.79,19.91230875,0
1507233528,22828457,43.79,17.11230875,0
1507233527,22828456,43.79,2.80000000,0
1507233504,22828443,43.80,45.95844749,1
1507233502,22828438,43.80,48.76935374,1
1507233491,22828431,43.86,46.00000000,0
1507233476,22828415,43.86,15.99931586,1
1507233470,22828409,43.86,9.00000000,0
1507233460,22828395,43.83,9.94425852,1
1507233460,22828393,43.83,4.76135068,0
1507233459,22828392,43.83,4.00000000,0
1507233456,22828383,43.83,20.75792836,1
1507233452,22828378,43.88,2.27324521,0
1507233448,22828364,43.80,2.15753425,0
1507233412,22828232,43.86,2.57227543,0
1507233379,22828212,43.87,16.00000000,0
1507233328,22828191,43.85,19.00000000,0
1507233323,22828190,43.84,7.00000000,0
1507233223,22828151,43.86,9.00000000,0
1507233199,22828148,43.83,0.41200000,1
1507233091,22828103,43.85,6.00000000,0
1507233090,22828102,43.86,5.63953659,1
1507233042,22828080,43.87,11.26783680,0
1507233024,22828046,43.87,11.26510144,0
1507233001,22828031,43.86,10.56452349,1
1507233000,22828026,43.87,11.26493389,1
1507232998,22828019,43.86,11.26470589,1
1507232956,22827997,43.97,3.16741166,1
1507232956,22827996,43.96,0.20000000,0
1507232956,22827995,43.95,16.69562244,1
1507232956,22827994,43.95,1.94391200,1
1507232954,22827992,43.89,0.12000000,0
1507232926,22827978,43.88,1.36394713,0
1507232872,22827906,43.86,16.69562244,0
1507232835,22827890,43.86,14.00000000,0
1507232807,22827878,43.86,16.69562244,1
1507232754,22827820,43.95,0.69010238,0
1507232752,22827814,43.93,3.85089916,0
1507232729,22827754,43.89,6.14057872,0
1507232708,22827714,43.89,0.12000000,0
1507232708,22827712,43.85,6.24439872,0
1507232708,22827709,43.84,4.49438700,0
1507232695,22827675,43.85,21.00000000,0
1507232691,22827669,43.85,7.00000000,0
1507232685,22827663,43.84,7.28695256,0
1507232633,22827570,43.85,6.00000000,0
1507232608,22827525,43.84,5.00000000,0
1507232573,22827472,43.79,0.12000000,0
1507232391,22827350,43.65,0.99000000,1
1507232272,22827276,43.72,4.00000000,1
1507232173,22827244,43.84,45.38686131,0
1507232172,22827242,43.79,0.12000000,0
1507231934,22827156,43.68,10.60566400,1
1507231933,22827154,43.68,1.94013200,1
1507231875,22827134,43.84,10.64610789,1
1507231875,22827133,43.84,2.68000000,0
1507231875,22827132,43.84,8.46981530,0
1507231874,22827130,43.76,28.20430681,0
1507231691,22827053,43.81,13.96000000,1
1507231691,22827052,43.80,15.92000000,0
1507231691,22827051,43.79,0.12000000,0
1507231672,22827042,43.73,10.00000000,0
1507231650,22827030,43.68,6.00000000,0
1507231554,22826949,43.69,16.00000000,0
1507231545,22826929,43.64,39.84689500,1
1507231517,22826887,43.63,8.94136700,1
1507231458,22826840,43.65,16.45547800,1
1507231443,22826816,43.82,124.70234606,0
1507231443,22826815,43.82,11.75999990,0
1507231441,22826813,43.79,0.12000000,0
1507231431,22826808,43.74,6.31000000,0
1507231202,22826657,43.58,2.69000000,1
1507231146,22826620,43.73,16.62104123,1
1507231077,22826594,43.68,2.69459707,0
1507230982,22826541,43.68,1.00000000,1
1507230917,22826504,43.59,0.45516000,1
1507230882,22826448,43.69,6.00000000,1
1507230861,22826436,43.68,15.95000000,1
1507230861,22826435,43.69,25.29119490,1
1507230861,22826434,43.74,40.24439872,1
1507230859,22826433,43.75,1.20400000,1
1507230815,22826400,43.75,5.95488600,1
1507230450,22826146,43.79,0.12000000,0
1507230351,22826095,43.76,5.71298000,1
1507230128,22825870,43.78,15.98000041,1
1507230128,22825869,43.77,14.01999959,0
1507230031,22825808,43.74,8.57082200,1
1507229894,22825665,43.71,22.40928300,1
1507229836,22825569,43.66,3.00000000,1
1507229808,22825556,43.75,0.36022857,0
1507229613,22825411,43.66,9.58605200,1
1507229568,22825371,43.95,0.67126170,1
1507229567,22825370,43.89,0.12000000,0
1507229567,22825369,43.84,1.08896830,0
1507229567,22825368,43.79,0.12000000,0
1507229561,22825363,43.72,11.88999500,1
1507229517,22825332,43.61,14.01999959,1
1507229516,22825331,43.61,23.81000002,0
1507229516,22825330,43.62,13.27000000,1
1507229516,22825327,43.71,0.00000039,1
1507229467,22825255,43.77,2.00091387,0
1507229458,22825248,43.71,1.67771700,1
1507229444,22825244,43.72,5.47632700,1
1507229405,22825219,43.75,1.00000000,0
1507229329,22825125,43.75,1.00000000,0
1507229058,22824944,43.76,1.08973000,1
1507228961,22824881,43.73,24.81000000,1
1507228960,22824880,43.73,12.19000000,0
1507228958,22824870,43.55,3.00000000,1
1507228949,22824865,43.55,0.27961873,1
1507228909,22824842,43.67,1.79106640,1
1507228879,22824826,43.72,10.21128107,1
1507228836,22824784,43.72,2.94583290,1
1507228833,22824780,43.74,11.14357567,1
1507228806,22824747,43.82,0.88000000,0
1507228799,22824727,43.69,73.89229900,0
1507228794,22824712,43.86,11.37140902,0
1507228634,22824494,43.79,10.00000000,1
1507228633,22824490,43.78,50.00000000,0
1507228610,22824458,43.74,49.00000000,1
1507228610,22824456,43.75,50.00000000,1
1507228594,22824440,43.79,5.24000020,0
1507228594,22824439,43.78,11.75999980,0
1507228584,22824431,43.77,30.44781743,0
1507228581,22824427,43.70,0.12000000,1
1507228580,22824425,43.79,0.88000000,1
1507228578,22824421,43.79,0.12000000,0
1507228573,22824406,43.71,9.02000000,1
1507228563,22824388,43.75,99.81730000,1
1507228557,22824383,43.71,2.16270000,1
1507228494,22824315,43.64,2.47417800,1
1507228494,22824313,43.64,25.17000000,1
1507228494,22824310,43.65,10.97073300,1
1507228468,22824257,43.75,59.80999980,1
1507228467,22824256,43.74,0.00000020,0
1507228466,22824254,43.74,4.23594180,1
1507228258,22824137,43.75,3.05030523,1
1507228247,22824134,43.75,13.28000000,1
1507228230,22824120,43.75,1.16457000,1
1507228206,22824112,43.75,9.79219600,1
1507228164,22824082,43.75,3.98426700,1
