date,tid,price,amount,type
1505606408,21611567,3140.57,0.00149066,0
1505606407,21611564,3140.57,0.05000000,0
1505606387,21611535,3156.22,0.01422203,0
1505606305,21611487,3157.55,0.20000156,0
1505606305,21611486,3157.55,0.01760000,0
1505606111,21611413,3157.36,0.14889465,0
1505606062,21611407,3140.07,0.41553000,1
1505606052,21611401,3157.39,0.27025000,1
1505606051,21611400,3157.39,0.03000000,0
1505606010,21611396,3142.08,0.03146490,1
1505606010,21611395,3142.16,0.01760000,1
1505605870,21611370,3157.32,0.08032169,0
1505605870,21611369,3157.32,0.01255562,0
1505605797,21611354,3140.01,0.00200056,1
1505605797,21611353,3140.06,0.00256306,1
1505605773,21611329,3149.83,0.01240000,0
1505605771,21611328,3149.83,0.00919056,0
1505605751,21611327,3149.84,0.10611612,0
1505605751,21611326,3148.90,0.04670181,0
1505605610,21611318,3149.72,0.12889277,0
1505605564,21611309,3140.00,0.20550100,1
1505605532,21611303,3149.85,0.00266727,0
1505605532,21611302,3149.85,0.01000000,0
1505605451,21611289,3140.01,0.17788996,1
1505605439,21611286,3149.83,0.01400000,0
1505605370,21611280,3149.86,0.01943385,0
1505605370,21611279,3149.85,0.08081615,0
1505605315,21611275,3139.62,0.03035190,1
1505605231,21611262,3136.73,0.02060071,1
1505605073,21611196,3148.60,0.15152503,0
1505605013,21611144,3149.17,0.04560481,0
1505605013,21611143,3148.72,0.01763820,0
1505605013,21611142,3147.78,0.00556603,0
1505604868,21611112,3135.02,0.07731813,1
1505604867,21611110,3135.02,0.23951596,1
1505604845,21611096,3134.43,0.33608663,1
1505604808,21611081,3147.78,0.03014571,1
1505604807,21611079,3147.78,0.02496437,1
1505604806,21611077,3147.78,0.01060344,0
1505604771,21611074,3147.79,0.00860974,0
1505604771,21611073,3147.78,0.02120688,0
1505604676,21611058,3130.17,0.02130263,1
1505604637,21611018,3130.01,0.01774752,1
1505604636,21611017,3130.05,0.44023560,1
1505604636,21611016,3145.00,0.15352162,0
1505604636,21611015,3144.95,0.08463179,0
1505604636,21611014,3144.92,0.32141537,0
1505604626,21611005,3130.04,0.31760354,1
1505604573,21610985,3129.50,0.04904936,0
1505604567,21610980,3129.44,0.03561280,1
1505604567,21610979,3136.24,0.04871469,1
1505604566,21610978,3137.29,0.00107243,1
1505604558,21610976,3137.29,0.04892757,0
1505604556,21610972,3137.29,0.34976005,1
1505604550,21610970,3139.21,0.00000315,1
1505604547,21610962,3139.21,0.03872700,1
1505604483,21610927,3150.49,0.01329634,0
1505604317,21610869,3139.21,0.01000000,1
1505604292,21610844,3139.22,0.02714220,1
1505604279,21610833,3150.99,0.05203989,1
1505604279,21610832,3151.00,0.03000000,1
1505604279,21610831,3156.13,0.03906537,1
1505604277,21610829,3156.13,0.05000000,0
1505604277,21610828,3156.13,0.21093463,0
1505604277,21610827,3156.13,0.03906537,0
1505604277,21610826,3151.66,0.03000000,0
1505604276,21610825,3151.00,0.17291326,0
1505604276,21610824,3151.00,0.03000000,0
1505604273,21610813,3150.99,0.02957101,0
1505604211,21610805,3150.99,0.00889393,0
1505604173,21610800,3148.55,0.01180731,0
1505604171,21610799,3148.55,0.02175000,0
1505604144,21610791,3140.26,0.00381183,1
1505604132,21610788,3151.00,0.02515720,0
1505604083,21610781,3151.00,0.82064423,0
1505604083,21610780,3147.67,0.03000000,0
1505604081,21610779,3145.88,0.00421342,0
1505604072,21610778,3145.88,0.00578658,0
1505604072,21610777,3145.88,0.00691342,0
1505604024,21610773,3145.88,0.00308658,0
1505603760,21610725,3150.00,0.01499345,1
1505603746,21610723,3150.00,0.04873015,1
1505603745,21610722,3150.00,0.42351237,1
1505603745,21610721,3150.00,0.15000000,1
1505603737,21610718,3150.42,0.04857041,1
1505603706,21610714,3151.00,1.95128531,1
1505603668,21610696,3158.68,0.07787732,0
1505603661,21610688,3151.00,0.04871469,1
1505603658,21610682,3156.38,0.41993839,1
1505603657,21610681,3156.58,1.04954841,1
1505603641,21610667,3156.58,0.40000000,1
1505603611,21610650,3169.98,0.29519713,0
1505603591,21610647,3169.99,0.06929359,0
1505603591,21610646,3169.99,0.09107383,0
1505603590,21610645,3169.94,0.00301649,1
1505603590,21610644,3163.38,0.01462729,0
1505603588,21610641,3157.20,0.00752003,0
1505603587,21610640,3156.58,0.03489000,1
1505603568,21610621,3157.20,0.12500000,0
1505603565,21610616,3160.00,0.00391297,1
1505603489,21610593,3169.99,0.07293724,0
1505603489,21610592,3169.99,0.10000000,0
1505603489,21610591,3169.99,0.79805818,0
1505603489,21610590,3169.98,0.02925458,0
1505603449,21610579,3169.97,0.00882720,0
1505603401,21610570,3169.97,0.01396359,0
1505603369,21610552,3169.99,0.21669933,0
1505603369,21610551,3169.98,0.08129995,0
1505603189,21610526,3169.31,0.01849759,0
1505603149,21610521,3160.00,0.01008703,1
1505602985,21610498,3169.99,0.17706232,0
1505602985,21610497,3169.95,0.01000000,0
1505602909,21610481,3161.98,0.01310000,1
1505602906,21610478,3169.90,0.02520085,0
1505602838,21610470,3171.68,0.00315286,0
1505602745,21610462,3172.00,0.29012111,0
1505602597,21610408,3173.55,0.03646075,0
1505602565,21610406,3173.59,0.00927656,1
1505602563,21610405,3169.87,0.00644618,0
1505602525,21610398,3161.00,0.10000000,1
1505602472,21610389,3169.87,0.02109288,0
1505602472,21610388,3169.84,0.96641708,0
1505602418,21610349,3157.08,0.10000000,1
1505602385,21610333,3169.85,0.03007070,0
1505602324,21610328,3170.35,0.03565951,0
1505602273,21610286,3170.61,0.10351222,0
1505602221,21610264,3156.93,0.05306680,1
1505602213,21610257,3156.98,0.17728600,1
1505602208,21610252,3156.98,0.03559272,1
1505602208,21610251,3156.98,0.07736928,1
1505602206,21610250,3156.98,0.21263072,1
1505602206,21610249,3156.99,0.00280000,1
1505602206,21610248,3157.00,0.07477228,1
1505602197,21610246,3157.02,0.00021649,1
1505602197,21610245,3157.05,0.30971851,1
1505602192,21610244,3165.82,0.20223512,1
1505602185,21610239,3170.36,0.00000239,1
1505602184,21610233,3170.36,1.74537595,1
1505602166,21610231,3174.46,0.03751368,0
1505602166,21610230,3170.59,0.03000000,0
1505602166,21610229,3169.85,0.03764532,0
1505602166,21610228,3169.85,0.00797726,0
1505602164,21610227,3169.86,0.30971851,0
1505601944,21610206,3165.16,0.01466104,0
1505601944,21610205,3165.15,0.01501880,0
1505601915,21610199,3156.98,0.00797726,1
1505601914,21610195,3164.99,0.00322197,1
1505601908,21610194,3164.99,0.10000000,1
1505601897,21610180,3164.99,0.03000000,0
1505601881,21610175,3156.95,0.01312982,1
1505601874,21610170,3165.16,0.01003023,0
1505601873,21610169,3165.00,0.11938316,1
1505601873,21610165,3165.00,0.06035012,1
1505601873,21610162,3165.00,0.40111534,1
1505601872,21610160,3165.00,0.06003759,0
1505601823,21610149,3165.07,0.01455000,0
1505601749,21610135,3163.27,0.01349553,1
1505601737,21610130,3156.85,0.08183293,1
1505601737,21610129,3156.88,0.32000000,1
1505601736,21610128,3157.02,0.17073654,0
1505601736,21610127,3157.02,0.92743053,1
1505601724,21610122,3171.72,0.01514587,0
1505601712,21610115,3161.16,0.07499779,1
1505601703,21610113,3160.22,0.06867244,0
1505601684,21610107,3171.78,0.00881024,0
1505601594,21610094,3161.01,0.07075508,1
1505601566,21610091,3175.63,0.11556047,0
1505601566,21610090,3175.09,0.15858130,0
1505601566,21610089,3172.90,0.03000000,0
1505601547,21610086,3175.65,0.01421136,0
1505601526,21610081,3159.27,0.05000000,1
1505601484,21610075,3175.78,0.01530063,0
1505601443,21610062,3175.88,0.03067764,0
1505601373,21610046,3156.67,0.01031962,1
1505601368,21610040,3156.74,0.01055847,1
