date,tid,price,amount,type
1505606415,21611583,0.06879987,0.26495727,0
1505606414,21611582,0.06880987,0.32448000,1
1505606413,21611581,0.06880000,0.20000000,0
1505606412,21611580,0.06880987,7.38126172,0
1505606410,21611574,0.06880987,0.52484700,0
1505606407,21611562,0.06880987,5.80954551,0
1505606395,21611536,0.06871600,0.74932564,1
1505606372,21611534,0.06878000,1.98765000,0
1505606364,21611531,0.06873300,1.99948000,0
1505606352,21611525,0.06870700,1.98765000,0
1505606350,21611517,0.06867400,0.19942169,0
1505606347,21611513,0.06867400,0.60005242,0
1505606346,21611509,0.06867400,0.60019803,0
1505606344,21611505,0.06867400,0.60003786,0
1505606341,21611500,0.06867000,0.12626131,0
1505606057,21611406,0.06853363,6.06318000,1
1505606054,21611405,0.06853349,3.75783180,1
1505605921,21611383,0.06866600,1.48193162,0
1505605921,21611382,0.06866599,0.28806838,0
1505605867,21611367,0.06850028,0.22999500,1
1505605565,21611310,0.06850224,2.99991694,1
1505605186,21611255,0.06850086,0.29257000,1
1505605178,21611246,0.06850087,0.26548145,1
1505605177,21611245,0.06850087,0.22999500,0
1505605175,21611241,0.06850087,0.65654670,1
1505605151,21611223,0.06850043,0.26499500,1
1505604852,21611104,0.06853602,0.36000000,0
1505604848,21611099,0.06853603,4.90412000,0
1505604818,21611085,0.06855198,0.44155000,1
1505604807,21611080,0.06855196,0.36602814,1
1505604674,21611055,0.06871400,0.90179247,0
1505604674,21611054,0.06868493,0.54415794,0
1505604674,21611053,0.06868493,0.31014999,0
1505604604,21610998,0.06868672,0.07369600,0
1505604599,21610997,0.06868669,2.07594176,0
1505604572,21610982,0.06869536,14.95435000,0
1505604547,21610961,0.06853601,0.56506062,1
1505604480,21610926,0.06868199,3.98701000,0
1505604480,21610925,0.06864000,0.42550000,0
1505604390,21610912,0.06859000,0.20000000,1
1505604313,21610868,0.06862200,1.89545200,1
1505604306,21610861,0.06861102,1.00193700,1
1505604305,21610860,0.06862000,0.42550000,1
1505604304,21610857,0.06865000,1.98765000,1
1505604291,21610843,0.06866600,1.36060352,1
1505604286,21610840,0.06867800,1.99908000,1
1505604286,21610839,0.06868600,0.22097700,1
1505604279,21610830,0.06868600,1.76667300,1
1505604247,21610808,0.06873003,8.55000000,1
1505604157,21610798,0.06875700,1.54272100,0
1505604145,21610794,0.06876900,1.98765000,0
1505604145,21610793,0.06874285,2.29097902,0
1505604145,21610792,0.06873000,0.32465000,0
1505604015,21610771,0.06860911,0.23558623,1
1505603958,21610765,0.06874000,0.10045000,0
1505603957,21610764,0.06873994,0.57993800,0
1505603948,21610762,0.06866400,0.00000300,0
1505603932,21610751,0.06866400,1.99996000,1
1505603932,21610750,0.06866401,0.26491700,1
1505603882,21610746,0.06881895,0.52731800,0
1505603703,21610713,0.06874392,1.00000000,1
1505603693,21610712,0.06874400,1.42375500,0
1505603684,21610705,0.06870713,4.65007000,1
1505603684,21610704,0.06870713,11.21000000,1
1505603679,21610702,0.06870700,1.99976000,0
1505603641,21610668,0.06865900,0.23000000,0
1505603600,21610648,0.06850011,10.44169627,1
1505603589,21610643,0.06852011,5.04648341,1
1505603589,21610642,0.06860000,1.99908000,1
1505603565,21610617,0.06864300,1.56247339,1
1505603565,21610614,0.06865000,0.42510000,1
1505603461,21610583,0.06873297,0.09979078,0
1505603461,21610582,0.06873296,2.90000000,0
1505603215,21610530,0.06858600,1.99992000,1
1505602743,21610461,0.06869000,0.01138037,0
1505602743,21610460,0.06868900,1.98765000,0
1505602743,21610459,0.06861418,0.33323463,0
1505602721,21610457,0.06861466,0.23356662,0
1505602718,21610455,0.06861466,0.23370075,0
1505602714,21610453,0.06857528,1.00000000,0
1505602661,21610437,0.06861466,0.09974900,0
1505602651,21610433,0.06861466,0.09974900,0
1505602562,21610404,0.06866600,1.98765000,0
1505602562,21610403,0.06865600,1.99931000,0
1505602562,21610402,0.06860071,1.21327341,0
1505602562,21610401,0.06858393,1.09875852,0
1505602431,21610368,0.06859990,0.66999900,0
1505602421,21610358,0.06859990,0.70574712,0
1505602418,21610347,0.06859990,7.22185000,0
1505602417,21610345,0.06859990,0.43114100,0
1505602412,21610341,0.06866400,1.98765000,0
1505602412,21610340,0.06866220,0.87033400,0
1505602412,21610339,0.06866219,0.78213235,0
1505602404,21610336,0.06865280,1.71200000,0
1505602397,21610335,0.06850229,12.06224719,1
1505602284,21610289,0.06853592,0.45297538,1
1505602273,21610285,0.06855300,1.99965000,1
1505602266,21610284,0.06860971,1.13196000,0
1505602265,21610282,0.06860971,1.76588000,0
1505602264,21610280,0.06860972,4.89203822,1
1505602263,21610279,0.06860979,0.72165700,1
1505602261,21610278,0.06860972,1.22400000,1
1505602209,21610253,0.06865258,0.36740000,0
1505602189,21610243,0.06855301,2.94976055,0
1505602186,21610242,0.06855301,0.10060400,0
1505601968,21610210,0.06865796,1.00000000,0
1505601968,21610208,0.06865796,1.00000000,0
1505601923,21610203,0.06866220,1.12966600,0
1505601923,21610202,0.06863435,0.62852800,0
1505601919,21610201,0.06863435,0.09983800,0
1505601914,21610198,0.06863435,0.17326400,0
1505601914,21610196,0.06863435,0.99853300,0
1505601907,21610189,0.06863435,0.09983700,0
1505601905,21610186,0.06863434,0.00146700,0
1505601898,21610181,0.06863434,0.20649800,0
1505601845,21610157,0.06865000,0.42500000,0
1505601749,21610136,0.06859090,0.19685700,1
1505601713,21610117,0.06858900,1.09337793,1
1505601712,21610116,0.06868000,0.00011007,1
1505601696,21610108,0.06868000,0.99988993,1
1505601451,21610065,0.06858000,0.42500000,1
1505601390,21610054,0.06861900,0.22999500,1
1505601364,21610033,0.06874914,0.15371850,1
1505601363,21610032,0.06874914,4.84628150,0
1505601325,21610017,0.06859914,0.67970503,1
1505601322,21610016,0.06862505,0.35054255,1
1505601309,21610002,0.06862504,0.17502358,1
1505601298,21609996,0.06862441,0.36891142,1
1505601229,21609978,0.06875470,0.49788700,0
1505601227,21609976,0.06875470,0.49065558,0
1505601217,21609970,0.06875197,1.75054015,0
1505601217,21609969,0.06873000,0.11015568,0
1505601202,21609963,0.06873261,2.90000000,0
1505601187,21609954,0.06859019,3.88200800,0
1505601186,21609953,0.06859019,0.11645000,1
1505601154,21609922,0.06855363,0.28830000,1
1505601102,21609875,0.06859004,0.37477176,1
1505601081,21609866,0.06859400,1.46083000,1
1505601062,21609841,0.06873300,0.95570200,0
1505601062,21609839,0.06871900,1.98765000,0
1505601029,21609823,0.06862500,0.45850550,0
1505601029,21609822,0.06862499,0.48086850,0
1505601022,21609820,0.06875469,1.99920000,1
1505601020,21609819,0.06875469,1.44309500,0
1505601020,21609818,0.06862800,1.99920000,0
1505601020,21609817,0.06861300,0.98685000,0
