volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
1074755.3444,BTCETH,4229.83175344,253.920498019,2154,BTC,ETH
2979833.28644,BTCEUR,807.73340712,3690.78723219,4381,BTC,EUR
284915.698668,BTCLTC,5580.20092692,51.1437348122,614,BTC,LTC
21086552.3771,BTCUSD,5826.78659546,3632.76722082,6725,BTC,USD
231004.816064,BTCXRP,1280938.21862,0.180503554512,656,BTC,XRP
1110545.9159,ETHBTC,4371.43374522,253.917769091,2129,ETH,BTC
1872154.20668,ETHEUR,7349.66835365,255.718961882,4275,ETH,EUR
1818951.07189,ETHUSD,7292.38993922,251.006819549,3990,ETH,USD
3091943.1618,EURBTC,839.57318412,3709.31893568,5473,EUR,BTC
1267375.64081,EURETH,4914.64675561,258.124643486,3964,EUR,ETH
341781.505517,EURLTC,6653.11861154,51.8174508456,1784,EUR,LTC
558471.968107,EURUSD,477461.72623,1.1702800083,1205,EUR,USD
339344.067082,EURXRP,1862938.488,0.181798036627,999,EUR,XRP
207121.327672,LTCBTC,4066.10016999,50.9414307567,313,LTC,BTC
554795.456368,LTCEUR,10815.3046239,51.4898220417,1890,LTC,EUR
886741.571658,LTCUSD,17563.7424001,50.713302553,1841,LTC,USD
21341294.811,USDBTC,5880.79522828,3632.50213574,10638,USD,BTC
3084229.36523,USDETH,12254.9415973,252.331713504,5480,USD,ETH
588659.090023,USDEUR,500750.35684,1.17520088252,1779,USD,EUR
923308.583322,USDLTC,18217.199407,50.9528796343,1969,USD,LTC
955389.730614,USDXRP,5381904.70171,0.1776714125,1600,USD,XRP
276758.672097,XRPBTC,1533769.56132,0.180516223124,720,XRP,BTC
254331.78529,XRPEUR,1409429.76497,0.180972720349,750,XRP,EUR
712494.92446,XRPUSD,4024433.38569,0.177917628267,1033,XRP,USD
