date,tid,price,amount,type
1503082455,18776510,3562.12,0.03031470,1
1503082348,18776408,3570.01,0.02757389,0
1503082345,18776403,3570.01,0.04721037,0
1503082345,18776401,3570.01,0.02171301,0
1503082336,18776388,3570.00,0.04000000,1
1503082336,18776387,3570.00,0.18000000,1
1503082335,18776386,3570.00,0.05709085,0
1503082326,18776364,3562.05,0.54655462,1
1503082326,18776363,3570.00,0.95344538,1
1503082324,18776343,3570.00,0.04000000,1
1503082323,18776334,3570.00,0.19000000,1
1503082322,18776329,3570.00,0.19000000,0
1503082277,18776285,3570.00,0.02087800,0
1503082274,18776281,3570.00,0.08165901,0
1503082256,18776264,3570.00,0.06141013,0
1503082216,18776248,3565.00,0.01130000,1
1503082191,18776211,3570.01,0.82529257,0
1503082168,18776189,3565.00,0.03709348,1
1503082161,18776184,3570.01,0.36266471,0
1503082161,18776183,3570.00,0.23000000,0
1503082151,18776176,3570.00,0.00398590,0
1503082150,18776175,3564.00,0.02882010,0
1503082150,18776169,3564.00,0.33924333,0
1503082143,18776156,3565.09,0.05609957,1
1503082143,18776155,3565.10,0.07583700,1
1503082140,18776154,3570.00,0.00503081,0
1503082098,18776144,3570.00,0.15113895,1
1503082086,18776131,3570.00,0.20000000,1
1503082085,18776130,3570.00,0.07000000,1
1503082072,18776114,3570.00,0.25000000,1
1503082059,18776106,3570.00,0.28000000,1
1503082055,18776105,3570.01,0.79000000,1
1503082005,18776052,3580.00,0.93190755,0
1503082005,18776051,3579.99,0.06809245,0
1503082001,18776043,3570.01,0.50000000,1
1503081999,18776039,3579.99,0.07190755,0
1503081999,18776038,3579.97,0.02400000,0
1503081994,18776033,3579.97,0.00600000,0
1503081925,18775987,3574.91,0.15051848,1
1503081920,18775985,3574.91,0.08651854,1
1503081913,18775983,3580.00,0.08628770,0
1503081911,18775982,3579.99,0.04736150,1
1503081911,18775981,3579.99,0.15000000,0
1503081847,18775951,3574.91,0.03300000,1
1503081839,18775941,3574.91,0.00034300,1
1503081839,18775940,3579.99,0.22855700,1
1503081838,18775939,3580.00,0.09063400,0
1503081836,18775933,3580.00,0.16417768,0
1503081836,18775931,3579.99,0.13000000,0
