date,tid,price,amount,type
1503082366,18776423,251.34,1.00163000,1
1503082364,18776422,251.35,1.36744390,0
1503082239,18776255,251.36,1.00000000,0
1503082191,18776213,251.36,1.50700190,0
1503082189,18776202,251.35,1.36744390,0
1503082188,18776197,251.35,0.17255610,0
1503082114,18776151,251.36,1.70854551,0
1503082112,18776150,251.35,2.26000000,0
1503082103,18776146,251.36,0.00339000,0
1503082102,18776145,251.35,2.26000000,0
1503082050,18776100,251.35,1.77021000,0
1503082004,18776048,251.07,1.63141365,1
1503081978,18776007,251.03,0.00309000,1
1503081978,18776006,251.28,1.06000000,1
1503081978,18776005,251.28,1.00000000,1
1503081925,18775988,251.36,2.13964035,0
1503081914,18775984,251.36,1.22894600,0
1503081891,18775979,252.57,0.60000000,0
1503081836,18775930,252.60,0.38052256,0
1503081836,18775929,252.60,0.75000000,0
1503081836,18775928,252.59,7.41256584,1
1503081835,18775925,252.59,0.15489783,1
1503081835,18775924,252.59,1.28535100,0
1503081803,18775911,252.53,0.50306100,0
1503081607,18775755,251.41,0.00031355,1
1503081606,18775754,252.15,0.20931545,1
1503081478,18775684,252.15,0.21400000,1
1503081465,18775683,252.15,0.57668455,1
1503081465,18775682,252.41,0.69331643,1
1503081452,18775678,252.88,0.00000003,1
1503081452,18775677,252.88,0.99999997,1
1503081330,18775594,253.00,1.90380518,1
1503081330,18775593,253.00,0.00353746,1
1503081330,18775592,253.06,0.07686536,1
1503081195,18775487,253.55,0.26752119,0
1503081195,18775486,253.54,4.30000000,1
1503081194,18775485,253.54,0.86000000,1
1503081193,18775484,253.54,0.71000000,0
1503081127,18775469,253.85,0.00000189,1
1503081126,18775467,253.85,0.21399811,1
1503081126,18775466,254.00,0.00000189,1
1503080806,18775278,254.10,0.18651075,1
1503080785,18775265,254.99,8.47000000,0
1503080785,18775264,254.80,0.40000000,0
1503080785,18775263,254.79,0.63000000,0
1503080755,18775244,254.03,1.33842460,1
1503080736,18775236,254.02,5.23027000,1
1503080632,18775187,254.99,4.52000000,0
1503080632,18775186,254.98,4.15000000,0
1503080632,18775185,254.82,0.83000000,0
1503080551,18775138,254.02,0.25743000,1
1503080445,18775065,254.39,20.00000000,0
1503080302,18774954,254.82,2.84531300,0
1503080302,18774953,254.81,9.15468700,0
1503080233,18774886,254.00,0.03047000,1
1503080232,18774882,254.00,0.17086669,1
1503080130,18774761,255.14,0.14527162,0
1503080129,18774760,255.13,9.37875900,0
1503080129,18774759,254.30,0.21400000,0
1503080129,18774758,253.96,0.38196938,0
1503080129,18774757,253.95,0.88000000,0
1503079989,18774648,253.60,0.29881600,1
1503079989,18774647,253.60,0.41000000,1
1503079989,18774646,253.60,0.40000000,1
1503079988,18774642,253.67,0.03528593,1
1503079987,18774640,253.67,0.17871407,1
1503079932,18774526,254.90,0.51000000,0
1503079932,18774525,254.89,4.61000000,0
1503079931,18774524,254.87,0.92000000,0
1503079931,18774523,254.87,0.64000000,0
1503079931,18774522,254.86,4.32000000,0
1503079855,18774348,253.54,0.36238479,1
1503079656,18774209,255.70,0.40756360,1
1503079655,18774204,255.70,1.21200626,1
1503079653,18774203,254.54,0.21300000,0
1503079653,18774202,254.53,0.76000000,0
1503079653,18774201,254.52,0.40743014,0
1503079608,18774113,253.51,1.26300000,0
1503079606,18774104,253.06,0.92313464,1
1503079606,18774102,253.40,0.31000000,1
1503079606,18774099,253.50,0.07686536,1
1503079606,18774096,253.50,1.00353700,1
1503079605,18774094,253.50,9.77629764,1
1503079605,18774091,253.51,1.05000000,1
1503079605,18774087,253.52,0.03040236,1
1503079602,18774080,253.52,0.18259764,1
1503079592,18774022,255.55,0.00000039,1
1503079592,18774017,255.55,3.76054900,1
1503079591,18774014,255.55,2.95445400,1
1503079587,18773997,255.55,2.92668500,1
1503079586,18773990,255.55,0.18017536,1
1503079555,18773946,255.56,0.60576300,1
1503079552,18773938,255.56,0.16613896,1
1503079541,18773928,255.55,0.71940000,1
1503079540,18773926,255.55,0.39252400,1
1503079532,18773912,255.55,0.34833300,1
1503079531,18773907,255.55,0.71787925,1
1503079515,18773885,254.79,0.15432669,1
1503079507,18773877,254.79,0.15522507,1
1503079460,18773823,254.84,2.00000000,1
1503079460,18773821,256.01,1.39057506,1
1503079459,18773815,256.01,0.17916797,1
1503079458,18773811,256.01,0.37842306,0
1503079436,18773737,254.85,8.84724344,1
1503079431,18773719,254.82,0.15276724,1
1503079430,18773717,254.82,6.95058000,1
1503079430,18773713,254.82,1.00000000,1
1503079430,18773712,254.82,1.00000000,1
1503079396,18773699,254.91,0.02479000,1
1503079392,18773688,254.89,3.16724858,1
1503079386,18773675,254.82,0.18096039,1
1503079303,18773628,254.89,9.16818000,1
1503079260,18773566,254.85,1.28656000,1
1503079256,18773564,254.83,0.25736400,1
1503079255,18773563,254.84,0.21200000,1
1503079253,18773562,254.83,0.02469000,0
1503079245,18773556,254.82,1.37058000,1
1503079231,18773555,254.81,0.32602000,1
1503079224,18773552,254.79,0.29778900,1
1503079207,18773539,255.10,10.00000000,0
1503078936,18773347,254.01,0.97216480,1
1503078928,18773335,254.01,7.48301132,1
1503078928,18773333,254.02,0.40742600,1
1503078920,18773324,254.02,0.59225600,1
1503078882,18773304,254.02,0.00031800,1
1503078882,18773303,254.02,0.21200000,1
1503078864,18773285,254.10,2.23632908,1
1503078855,18773267,255.89,1.10348196,1
1503078855,18773265,254.53,0.69161759,0
1503078854,18773264,254.49,8.93814000,1
1503078853,18773263,254.49,0.21199805,0
1503078834,18773250,254.10,8.46646992,0
1503078834,18773249,254.08,1.29720100,0
1503078664,18773134,254.12,8.46584290,1
1503078664,18773132,254.10,0.18763728,0
1503078663,18773130,254.06,3.90000000,0
1503078663,18773128,253.94,6.11502718,1
1503078662,18773127,253.94,0.18412813,1
1503078661,18773124,253.94,0.78000000,0
1503078648,18773112,253.00,0.34000000,1
1503078638,18773096,253.00,0.05000000,1
1503078637,18773095,253.00,1.00000000,1
1503078559,18772895,253.47,0.21199805,1
1503078559,18772891,253.50,0.02080195,1
1503078466,18772612,254.10,0.37788272,0
1503078464,18772610,254.07,0.21100000,0
1503078434,18772577,253.50,1.00000000,1
1503078297,18772463,254.12,0.39000000,0
1503078225,18772380,254.00,0.41822200,1
1503078210,18772361,254.00,0.75348700,1
1503078204,18772351,254.00,1.96074805,1
1503078202,18772346,254.00,1.41924000,1
1503078201,18772342,254.00,2.57254600,1
1503078200,18772340,254.00,1.37954700,1
1503078195,18772329,254.19,0.39242299,1
1503078182,18772303,254.26,0.03793238,0
1503078141,18772260,254.30,10.00000000,0
1503078136,18772257,253.50,0.47540800,1
1503077932,18772118,253.80,0.18447902,0
1503077884,18772004,253.00,0.24999864,1
1503077883,18772003,253.00,0.00000136,1
1503077805,18771896,253.00,0.09728000,1
1503077785,18771863,253.00,0.89233326,1
1503077785,18771862,253.14,0.10766674,1
1503077754,18771809,253.14,0.19999500,1
1503077745,18771757,253.14,9.61600000,1
1503077717,18771633,253.14,0.07633826,1
1503077717,18771632,253.15,0.21100000,1
1503077706,18771587,253.15,1.55297000,1
1503077706,18771585,253.15,0.84000000,1
1503077659,18771506,253.20,0.00000500,0
1503077659,18771505,253.20,2.48109500,0
1503077563,18771290,253.89,0.00105000,0
1503077562,18771288,253.88,0.70000000,0
1503077550,18771275,253.88,0.27111234,0
1503077542,18771264,253.41,0.15968635,0
1503077533,18771221,252.09,2.94632205,0
1503077533,18771214,252.09,0.13367795,0
1503077525,18771203,253.12,1.00000000,1
1503077525,18771202,253.40,0.10000000,1
1503077523,18771200,250.00,1.01412283,1
1503077523,18771199,250.00,1.00000000,1
1503077523,18771198,250.00,0.25000000,1
1503077523,18771197,250.00,0.58992150,1
1503077522,18771196,250.00,3.29409328,1
1503077522,18771194,250.00,1.20000000,1
1503077522,18771193,250.00,1.14516000,1
