date,tid,price,amount,type
1503082453,18776509,0.01063118,43.36911899,0
1503082453,18776508,0.01063118,0.22286009,1
1503081986,18776026,0.01072000,0.37373499,1
1503081986,18776025,0.01072001,10.00000000,1
1503081986,18776024,0.01072002,2.28385767,1
1503081708,18775868,0.01072000,0.63062576,1
1503081707,18775865,0.01072001,17.74223117,0
1503081706,18775864,0.01072001,2.62714307,1
1503081523,18775698,0.01072000,3.99563925,1
1503081523,18775697,0.01072001,0.31111475,1
1503080928,18775339,0.01076988,1.85656664,0
1503079606,18774100,0.01083778,29.02494200,0
1503079493,18773862,0.01083816,25.70691427,0
1503079451,18773781,0.01083838,0.54947574,0
1503079247,18773560,0.01078575,10.00000000,1
1503079247,18773559,0.01078577,0.68040795,1
1503078865,18773293,0.01078601,21.59861000,1
1503078717,18773168,0.01078843,1.00000000,1
1503078303,18772472,0.01078612,9.73947403,1
1503078303,18772471,0.01080076,0.79006438,1
1503078179,18772299,0.01090945,21.26968200,0
1503078179,18772297,0.01090945,31.13377100,0
1503077752,18771802,0.01093975,1.97397000,0
1503077350,18770605,0.01084103,3.38779689,0
1503077349,18770599,0.01084103,0.79739600,0
1503077348,18770596,0.01084103,0.45000000,0
1503077310,18770412,0.01083723,5.75941263,0
1503077304,18770364,0.01083681,5.63023312,0
1503077303,18770360,0.01083680,3.52518788,0
1503076936,18769934,0.01083838,11.93536303,0
1503076660,18769722,0.01083971,11.07673175,1
1503076658,18769720,0.01081487,8.31553593,0
1503076549,18769601,0.01083987,8.29712441,0
1503076548,18769593,0.01081487,0.93022355,0
1503076189,18769227,0.01081487,2.83786300,0
1503076189,18769226,0.01078821,0.17492800,0
1503075946,18769041,0.01076008,6.26060700,1
1503075931,18769017,0.01078821,9.82507200,0
1503075857,18768942,0.01078772,3.66249772,0
1503075464,18768579,0.01077441,1.08070761,1
1503075263,18768412,0.01077441,1.50000000,1
1503075260,18768410,0.01077441,4.66929239,0
1503075066,18768224,0.01072011,29.24030419,1
1503075065,18768223,0.01072012,11.41926938,1
1503075065,18768221,0.01072054,22.95389602,1
1503075046,18768208,0.01074000,92.54289800,1
1503075043,18768202,0.01072054,5.80000000,1
1503075041,18768195,0.01072054,6.65710200,1
1503075035,18768187,0.01072054,13.36062192,1
1503075034,18768183,0.01071962,1.22838006,0
1503075034,18768180,0.01074202,0.94177297,0
1503075034,18768179,0.01071983,39.61312900,0
1503075033,18768177,0.01071982,18.22408380,0
