date,tid,price,amount,type
1505779245,21805607,56.53,1.46003134,0
1505779244,21805606,56.58,17.63906057,1
1505779243,21805605,56.58,17.63283319,1
1505779243,21805604,56.58,17.63283319,1
1505779243,21805603,56.58,17.63283319,1
1505779243,21805602,56.58,17.63283319,1
1505779242,21805601,56.64,1.45564287,1
1505779242,21805600,56.81,17.36164354,1
1505779242,21805599,56.81,0.22152843,1
1505779242,21805598,56.81,1.64460157,1
1505779242,21805597,56.81,3.50000000,1
1505779242,21805594,56.81,1.09119100,1
1505779242,21805592,56.81,8.99040000,1
1505779241,21805589,56.79,1.46176808,0
1505779241,21805588,56.79,0.89596724,1
1505779241,21805587,56.79,0.44960676,1
1505779240,21805586,56.79,17.13975756,1
1505779240,21805585,56.79,17.58936432,1
1505779240,21805584,56.79,17.58936432,1
1505779240,21805583,56.79,3.91763180,1
1505779240,21805582,56.79,13.67173252,1
1505779240,21805581,56.79,17.40781248,1
1505779240,21805580,56.79,0.18155184,1
1505779240,21805579,56.79,2.95697016,1
1505779240,21805578,56.79,1.09545400,1
1505779239,21805577,56.79,2.66566000,1
1505779239,21805576,56.77,0.00047906,0
1505779239,21805575,56.77,1.46174283,0
1505779239,21805574,56.76,1.46242239,0
1505779238,21805573,56.76,0.00591451,0
1505779238,21805572,56.76,1.45643635,0
1505779238,21805571,56.76,1.46245165,0
1505779238,21805569,56.76,1.06186200,1
1505779238,21805568,56.75,3.96616743,0
1505779238,21805567,56.75,17.60176211,0
1505779238,21805566,56.75,17.60176211,0
1505779237,21805565,56.75,17.60176211,0
1505779237,21805564,56.75,17.60176211,0
1505779237,21805563,56.75,17.60176211,0
1505779237,21805562,56.75,9.02502202,0
1505779237,21805561,56.72,3.00000000,0
1505779237,21805560,56.72,5.58121746,1
1505779237,21805559,56.72,1.45711954,1
1505779237,21805558,56.72,8.00673800,1
1505779236,21805555,56.71,1.46222189,0
1505779236,21805554,56.66,2.45000000,0
1505779236,21805553,56.66,4.24243037,1
1505779236,21805552,56.66,2.48846863,1
1505779235,21805551,56.66,5.67143600,1
1505779235,21805550,56.66,9.46981651,1
1505779235,21805549,56.66,17.62972114,1
1505779235,21805548,56.66,3.60413435,1
1505779235,21805547,56.66,8.52082200,1
1505779235,21805546,56.66,5.50476479,1
1505779235,21805545,56.66,13.47529121,1
1505779234,21805544,56.65,0.43000000,0
