date,tid,price,amount,type
1503082397,18776459,292.54,2.87808700,1
1503082367,18776426,292.50,0.45163000,1
1503082367,18776425,292.60,0.05000000,1
1503082367,18776424,292.70,0.50000000,1
1503082317,18776326,292.79,0.22149900,1
1503082317,18776322,292.79,1.14542600,1
1503082316,18776321,292.79,4.51813600,1
1503082316,18776320,292.80,1.14542600,1
1503082316,18776319,292.80,5.29457400,1
1503082307,18776308,292.79,0.34166901,1
1503082307,18776306,292.79,0.68307483,1
1503082307,18776305,293.00,0.00002516,1
1503082297,18776297,293.00,0.80699659,1
1503082197,18776222,294.48,6.52000000,0
1503082190,18776209,294.50,6.10722422,1
1503082190,18776208,294.50,17.56261800,1
1503082189,18776207,294.50,1.48435500,1
1503082189,18776204,294.50,0.66938765,1
1503082188,18776199,294.50,12.32074703,1
1503082188,18776198,294.50,0.17255610,1
1503082187,18776195,293.91,1.54000000,0
1503082187,18776194,293.91,6.69000000,0
1503082187,18776193,293.91,0.68048042,0
1503082091,18776138,294.13,0.31361527,0
1503082055,18776104,294.28,0.12202664,0
1503082031,18776084,293.02,0.94629000,1
1503081999,18776041,293.01,0.20000000,1
1503081787,18775900,295.32,0.71607070,0
1503081589,18775744,292.90,0.50000000,1
1503081589,18775743,293.00,1.90500000,1
1503081588,18775742,293.00,0.09500000,1
1503081588,18775741,293.00,0.02000000,1
1503081573,18775734,293.10,0.50000000,1
1503081573,18775733,293.30,0.50000000,1
1503081484,18775688,293.50,0.50000000,1
1503081480,18775687,293.51,5.00000000,1
1503081479,18775686,293.70,0.50000000,1
1503081462,18775681,293.99,1.00130000,0
1503081451,18775676,293.90,0.50000000,1
1503081451,18775674,294.00,0.99999997,0
1503081450,18775673,294.00,0.99999967,1
1503081438,18775668,294.00,0.00000033,1
1503081438,18775667,294.00,7.45685167,1
1503081437,18775666,294.39,6.18050519,1
1503081437,18775665,294.39,8.45685200,1
1503081436,18775664,294.39,1.00000000,1
1503081247,18775516,294.39,3.00000405,1
1503081215,18775493,294.40,2.58195922,1
1503081213,18775492,294.42,0.11500000,1
1503081136,18775472,294.80,0.21444000,0
1503081082,18775454,294.39,0.11500000,1
1503080944,18775350,294.42,8.08774551,1
1503080828,18775296,294.39,0.15602176,1
1503080813,18775291,294.39,1.09161700,1
1503080810,18775287,294.42,1.12000000,1
1503080810,18775285,294.67,0.32000000,1
1503080807,18775283,295.00,0.18651075,1
1503080807,18775282,295.00,1.00000000,1
1503080807,18775281,295.00,1.00000000,1
1503080805,18775277,295.12,0.02504066,1
1503080805,18775276,295.30,0.60583126,1
1503080805,18775275,295.30,1.88300000,1
1503080805,18775274,295.41,5.58000000,1
1503080770,18775257,295.49,0.93347900,1
1503080770,18775256,295.50,2.00000000,1
1503080752,18775243,295.52,6.27147600,1
1503080726,18775235,295.46,0.07100000,1
1503080693,18775221,296.59,1.25582300,0
1503080689,18775218,296.14,0.32000000,1
1503080548,18775137,295.50,8.10000000,1
1503080547,18775136,295.81,1.00000000,1
1503080547,18775135,296.00,1.00000000,1
1503080544,18775134,296.01,5.04000000,1
1503080543,18775133,296.20,1.00000000,1
1503080543,18775132,296.21,5.00000000,1
1503080373,18775010,296.86,1.02486020,0
1503080366,18775004,296.86,1.86606099,0
1503080366,18775003,296.12,0.02493901,0
1503080166,18774821,294.53,0.98109675,1
1503080166,18774820,294.77,0.32000000,1
1503080166,18774819,295.11,0.00000024,1
1503080165,18774818,295.12,0.02493901,1
1503080048,18774717,295.15,1.00000000,1
1503080040,18774706,295.16,0.44366900,1
1503080020,18774682,295.20,0.37706100,1
1503080020,18774681,295.20,1.00000000,1
1503080018,18774679,295.21,2.62293900,1
1503080018,18774678,295.21,1.37706100,1
1503080017,18774677,295.21,1.00000000,1
1503079977,18774627,296.86,10.59661120,0
1503079968,18774610,295.20,1.40800000,1
1503079959,18774583,295.20,0.68973700,1
1503079958,18774580,295.30,6.69000000,1
1503079958,18774578,295.31,3.27200000,1
1503079958,18774577,295.31,1.06800000,1
1503079957,18774575,295.32,5.00000000,1
1503079896,18774465,295.74,0.16788557,1
1503079892,18774455,295.73,0.16780750,0
1503079892,18774454,295.20,1.40920200,1
1503079891,18774443,295.30,0.05000000,1
1503079890,18774440,295.31,0.99000000,1
1503079890,18774436,295.71,0.15432669,1
1503079890,18774433,295.73,3.92000000,1
1503079889,18774427,295.73,1.00000000,1
1503079887,18774419,296.27,3.79000000,1
1503079887,18774417,296.27,1.21000000,1
1503079555,18773945,297.49,0.60576300,0
1503079552,18773939,297.50,0.16613896,0
1503079551,18773936,297.50,2.24302666,0
1503079536,18773918,297.55,0.71940000,0
1503079531,18773911,297.57,0.71942736,0
1503079531,18773909,297.57,0.16963595,0
1503079523,18773901,295.72,2.43458500,1
1503079523,18773900,295.72,1.15000000,1
1503079523,18773898,295.72,0.00522500,1
1503079523,18773897,295.73,2.73991700,1
1503079522,18773896,295.73,1.10485800,1
1503079521,18773892,295.73,1.15522500,1
1503079518,18773888,295.72,5.53477500,1
1503079515,18773887,295.71,0.00000007,1
1503079514,18773883,295.71,0.15522500,1
1503079514,18773882,295.71,1.00000000,1
1503079510,18773878,295.72,4.03672600,1
1503079506,18773875,295.73,0.65174000,1
1503079505,18773873,295.73,4.34826000,1
1503079492,18773860,295.73,1.26003600,1
1503079491,18773859,295.73,1.62929900,1
1503079488,18773855,297.68,0.02890964,0
1503079470,18773840,297.78,1.58314000,0
1503079470,18773839,297.78,0.42000000,0
1503079464,18773829,297.81,1.39494980,0
1503079459,18773817,297.84,0.17916797,0
1503079447,18773771,296.99,8.96107000,1
1503079430,18773718,296.99,8.84723276,0
1503079430,18773715,296.99,0.15276724,0
1503079392,18773691,297.12,0.00000275,1
1503079391,18773685,297.12,0.02478725,0
1503079389,18773683,295.81,3.16725236,0
1503079388,18773682,295.84,0.71000000,1
1503079387,18773681,295.84,3.58000000,1
1503079387,18773678,295.85,0.18096039,1
