date,tid,price,amount,type
1503082392,18776450,0.15956,487.72789800,0
1503082392,18776449,0.15955,859.44756000,0
1503082331,18776379,0.15908,3155.91037500,1
1503082330,18776377,0.15951,547.96912000,0
1503082310,18776311,0.15959,5278.61356400,1
1503082307,18776309,0.15959,11649.43436200,1
1503082301,18776301,0.15959,2169.13797400,1
1503082300,18776300,0.15959,3109.47559000,1
1503082299,18776298,0.15959,516.44939000,1
1503082285,18776291,0.15959,613.60323000,1
1503082275,18776284,0.15959,923.00000000,1
1503082272,18776279,0.15959,729.03354000,1
1503082259,18776271,0.15959,866.17846000,1
1503082259,18776270,0.15959,3314.56411000,1
1503082246,18776258,0.15959,1015.95461000,1
1503082233,18776254,0.15959,1207.07478000,1
1503082219,18776250,0.15959,1434.14826000,1
1503082206,18776224,0.15959,1703.93853000,1
1503082193,18776216,0.15959,2024.48142000,1
1503082180,18776191,0.15959,2405.32446000,1
1503082167,18776187,0.15959,2857.81124000,1
1503082153,18776178,0.15959,4135.52585000,1
1503082152,18776177,0.15949,3934.25063000,0
1503081864,18775962,0.15942,1164.45557900,1
1503081817,18775914,0.15942,1869.08635100,1
1503081752,18775889,0.15943,1349.24983000,0
1503081751,18775888,0.15923,0.75017000,0
1503081670,18775816,0.15950,500.09083000,1
1503081669,18775814,0.15950,508.92800000,1
1503081665,18775807,0.15950,604.87713139,0
1503081655,18775803,0.15922,1283.00000000,1
1503081600,18775749,0.15896,999.03004000,1
1503081397,18775651,0.15956,1952.10650000,0
1503081392,18775647,0.15956,1524.36956300,0
1503081386,18775643,0.15957,826.09333000,0
1503081386,18775642,0.15957,4130.46665000,0
1503081266,18775541,0.15848,7991.99999990,0
1503081266,18775540,0.15850,40.00000000,1
1503081266,18775539,0.15850,208.00000000,1
1503081265,18775538,0.15860,40.00000000,1
1503081265,18775537,0.15860,238.39125000,1
1503081265,18775536,0.15860,65.02394520,1
1503081265,18775535,0.15860,71.75660222,1
1503081265,18775534,0.15860,31.75660222,1
1503081265,18775533,0.15860,71.75660222,1
1503081264,18775532,0.15860,71.75660222,1
1503081264,18775531,0.15860,71.75660222,1
1503081264,18775530,0.15860,71.75660222,1
1503081264,18775529,0.15860,106.04519148,1
1503081264,18775528,0.15870,40.00000000,1
1503081263,18775527,0.15880,40.00000000,1
1503081263,18775526,0.15880,800.00000000,1
1503081263,18775525,0.15890,40.00000000,1
1503081262,18775524,0.15900,0.00000010,1
1503081006,18775393,0.15952,200.10030090,0
1503080953,18775361,0.15929,1283.00000000,1
1503080878,18775316,0.15960,5907.31783000,0
1503080877,18775315,0.15959,5097.68217000,0
1503080677,18775210,0.15960,283.96995526,0
1503080565,18775142,0.15946,1226.13585852,1
1503080115,18774752,0.15940,250.26633100,0
1503080106,18774746,0.15943,1602.72265800,0
1503080102,18774742,0.15941,8990.06431000,0
1503080024,18774690,0.15900,799.99999990,1
1503080023,18774688,0.15910,40.00000000,1
1503080023,18774686,0.15910,36.00000000,1
1503080023,18774685,0.15920,33.07500000,1
1503080023,18774684,0.15920,357.65447510,1
1503080018,18774680,0.15960,46.50630000,0
1503079969,18774617,0.15920,442.34552490,1
1503079969,18774614,0.15940,122.32457200,1
1503079968,18774612,0.15940,268.40490310,1
1503079960,18774596,0.15991,1010.00000000,0
1503079960,18774592,0.15940,409.27052490,1
1503079960,18774590,0.15941,456.28629710,1
1503079959,18774587,0.15941,124.25801506,1
1503079959,18774585,0.15941,582.58424278,1
1503079958,18774582,0.15941,189.81483716,1
1503079953,18774556,0.15941,390.72947500,1
1503079951,18774539,0.15991,2949.41531000,0
1503079942,18774535,0.15960,800.00000000,1
1503079942,18774534,0.15968,675.72843978,1
1503079937,18774533,0.15997,903.62477000,0
1503079930,18774520,0.15969,1378.60332335,1
1503079929,18774519,0.15980,782.63597493,1
1503079929,18774518,0.16000,70.81905681,1
1503079929,18774517,0.16000,84.28432166,1
1503079929,18774516,0.16000,562.00000000,1
1503079929,18774515,0.16000,3311.04284325,1
1503079910,18774501,0.16054,6166.74971969,0
1503079908,18774496,0.16000,10000.00000000,1
1503079901,18774475,0.16000,10000.00000000,1
1503079897,18774470,0.16000,782.63597500,1
1503079894,18774459,0.16000,1931.75051000,1
1503079892,18774452,0.16000,33974.57067175,1
1503079891,18774450,0.16000,33865.00000000,1
1503079891,18774449,0.16000,100.00000000,1
1503079891,18774445,0.16000,5650.30446125,1
1503079890,18774441,0.16000,4187.12486700,1
1503079890,18774438,0.16000,16725.86380000,1
1503079890,18774435,0.16000,4038.17094700,1
1503079889,18774432,0.16000,27664.05114000,1
1503079889,18774430,0.16000,6394.06977434,1
1503079889,18774428,0.16000,4934.39398000,1
1503079888,18774425,0.16000,30573.99110083,1
1503079888,18774422,0.16000,4917.24657400,1
1503079795,18774312,0.16000,8979.88214000,1
1503079777,18774298,0.16000,277.81120000,1
1503079763,18774288,0.16000,2952.41348600,1
1503079763,18774287,0.16001,960.79986000,1
1503079646,18774199,0.16143,1112.24679428,0
1503079609,18774119,0.16146,953.01479000,0
1503079607,18774112,0.16076,950.34100000,0
1503079593,18774033,0.16076,332.65900000,0
