date,tid,price,amount,type
1505952012,21939365,1.18505,76.67330,1
1505951985,21939337,1.18505,742.60159,1
1505951954,21939326,1.18505,116.42779,1
1505951951,21939323,1.18505,122.64442,1
1505951894,21939289,1.18505,49.33000,1
1505951891,21939281,1.18505,1622.19000,1
1505951890,21939280,1.18505,526.63601,1
1505951889,21939274,1.18505,55.07785,1
1505951885,21939264,1.18505,96.13000,1
1505951883,21939259,1.18505,861.37968,1
1505951880,21939256,1.18505,30.73019,1
1505951880,21939255,1.18505,716.55981,1
1505951878,21939250,1.18505,52.65886,1
1505951878,21939248,1.18505,1175.12342,1
1505951876,21939243,1.18505,860.76845,1
1505951872,21939234,1.18505,767.79039,1
1505951870,21939229,1.18505,138.81505,1
1505951870,21939226,1.18505,766.62589,1
1505951869,21939224,1.18505,243.83820,1
1505951868,21939223,1.18505,277.81993,1
1505951868,21939222,1.18505,348.75241,1
1505951868,21939219,1.18506,0.00162,1
1505951868,21939218,1.18506,138.53308,1
1505951867,21939214,1.18506,105.30999,1
1505951865,21939206,1.18505,860.07429,1
1505951864,21939201,1.18505,105.11999,1
1505951863,21939192,1.18505,104.91999,1
1505951861,21939185,1.18505,104.71999,1
1505951860,21939181,1.18505,104.54999,1
1505951858,21939169,1.18505,180.75782,1
1505951857,21939165,1.18505,78.93999,1
1505951857,21939160,1.18506,25.47022,1
1505951855,21939151,1.18506,104.26102,1
1505951855,21939149,1.18506,50.66000,1
1505951854,21939143,1.18506,119.90111,1
1505951853,21939140,1.18505,156.27057,1
1505951852,21939137,1.18505,371.64926,1
1505951852,21939131,1.18505,755.93787,1
1505951851,21939127,1.18505,2782.83000,1
1505951850,21939123,1.18505,933.01000,1
1505951850,21939116,1.18505,124.03000,1
1505951850,21939113,1.18505,156.38000,1
1505951849,21939108,1.18505,1067.60249,1
1505951848,21939101,1.18505,18.98692,1
1505951848,21939100,1.18506,0.78139,1
1505951848,21939097,1.18506,155.49720,1
1505951845,21939082,1.18506,224.62568,1
1505951837,21939008,1.18505,203.55221,1
1505951833,21938989,1.18505,329.03254,1
1505951829,21938956,1.18506,166.17075,1
1505951828,21938951,1.18506,254.76330,1
1505951787,21938909,1.18506,292.16243,1
1505951787,21938907,1.18505,1450.94300,1
1505951774,21938898,1.18506,106.66073,0
1505951774,21938897,1.18506,406.24948,0
1505951769,21938894,1.18505,819.25941,1
1505951764,21938883,1.18505,228.97458,1
1505951762,21938869,1.18505,635.60999,1
1505951761,21938865,1.18506,596.39686,1
1505951760,21938859,1.18505,26.81291,1
1505951739,21938830,1.18506,51.01680,1
1505951737,21938826,1.18506,51.01680,1
1505951736,21938824,1.18506,51.01680,1
1505951735,21938821,1.18506,51.01680,1
1505951733,21938816,1.18505,51.01680,1
1505951732,21938813,1.18505,51.01680,1
1505951731,21938809,1.18505,51.01680,1
1505951729,21938805,1.18505,51.01680,1
1505951728,21938804,1.18505,393.21658,1
1505951727,21938803,1.18506,218.15563,1
1505951726,21938800,1.18506,51.01680,1
1505951726,21938799,1.18506,169.02524,1
1505951726,21938798,1.18506,434.68259,1
1505951725,21938792,1.18506,191.81374,1
1505951724,21938790,1.18506,51.01680,1
1505951723,21938786,1.18506,15.17561,1
1505951723,21938784,1.18506,92.31092,1
1505951722,21938778,1.18506,51.01680,1
1505951722,21938777,1.18506,2831.56590,1
1505951721,21938775,1.18506,1057.04906,1
1505951720,21938769,1.18506,15.17573,1
1505951718,21938761,1.18506,1965.31000,1
1505951717,21938756,1.18506,3113.56483,1
1505951715,21938749,1.18506,243.78091,1
1505951715,21938745,1.18506,255.08397,1
1505951715,21938741,1.18506,85.02799,1
1505951712,21938724,1.18506,2831.54038,1
1505951711,21938715,1.18506,243.66063,1
1505951706,21938701,1.18506,79.67562,1
1505951702,21938680,1.18506,41.24999,1
1505951692,21938658,1.18506,55.28729,1
1505951689,21938649,1.18506,0.62788,1
1505951688,21938648,1.18507,300.63221,1
1505951685,21938635,1.18507,296.16445,1
1505951685,21938634,1.18507,665.43276,1
1505951684,21938627,1.18507,1525.85530,1
1505951683,21938626,1.18507,246.56000,1
1505951681,21938616,1.18507,199.05495,1
1505951680,21938610,1.18507,572.84380,1
1505951679,21938606,1.18507,2608.47995,1
1505951678,21938597,1.18507,1535.32003,1
1505951672,21938582,1.18507,2607.96997,1
1505951671,21938577,1.18507,1535.32001,1
1505951648,21938557,1.18507,556.24999,1
1505951638,21938536,1.18507,556.08106,1
1505951632,21938524,1.18507,818.20777,1
1505951624,21938514,1.18508,655.22999,1
1505951566,21938490,1.18508,99.55414,1
1505951566,21938485,1.18508,335.95998,1
1505951538,21938456,1.18508,194.57000,1
1505951331,21938399,1.18508,386.71550,1
1505951318,21938379,1.18508,236.23999,1
1505951013,21938264,1.18508,90.07000,1
1505950951,21938227,1.18508,206.75999,1
1505950881,21938199,1.18508,386.46000,1
1505950829,21938160,1.18508,79.63999,1
1505950822,21938144,1.18508,245.36000,1
1505950815,21938133,1.18508,246.00871,1
1505950811,21938122,1.18508,118.02579,1
1505950809,21938118,1.18508,182.73028,1
1505950806,21938107,1.18508,233.89773,1
1505950805,21938105,1.18508,892.27227,1
1505950804,21938100,1.18508,101.04026,1
1505950804,21938098,1.18508,6.68747,1
1505950803,21938097,1.18508,878.54227,1
1505950784,21938085,1.18508,810.43256,1
1505950698,21938004,1.18508,1245.96000,1
1505950691,21937992,1.18508,978.05149,1
1505950517,21937848,1.18508,69.66619,1
