date,tid,price,amount,type
1506210427,22134218,0.14997,572.76209531,0
1506210250,22134013,0.14944,710.88888300,1
1506210237,22133998,0.15000,2985.00000000,1
1506210205,22133912,0.15000,810.45992000,1
1506210182,22133825,0.15000,1017.46554500,1
1506210151,22133719,0.15000,2985.00000000,1
1506210143,22133699,0.15000,1985.00000000,1
1506210096,22133602,0.14985,42.00000000,0
1506210040,22133492,0.15005,1668.14370000,1
1506210034,22133488,0.15004,272.27550600,1
1506210017,22133464,0.15003,1749.47833500,1
1506210008,22133443,0.15008,192.00000000,1
1506210007,22133442,0.15009,880.68447700,1
1506209911,22133367,0.15002,365.50550000,1
1506209900,22133363,0.15003,2500.00000000,1
1506209725,22133197,0.15004,6217.57293000,1
1506209725,22133196,0.15005,584.88110000,1
1506209725,22133195,0.15005,1915.11890000,1
1506209612,22133117,0.15016,148.43930000,1
1506209596,22133106,0.15010,340.07447950,1
1506209591,22133100,0.15000,6769.71980016,0
1506209590,22133095,0.15000,1915.11890000,0
1506209590,22133094,0.14994,947.82134000,0
1506209590,22133093,0.14992,7137.05976000,0
1506209589,22133092,0.14992,10000.00000000,0
1506208839,22132656,0.14937,42.00000000,0
1506207711,22132214,0.14925,192.00000000,1
1506207694,22132208,0.14918,5000.00000000,0
1506207606,22132183,0.14900,42.00000000,0
1506207138,22131988,0.14942,1100.45896000,0
1506206510,22131768,0.14942,1307.47594284,1
1506206510,22131767,0.14942,0.00004716,1
1506206497,22131745,0.14943,814.55675975,1
1506206483,22131734,0.14943,1488.86748000,1
1506206479,22131729,0.14943,196.57576025,1
1506206474,22131725,0.14940,199.59197284,0
1506206474,22131724,0.14940,1453.32268000,0
1506206467,22131710,0.14940,199.58706031,1
1506206463,22131708,0.14938,0.00001826,0
1506206463,22131707,0.14938,201.09400000,0
1506206457,22131703,0.14938,44.27390000,1
1506206457,22131702,0.14938,44.27390000,1
1506206457,22131701,0.14938,20.27548174,1
1506206454,22131694,0.14938,23.99841826,1
1506206454,22131693,0.14938,44.27390000,1
1506206454,22131692,0.14938,44.27390000,1
1506206454,22131691,0.14938,44.27390000,1
1506206454,22131689,0.14938,44.27390000,1
1506206445,22131686,0.14939,202.61735128,1
1506206445,22131685,0.14939,44.27390000,1
1506206445,22131684,0.14939,18.75214872,1
1506206444,22131683,0.14939,25.52175128,1
1506206444,22131682,0.14939,44.27390000,1
1506206444,22131681,0.14939,44.27390000,1
1506206444,22131680,0.14939,44.27390000,1
1506206444,22131679,0.14939,44.27390000,1
1506206436,22131676,0.14927,0.00002000,0
1506206436,22131675,0.14927,44.27390000,0
1506206418,22131667,0.14927,115.72608000,1
1506206410,22131659,0.14927,160.00000000,0
1506205451,22131270,0.14894,1500.00000000,1
1506205230,22130951,0.14919,249.85166000,1
1506205217,22130950,0.14924,1885.00760000,1
1506205216,22130949,0.14924,1885.00760000,1
1506205208,22130947,0.14918,1885.00760000,0
1506205206,22130946,0.14916,0.00003000,0
1506205206,22130945,0.14916,4776.07940000,0
1506205203,22130941,0.14889,160.00000000,0
1506205045,22130883,0.14925,317.34761000,1
1506205045,22130882,0.14925,332.00000000,1
1506205045,22130881,0.14925,332.00000000,1
1506205045,22130880,0.14925,332.00000000,1
1506205045,22130879,0.14925,332.00000000,1
1506205032,22130871,0.14926,2500.00000000,1
1506205022,22130869,0.14900,332.00000000,0
1506205004,22130861,0.14900,332.00000000,1
1506204903,22130822,0.14927,160.00000000,0
1506204631,22130669,0.14900,34.00000000,1
1506204600,22130629,0.14901,34.00000000,1
1506204577,22130609,0.14902,34.00000000,1
1506204506,22130567,0.14901,34.00000000,1
1506204260,22130449,0.14900,34.00000000,1
1506204173,22130410,0.14901,306.00000000,1
1506204131,22130400,0.14901,35.00000000,1
1506203463,22129990,0.14997,3457.95702883,0
