date,tid,price,amount,type
1506556546,22426657,0.00005026,831.49900517,1
1506556544,22426655,0.00005005,4171.47686293,0
1506556186,22426537,0.00004997,6993.72532900,1
1506556162,22426525,0.00005064,38835.66350710,1
1506556162,22426524,0.00005063,9270.48034007,1
1506556160,22426522,0.00005011,2272.00000000,0
1506556160,22426521,0.00005011,1159.40250000,0
1506555963,22426395,0.00005002,4241.72298569,0
1506555963,22426394,0.00005002,1187.01440000,0
1506555902,22426362,0.00005011,1099.09259628,0
1506555894,22426356,0.00005013,19.37861559,0
1506555893,22426355,0.00005012,3182.74484723,0
1506555892,22426354,0.00005012,1178.13030000,0
1506555464,22426186,0.00005004,125.85375000,1
1506555447,22426181,0.00005011,4607.05830900,0
1506555446,22426180,0.00005008,1162.17270000,0
1506555446,22426179,0.00005000,187.63000000,0
1506555358,22426120,0.00005000,812.37000000,0
1506555249,22426050,0.00004992,7500.00073000,1
1506555185,22425994,0.00004992,0.00000006,0
1506555167,22425987,0.00004992,1970.34795500,0
1506555159,22425983,0.00004992,3043.56046000,0
1506555141,22425973,0.00004991,521.81220200,0
1506554977,22425857,0.00004975,300.00000000,1
1506554854,22425768,0.00004992,125.00000000,1
1506554775,22425580,0.00005012,2400.90018100,0
1506554774,22425578,0.00005012,15879.75040298,0
1506554774,22425576,0.00005011,219.44977402,0
1506554577,22425376,0.00005000,169.67143300,1
1506554576,22425375,0.00004977,25383.75729654,0
1506554576,22425374,0.00004977,100.37191182,1
1506554575,22425373,0.00004978,19556.35489400,0
1506554575,22425372,0.00005000,910.00000000,1
1506554575,22425371,0.00005000,1295.00000000,1
1506554575,22425370,0.00005000,375.00000000,1
1506554574,22425369,0.00005003,1878.30000000,0
1506554574,22425368,0.00005003,501.21589764,1
1506554461,22425280,0.00005010,755.55964453,0
1506554040,22425015,0.00005006,870.33542377,1
1506553959,22424966,0.00005026,2004.53879825,0
1506553304,22424488,0.00005037,4368.34663490,0
1506552999,22424325,0.00005032,101.55604133,0
1506552997,22424324,0.00005015,880.98310914,0
1506552239,22423866,0.00005019,11.76576607,1
1506552239,22423865,0.00005019,0.06223393,1
1506552239,22423864,0.00005040,160.00000000,1
1506551969,22423675,0.00005036,792.30023828,0
1506551862,22423568,0.00005019,512.93776607,1
1506551721,22423494,0.00005031,100.00000000,1
1506551188,22423144,0.00005055,624.78694362,0
1506551186,22423138,0.00005051,274.95340723,0
1506550974,22422926,0.00005056,1646.30300632,0
1506550972,22422925,0.00005055,326.67731553,0
1506550845,22422807,0.00005061,9854.77178423,0
1506550392,22422152,0.00005067,518.25828729,0
1506549936,22421672,0.00005042,795.47398426,0
1506549934,22421671,0.00005052,733.89600000,1
1506549873,22421576,0.00005065,4726.55478775,0
1506549428,22420918,0.00005083,1864.87074562,0
1506549385,22420821,0.00005051,815.44000000,0
1506549383,22420818,0.00005052,384.56000000,1
1506549199,22420580,0.00005085,644.40648968,0
1506549066,22420488,0.00005082,904.17607125,0
1506549066,22420487,0.00005080,226.04401775,0
1506549060,22420482,0.00005081,1395.33344288,0
1506549060,22420481,0.00005080,279.06668858,0
1506548952,22420381,0.00005084,431.17191188,0
1506548938,22420378,0.00005068,7204.33983200,1
1506548938,22420377,0.00005069,2246.80000000,1
1506548840,22420288,0.00005102,2959.89768718,0
1506548840,22420287,0.00005098,2041.95137982,1
1506548840,22420286,0.00005098,1046.89938800,1
1506548838,22420285,0.00005097,2041.95137982,0
1506548665,22420133,0.00005098,2463.77834444,0
1506548665,22420132,0.00005097,6298.51400000,1
1506548664,22420131,0.00005096,2238.70000000,0
1506548542,22420000,0.00005065,2000.00000000,1
1506548454,22419959,0.00005096,520.96193937,1
1506548350,22419697,0.00005097,505.91570280,0
1506548204,22419514,0.00005083,887.37693281,0
1506548200,22419513,0.00005083,510.14833759,0
1506548146,22419458,0.00005063,1881.71789690,1
1506548077,22419419,0.00005085,88.27472960,0
1506547371,22418974,0.00005054,774.40000000,1
1506547370,22418973,0.00005055,1225.60000000,1
1506546791,22418541,0.00005065,1140.85844027,0
1506546662,22418463,0.00005070,934.83708086,0
1506546458,22418161,0.00005088,6000.63227201,0
1506546371,22418096,0.00005065,2170.00000000,0
1506546335,22418075,0.00005064,500.32879147,0
1506546184,22417885,0.00005068,434.75098658,0
1506545946,22417749,0.00005060,4038.93280632,1
1506545940,22417741,0.00005060,300.00000000,1
1506545768,22417606,0.00005069,41.00000000,1
1506545714,22417514,0.00005075,508.88532019,0
1506545567,22417383,0.00005070,3072.99090500,1
1506545532,22417352,0.00005070,13458.67256200,1
1506545527,22417349,0.00005070,3072.99090500,1
1506545517,22417342,0.00005070,2977.34562800,1
1506545517,22417341,0.00005070,2009.20730100,1
1506545498,22417329,0.00005076,1922.96671340,1
1506545434,22417253,0.00005087,1054.95538522,0
1506545345,22417128,0.00005070,490.79269900,1
1506545099,22416892,0.00005088,1264.24347600,1
1506545084,22416886,0.00005087,47149.92300000,1
1506545079,22416883,0.00005088,4742.72278700,1
1506545079,22416882,0.00005088,2529.48414600,1
1506545075,22416874,0.00005087,50950.07700000,0
1506545031,22416819,0.00005085,431.30363815,0
1506544996,22416784,0.00005085,300.00000000,0
1506544913,22416734,0.00005085,491.00000000,0
1506544794,22416509,0.00005071,438.81977500,1
1506544769,22416494,0.00005073,1000.00000000,1
1506544751,22416480,0.00005072,6143.23900000,1
1506544663,22416151,0.00005070,250.00000000,1
1506544590,22416106,0.00005085,1623.39591466,0
1506544589,22416105,0.00005082,274.38384434,0
1506544587,22416103,0.00005070,250.00000000,1
1506544469,22416001,0.00005071,250.30267210,1
1506544261,22415882,0.00005088,367.61615566,0
1506543974,22415580,0.00005105,429.91557296,1
1506543921,22415524,0.00005101,2933.26661439,0
1506543687,22415343,0.00005084,5000.00000000,0
1506543684,22415341,0.00005079,2235.40000000,1
1506543530,22415218,0.00005098,449.19007453,0
1506543413,22415101,0.00005104,1868.33855799,0
1506543250,22414986,0.00005099,2335.28789958,0
1506543139,22414815,0.00005103,1000.82912013,0
1506543059,22414724,0.00005103,2733.27844135,0
1506542998,22414632,0.00005103,2435.40683991,1
1506542774,22414267,0.00005090,6182.78055009,1
1506542774,22414266,0.00005100,98.00000000,1
1506542562,22413855,0.00005108,2515.00000000,0
1506542557,22413847,0.00005113,156.07353804,0
1506542468,22413503,0.00005100,900.00000000,0
1506542391,22413343,0.00005091,1000.00000000,1
1506542388,22413341,0.00005092,510.53891181,0
1506542387,22413340,0.00005091,943.87585100,1
1506542384,22413339,0.00005092,189.46108819,0
1506542366,22413286,0.00005091,221.56722542,0
1506542296,22413215,0.00005090,738.38440300,1
1506542288,22413176,0.00005090,399.98000000,1
1506542273,22413146,0.00005091,334.19083500,0
1506542259,22413133,0.00005090,3000.00000000,1
1506542256,22413130,0.00005090,1924.18981500,1
1506542244,22413106,0.00005090,5409.41797300,1
1506542232,22413086,0.00005090,8007.25964500,1
1506542226,22413084,0.00005091,230.03902849,0
1506542210,22413070,0.00005091,1077.64368493,0
