date,tid,price,amount,type
1506815648,22597355,301.35,0.05000000,1
1506815462,22597335,301.46,0.05000000,0
1506815252,22597320,300.83,1.00000000,1
1506815171,22597313,300.91,0.92841961,0
1506814980,22597289,300.89,3.87000000,0
1506814978,22597288,300.90,0.26053128,1
1506814957,22597283,300.91,0.11189000,0
1506814652,22597209,300.91,0.38046093,0
1506814613,22597203,300.91,1.13432587,0
1506814612,22597201,300.90,0.20346872,1
1506814610,22597199,300.91,0.43162842,0
1506814606,22597192,300.90,0.26600000,0
1506814585,22597188,300.91,0.63000000,0
1506814457,22597173,300.00,17.70180921,1
1506814438,22597167,300.00,7.76323604,1
1506814437,22597166,300.00,141.35595382,1
1506814435,22597165,300.00,2.97947086,1
1506814374,22597155,300.00,154.92271339,1
1506814374,22597154,300.01,0.26600000,1
1506814371,22597153,301.31,0.26442778,1
1506814370,22597152,300.69,0.10245511,0
1506814369,22597151,300.45,0.10088289,0
1506814368,22597150,300.44,0.26600000,0
1506814358,22597148,300.00,160.15456995,1
1506814358,22597147,300.00,0.33333333,1
1506814358,22597146,300.01,5.00000000,1
1506814358,22597144,300.01,15.00000000,1
1506814345,22597142,300.06,1.97767237,0
1506814344,22597141,300.06,2.34000000,0
1506814344,22597140,300.06,19.21798963,1
1506814344,22597139,300.11,72.26100000,1
1506814343,22597138,300.12,1.77000000,1
1506814343,22597137,300.15,0.10088289,1
1506814343,22597136,300.19,0.10245511,1
1506814343,22597135,300.30,0.23000000,1
1506814302,22597133,300.15,1.50110705,0
1506814302,22597132,300.15,54.28289295,1
1506814302,22597131,300.16,1.95000000,1
1506814301,22597130,300.19,0.26600000,1
1506814301,22597129,300.19,5.00000000,1
1506814291,22597128,300.95,1.00000000,1
1506814255,22597117,300.95,0.14750000,1
1506814254,22597116,300.95,1.71638000,1
1506814254,22597115,300.97,0.34852000,1
1506814241,22597112,300.97,0.11148000,1
1506813596,22596983,300.56,1.28702952,0
1506813425,22596939,301.14,0.06634090,1
1506813425,22596938,301.14,0.26500000,0
1506812971,22596874,300.15,130.62918434,1
1506812971,22596873,300.16,15.00000000,1
1506812971,22596872,300.35,5.09225903,1
1506812970,22596871,300.37,2.18000000,1
1506812970,22596870,300.60,3.66725053,1
1506812970,22596869,300.76,8.00000000,1
1506812970,22596868,300.76,6.61000000,0
1506812969,22596867,300.78,0.26500000,0
1506812969,22596866,300.85,0.06001239,1
1506812968,22596865,300.92,6.61000000,0
1506812968,22596864,300.92,27.85000000,0
1506812834,22596858,300.91,0.38063697,1
1506812798,22596853,300.88,0.39644400,1
1506812578,22596822,300.91,0.20346872,1
1506812192,22596781,301.57,0.04967742,0
1506812192,22596780,301.52,0.05057096,0
1506812108,22596772,300.80,6.04055384,0
1506812108,22596771,300.80,5.06578416,1
1506812102,22596764,300.81,0.39335107,1
1506812102,22596763,300.81,0.00458130,0
1506812100,22596760,300.81,1.99000000,0
1506812100,22596759,300.80,0.39374294,1
1506812100,22596757,300.80,3.65218825,1
1506812100,22596755,300.81,1.99462253,1
1506812099,22596754,300.83,3.46482486,1
1506812060,22596733,300.82,0.14156500,1
1506811871,22596706,301.54,0.21442904,1
1506811868,22596704,301.54,3.59749524,0
1506811868,22596703,301.50,0.10217940,0
1506811868,22596702,301.50,0.10217940,0
1506811828,22596694,300.60,1.17274947,1
1506811828,22596693,300.71,0.05000000,1
1506811828,22596692,300.76,0.26500000,1
1506811828,22596691,300.82,3.59749524,1
1506811813,22596687,301.46,6.59254760,1
1506811812,22596686,301.46,6.61000000,0
1506811777,22596681,301.47,2.96245065,0
1506811777,22596680,301.46,1.46875208,1
1506811775,22596679,301.46,0.22809434,0
1506811552,22596666,301.27,8.21847512,1
1506811552,22596665,301.26,1.99163513,0
1506811551,22596664,301.26,3.59638362,1
1506811551,22596663,301.23,0.26530000,0
1506811549,22596662,301.22,0.17000000,0
1506811508,22596639,300.73,2.22007800,1
1506811416,22596623,300.73,1.37630562,1
1506811332,22596605,300.81,0.22809434,1
1506811332,22596604,300.86,0.05000000,1
1506811332,22596603,300.90,0.26530000,1
1506811038,22596487,301.49,0.01820000,0
1506811022,22596486,301.49,0.28013195,1
1506811022,22596485,301.28,0.10050502,0
1506810958,22596473,301.27,0.02967438,0
1506810932,22596467,301.27,0.01820000,0
1506810616,22596365,300.97,2.00000000,1
1506810561,22596350,301.15,1.72323840,0
1506810549,22596349,301.14,0.26570000,0
1506810549,22596348,301.14,3.59462270,0
1506810549,22596347,301.14,0.10000000,0
1506810549,22596346,300.99,0.10000000,0
1506810525,22596339,300.98,5.00000000,1
1506810358,22596312,300.53,4.47102798,1
1506810319,22596308,300.54,0.01820000,0
1506810271,22596296,300.42,4.42737811,1
1506810229,22596285,300.98,0.22785567,0
1506810222,22596281,300.28,0.51532825,0
1506810210,22596277,300.35,0.26570000,1
1506810187,22596270,300.36,0.00071050,0
1506810186,22596269,300.37,1.17432434,1
1506810136,22596259,300.98,0.10060469,1
1506810136,22596258,300.98,0.10000664,1
1506810136,22596257,300.98,0.10050502,1
1506810086,22596249,301.00,0.27000000,0
1506810085,22596248,301.00,0.10768359,1
1506810085,22596247,301.00,0.10217940,1
1506810085,22596246,301.00,1.09775890,1
1506810073,22596240,301.00,5.46386900,1
1506810067,22596237,301.46,1.17325240,0
1506810057,22596235,301.48,0.09710484,0
1506810056,22596234,301.49,1.32000000,0
1506810056,22596233,301.49,9.04837405,0
1506810055,22596231,301.20,0.07409922,0
1506810044,22596212,301.22,0.82502095,0
1506810037,22596204,301.00,1.05664400,1
1506810037,22596203,301.30,0.20218579,0
1506810020,22596192,301.00,0.11000000,1
1506809994,22596164,300.98,2.93072179,1
1506809994,22596163,301.00,0.10217940,1
1506809988,22596152,300.98,2.47596302,1
1506809987,22596150,300.99,1.99160888,1
1506809987,22596149,301.00,3.58297201,1
1506809987,22596148,301.73,0.26500000,1
1506809984,22596138,301.76,0.27276015,0
1506809982,22596134,301.79,1.74000000,1
1506809982,22596132,302.60,7.75753469,0
1506809981,22596131,302.45,0.10000000,0
1506809981,22596129,302.45,35.02565000,1
1506809981,22596127,302.32,0.46000000,0
1506809981,22596126,302.30,0.10000000,0
1506809980,22596125,302.30,5.50000000,1
1506809980,22596124,302.12,0.10192958,0
1506809979,22596123,302.10,0.10193634,0
1506809979,22596120,302.09,0.10023550,0
1506809979,22596118,302.05,0.01820000,0
1506809979,22596117,302.05,5.15429500,1
1506809979,22596116,302.05,2.55610000,1
1506809978,22596115,302.05,5.96000000,1
1506809978,22596114,302.05,1.04570500,1
1506809978,22596113,302.05,12.16830000,1
1506809978,22596112,302.00,0.01820000,0
1506809977,22596111,302.00,5.50000000,1
1506809977,22596110,302.00,16.61610000,1
1506809977,22596109,302.00,4.01000000,1
1506809977,22596108,302.00,44.31914800,1
1506809977,22596107,302.00,5.11220000,1
1506809977,22596106,302.00,3.97963100,1
1506809977,22596105,302.00,13.22461400,1
1506809977,22596104,302.00,1.58240200,1
1506809977,22596103,302.00,6.78674700,1
1506809976,22596102,302.00,7.19383500,1
1506809976,22596101,302.00,7.56583200,1
1506809976,22596100,302.00,2.87719500,1
1506809976,22596099,302.00,5.18444799,1
1506809975,22596097,301.94,2.72000000,0
1506809975,22596096,301.86,0.26510000,0
1506809975,22596095,301.86,2.24926400,1
1506809974,22596094,301.86,1.95073600,1
1506809974,22596093,301.86,19.45854000,1
1506809974,22596092,301.80,0.01820000,0
1506809973,22596091,301.78,5.50000000,0
1506809973,22596090,301.78,5.25250700,1
1506809973,22596089,301.75,0.27503240,0
1506809973,22596088,301.43,7.80500000,0
1506809973,22596087,301.43,7.19519800,1
1506809972,22596086,301.40,7.88800000,0
1506809972,22596085,301.39,1.99077607,0
1506809972,22596084,301.27,4.84000000,0
1506809971,22596083,301.26,3.57989851,0
1506809971,22596082,301.26,1.51000000,1
1506809971,22596081,301.25,4.28000000,1
1506809970,22596080,301.25,9.41000000,1
1506809970,22596079,301.25,26.53000000,1
1506809970,22596078,301.25,1.20966600,1
1506809969,22596077,301.25,0.23000000,0
1506809923,22596065,300.69,0.01128501,1
1506809923,22596064,300.90,0.26510000,1
1506809923,22596063,300.91,3.57989851,1
1506809919,22596060,301.61,3.84759614,0
1506809918,22596059,301.24,0.01060291,0
1506809909,22596053,301.24,0.14307001,0
1506809902,22596049,301.24,4.68632708,0
1506809902,22596048,301.23,0.66836940,0
1506809820,22595960,301.23,0.12316341,0
1506809819,22595958,301.23,0.38599590,0
1506809812,22595949,301.20,1.17703045,0
1506809805,22595943,300.56,4.95171303,1
1506809773,22595934,300.98,2.40055000,1
1506809772,22595933,300.98,0.51945000,0
1506809770,22595932,300.98,4.84000000,0
1506809687,22595896,300.51,5.27369147,1
1506809678,22595892,301.40,1.46404526,0
1506809676,22595888,301.40,17.56571298,1
1506809676,22595887,301.40,2.23523557,1
1506809675,22595886,301.40,13.33445291,0
1506809485,22595816,301.00,0.34030000,0
1506809439,22595756,301.07,0.50090000,0
1506809436,22595751,301.07,0.96870685,0
1506809424,22595729,300.83,3.78151589,0
1506809424,22595726,300.83,1.05848411,0
1506809411,22595706,300.79,0.10000000,0
1506809411,22595704,300.76,0.10000000,0
1506809376,22595621,300.23,0.78857048,1
1506809292,22595593,300.10,0.09733339,1
1506809191,22595540,300.10,0.01062043,1
1506809190,22595539,300.11,0.37144001,1
1506809182,22595530,300.80,0.37152893,0
1506809182,22595529,300.80,0.26600000,0
1506809165,22595507,300.10,0.80000000,1
1506809164,22595506,300.11,0.20000000,1
1506809069,22595451,300.06,2.48444991,1
1506809069,22595450,300.12,0.26600000,1
1506809037,22595445,301.25,0.79654771,1
1506809037,22595444,300.81,4.84000000,0
1506809035,22595443,300.68,0.26500000,0
1506808805,22595341,300.06,1.77617900,1
1506808796,22595337,300.06,13.19085100,1
1506808788,22595335,300.06,9.40937520,1
1506808775,22595331,300.06,1.00000000,1
1506808763,22595327,300.06,40.98407600,1
1506808762,22595326,300.10,1.53272800,1
1506808755,22595324,300.10,18.44574900,1
1506808702,22595299,300.10,0.02152300,1
1506808516,22595230,300.96,2.75909090,1
1506808498,22595223,300.96,0.30000000,1
1506808398,22595168,300.96,0.10000000,0
1506808102,22595103,300.03,1.71404587,1
1506808041,22595084,300.03,15.06603808,1
1506808000,22595078,300.03,2.76000000,1
1506807930,22595040,300.03,24.60000000,1
1506807928,22595039,300.04,0.40000000,1
1506807807,22594971,301.62,0.89847145,0
1506807807,22594969,301.29,0.10040201,0
1506807806,22594965,301.28,0.17791689,0
1506807805,22594964,301.28,0.82270087,0
1506807803,22594960,300.05,0.03316141,0
1506807796,22594954,300.03,29.99267191,1
1506807796,22594953,300.03,0.31290000,0
1506807795,22594951,300.04,3.10000000,1
1506807795,22594950,300.05,12.41806000,0
1506807795,22594949,300.05,0.33327779,1
1506807794,22594948,300.06,1.47929735,0
1506807794,22594947,300.06,1.04323166,0
1506807794,22594946,300.06,0.23000000,1
1506807792,22594945,301.28,12.10506000,0
1506807782,22594934,300.03,7.93449703,1
1506807782,22594932,300.04,3.49000000,1
1506807781,22594931,300.04,0.64497100,0
1506807781,22594930,300.05,0.30000000,1
1506807781,22594929,300.06,0.27503240,1
1506807780,22594928,300.50,10.56000000,1
1506807780,22594927,300.51,0.03200000,0
1506807780,22594926,300.51,0.11045140,1
1506807780,22594925,300.89,0.13696035,1
1506807779,22594924,300.99,0.10040201,1
1506807779,22594923,301.00,0.26500000,1
1506807777,22594922,301.07,0.22763521,1
1506807760,22594917,301.83,3.23416456,0
1506807760,22594916,301.38,0.22740107,0
