date,tid,price,amount,type
1504439895,20039300,3884.00,0.06732234,0
1504439797,20039238,3884.00,0.00128218,0
1504439793,20039237,3883.65,0.01000000,0
1504439616,20039166,3883.68,0.01000000,1
1504439586,20039159,3875.00,0.07574452,0
1504439584,20039158,3875.00,0.11841290,0
1504439582,20039156,3875.00,0.15175200,0
1504439516,20039119,3874.90,0.03523961,0
1504439501,20039106,3875.00,0.01403871,0
1504439465,20039079,3875.00,0.23940129,0
1504439403,20039063,3885.48,0.01000000,0
1504439238,20038981,3874.51,0.23568819,1
1504439236,20038979,3874.52,0.11431181,1
1504439145,20038915,3880.00,0.07986856,1
1504438993,20038787,3899.30,0.01858115,0
1504438993,20038786,3880.12,0.02700000,0
1504438855,20038716,3862.25,0.28302935,1
1504438855,20038715,3862.26,0.45297065,1
1504438821,20038705,3880.52,0.01139355,0
1504438702,20038612,3886.90,0.01000000,0
1504438616,20038532,3889.68,0.43896057,0
1504438616,20038531,3889.67,0.06103943,0
1504438602,20038527,3861.92,0.13574387,1
1504438602,20038526,3861.94,0.62025613,1
1504438600,20038525,3861.93,0.23663500,1
1504438600,20038524,3861.95,0.28000000,1
1504438590,20038515,3866.95,0.01100000,1
1504438590,20038514,3866.97,0.10000000,1
1504438590,20038513,3872.00,0.02576589,1
1504438562,20038489,3879.94,0.14560000,1
1504438561,20038486,3880.52,0.16700000,1
1504438561,20038485,3880.52,0.12300000,1
1504438550,20038468,3879.94,0.35440000,1
1504438550,20038467,3880.43,0.31000000,1
1504438550,20038466,3880.43,0.03460000,1
1504438521,20038419,3880.40,0.49700000,1
1504438492,20038399,3880.29,0.15000000,0
1504438466,20038389,3879.95,0.01000000,0
1504438364,20038303,3881.73,0.10000000,0
1504438361,20038293,3870.60,0.08120000,0
1504438361,20038291,3864.47,0.01880000,0
1504438358,20038286,3860.65,0.30353976,0
1504438357,20038285,3860.65,0.01999922,0
1504438354,20038281,3860.65,0.91210079,0
1504438351,20038278,3860.65,0.01000000,0
1504438341,20038268,3860.65,0.32103546,0
1504438341,20038267,3860.65,0.07130683,0
1504438341,20038266,3860.65,0.06042472,0
1504438304,20038250,3860.65,0.05122088,0
1504438304,20038249,3860.65,0.14759794,0
1504438303,20038248,3860.65,0.02414240,0
1504438276,20038232,3860.65,0.10000000,0
1504438271,20038230,3860.65,0.01000000,1
1504438263,20038221,3860.92,0.02500000,0
1504438255,20038211,3860.92,0.01707729,0
1504438251,20038210,3860.92,0.21442869,0
1504438245,20038205,3860.92,0.91290183,0
1504438241,20038201,3860.20,0.40600000,1
1504438234,20038187,3860.92,0.06000000,0
1504438233,20038184,3860.92,0.02700000,0
1504438232,20038181,3860.92,0.43516500,0
1504438232,20038180,3860.92,0.01759943,0
1504438231,20038178,3860.92,0.01834878,0
1504438231,20038177,3860.92,0.03819885,0
1504438231,20038176,3860.92,0.03408628,0
1504438230,20038175,3860.92,0.07300000,0
1504438224,20038168,3860.92,0.02500000,0
1504438221,20038161,3860.92,0.39191885,0
