price,amount,type
3875.90,0.01000000,0
3875.01,0.34000000,0
3875.00,1.37545178,0
3873.83,1.01306999,0
3870.80,0.55988070,0
3866.02,0.07000000,0
3866.00,0.10000000,0
3860.65,0.91246709,0
3860.00,0.00256600,0
3857.30,0.00155555,0
3855.05,0.75600000,0
3855.04,0.30000000,0
3855.03,0.73800000,0
3854.99,0.10000000,0
3854.61,7.98000000,0
3851.27,0.05000000,0
3851.24,0.01472975,0
3850.00,7.05957063,0
3846.04,10.13069999,0
3846.03,7.60000000,0
3844.58,0.00300000,0
3840.01,3.00000000,0
3840.00,0.01300000,0
3839.66,0.03000000,0
3838.71,0.05245330,0
3838.47,7.10000000,0
3835.17,1.00000000,0
3831.80,0.03197453,0
3830.35,7.20000000,0
3830.00,0.02500000,0
3825.10,0.02000000,0
3825.00,0.41003378,0
3822.00,1.47660746,0
3820.00,0.13116185,0
3818.10,0.52000000,0
3815.00,0.30045798,0
3811.00,0.13503804,0
3810.35,0.15000000,0
3810.00,0.82945931,0
3809.45,0.01309113,0
3807.41,0.13099456,0
3804.08,0.05000000,0
3804.00,0.04959000,0
3801.79,0.03935649,0
3801.20,0.20000000,0
3801.00,0.50000000,0
3800.00,6.73869153,0
3791.00,1.00000000,0
3790.00,5.64522153,0
3788.78,0.00670000,0
3788.25,0.10000000,0
3787.70,0.02633540,0
3787.41,0.00211281,0
3785.31,0.00211280,0
3784.75,0.20000000,0
3784.12,0.03682230,0
3783.22,0.00211279,0
3783.21,0.10000000,0
3783.19,0.81077345,0
3781.77,0.03027499,0
3781.12,0.00212278,0
3780.87,1.61841322,0
3780.00,2.94805799,0
3779.56,0.07081491,0
3779.36,0.52900000,0
3779.26,0.05000000,0
3779.02,0.00212277,0
3775.98,0.37000000,0
3775.00,1.50000000,0
3774.00,1.00000000,0
3773.94,0.02880279,0
3770.00,0.10000000,0
3769.88,0.40000000,0
3768.67,0.25000000,0
3765.80,1.00500000,0
3761.00,0.20000000,0
3760.21,0.06000000,0
3760.10,0.69681568,0
3760.00,0.67159574,0
3758.87,1.00000000,0
3758.00,0.11124800,0
3756.01,0.04000000,0
3755.99,1.08239772,0
3755.83,0.01354428,0
3755.00,0.32931470,0
3752.00,0.31550050,0
3751.21,0.00300000,0
3751.00,0.38120000,0
3750.26,0.02000000,0
3750.00,23.33139371,0
3749.00,0.25000000,0
3746.01,1.19180141,0
3745.47,0.02663217,0
3745.02,0.01331635,0
3744.00,0.10000000,0
3741.00,0.15000000,0
3740.00,0.02500000,0
3734.10,0.20000000,0
3733.46,1.00000000,0
3731.20,0.50000000,0
3730.00,0.43983581,0
3729.99,0.05000000,0
