date,tid,price,amount,type
1504439915,20039307,4573.44,0.15000000,1
1504439915,20039306,4573.44,0.27440000,1
1504439915,20039305,4573.44,0.27445000,1
1504439915,20039304,4573.44,0.19355000,1
1504439911,20039302,4573.64,0.24605583,1
1504439906,20039301,4574.77,0.08480000,0
1504439884,20039286,4573.64,0.24467579,1
1504439883,20039285,4573.64,0.00926838,1
1504439883,20039284,4573.64,0.30143000,1
1504439883,20039283,4573.64,0.25349000,1
1504439883,20039281,4573.64,0.00340000,1
1504439883,20039278,4573.94,0.00111501,1
1504439882,20039277,4573.99,0.00000120,1
1504439882,20039275,4573.99,0.12819880,1
1504439863,20039268,4573.64,0.25000000,1
1504439860,20039267,4573.43,0.25492000,0
1504439858,20039266,4573.44,0.25490000,0
1504439857,20039265,4573.44,0.25492000,0
1504439856,20039264,4573.44,0.25620000,0
1504439854,20039263,4573.48,0.25620000,0
1504439853,20039262,4573.51,0.09109876,0
1504439853,20039261,4573.49,0.15968124,0
1504439850,20039260,4573.54,0.13070000,0
1504439836,20039254,4562.57,0.02000000,1
1504439823,20039253,4573.92,0.10031876,0
1504439823,20039252,4564.17,0.20000000,1
1504439820,20039249,4562.36,0.02804038,1
1504439819,20039248,4574.00,0.00219000,0
1504439811,20039245,4565.00,0.09890000,1
1504439808,20039244,4563.00,0.00110000,0
1504439803,20039243,4574.57,0.00111485,0
1504439799,20039241,4565.06,0.23050000,0
1504439799,20039240,4565.07,0.02191423,1
1504439779,20039235,4574.80,0.26468310,0
1504439762,20039229,4574.15,0.01271712,1
1504439753,20039228,4574.19,0.04270010,0
1504439748,20039226,4574.25,0.55000000,0
1504439743,20039225,4574.33,0.00111491,0
1504439736,20039220,4574.36,0.02397194,1
1504439736,20039219,4574.36,0.02602806,1
1504439702,20039211,4574.80,0.00273000,0
1504439683,20039208,4576.82,0.00111430,0
1504439645,20039202,4575.07,0.01011300,0
1504439643,20039201,4575.11,0.02530000,0
1504439622,20039169,4575.44,0.00111464,0
1504439621,20039168,4575.45,2.00571090,0
1504439620,20039167,4575.47,0.02000000,0
1504439607,20039165,4575.67,0.26000000,0
1504439594,20039164,4573.21,0.09000000,0
1504439590,20039163,4573.28,0.45605944,0
1504439590,20039162,4566.17,0.57243754,0
1504439587,20039160,4566.17,0.02000000,0
1504439576,20039152,4566.17,0.15686246,0
1504439574,20039151,4565.85,0.05000000,0
1504439562,20039149,4566.02,0.00111694,0
1504439535,20039141,4557.39,0.11200000,1
1504439532,20039137,4557.39,0.06131745,1
1504439531,20039136,4557.40,0.03890000,1
1504439529,20039135,4557.42,0.00950000,1
1504439528,20039134,4557.39,0.00599760,1
1504439524,20039130,4566.00,0.10049277,0
1504439523,20039128,4566.01,0.05024518,0
1504439523,20039127,4566.01,0.01271912,0
1504439521,20039125,4557.39,0.02601468,1
1504439521,20039124,4557.40,0.19070583,1
1504439518,20039123,4566.07,0.02709162,0
1504439504,20039117,4557.39,0.20380741,1
1504439502,20039107,4566.14,0.00111691,0
1504439486,20039102,4566.01,0.02663860,0
1504439481,20039099,4557.39,0.02000000,1
1504439469,20039081,4557.39,0.16000000,1
1504439464,20039076,4566.13,1.03767304,0
1504439460,20039074,4566.15,3.93611692,0
1504439460,20039073,4566.13,0.23888308,0
1504439456,20039072,4557.39,0.02000000,1
1504439443,20039071,4557.39,0.02000000,1
1504439441,20039070,4566.14,0.00111692,0
1504439430,20039069,4557.39,0.05000000,1
1504439417,20039067,4573.74,0.28000000,0
1504439408,20039066,4573.90,0.01966951,1
1504439405,20039065,4567.00,0.03459437,0
1504439405,20039064,4566.28,0.19888312,0
