price,amount,type
4563.00,0.10000000,0
4562.36,0.99258962,0
4562.33,0.10000000,0
4562.31,2.17600000,0
4560.00,1.00000000,0
4558.17,0.24000000,0
4554.36,1.56040000,0
4554.33,0.13000000,0
4554.30,5.60000000,0
4551.31,3.13020000,0
4551.29,2.21051019,0
4551.27,6.00000000,0
4550.00,0.30000000,0
4547.12,5.78930000,0
4545.99,0.98588807,0
4545.45,0.90000000,0
4544.00,0.00542000,0
4543.81,6.26040000,0
4543.79,6.00000000,0
4543.62,0.06444442,0
4542.34,9.66152974,0
4540.38,6.10000000,0
4539.52,1.89026607,0
4539.00,0.02474929,0
4538.14,0.06444442,0
4538.00,0.02300000,0
4537.51,6.20000000,0
4537.00,0.02300000,0
4536.00,0.02300000,0
4535.00,2.12450000,0
4534.70,6.00000000,0
4534.07,0.00176146,0
4534.00,0.02300000,0
4533.00,0.02300000,0
4532.67,0.06444442,0
4532.00,0.02300000,0
4531.00,0.02300000,0
4530.96,5.86350000,0
4530.00,0.02915577,0
4529.00,0.02300000,0
4528.32,0.00177145,0
4528.00,0.02300000,0
4527.73,5.80000000,0
4527.19,0.06444442,0
4527.00,0.02300000,0
4526.00,0.02300000,0
4525.48,0.19332429,0
4525.00,0.12300000,0
4524.93,0.03000000,0
4524.89,0.88178939,0
4524.72,5.27000000,0
4524.00,0.02300000,0
4523.00,0.02300000,0
4522.57,0.00177144,0
4522.50,0.00300000,0
4522.00,0.02300000,0
4521.71,0.06444442,0
4521.55,12.53020000,0
4521.53,6.20000000,0
4521.00,0.07475626,0
4520.20,1.94077462,0
4520.00,0.50954408,0
4519.00,0.02300000,0
4518.97,6.00000000,0
4518.00,0.02300000,0
4517.00,0.02300000,0
4516.81,0.00177143,0
4516.23,0.06444442,0
4516.00,0.02300000,0
4515.43,5.87960000,0
4515.00,0.02300000,0
4514.00,0.02300000,0
4513.00,0.02300000,0
4512.59,0.02424550,0
4512.58,6.23620000,0
4512.49,50.10000000,0
4512.12,2.58678312,0
4512.00,0.02475976,0
4511.97,0.04000000,0
4511.06,0.00177142,0
4511.00,0.02300000,0
4510.75,0.06444442,0
4510.00,1.04542300,0
4509.39,6.00000000,0
4509.00,0.02300000,0
4508.00,0.02300000,0
4507.00,0.02300000,0
4506.00,0.02300000,0
4505.31,0.00178141,0
4505.28,0.06444442,0
4505.00,3.29028571,0
4504.65,1.27818648,0
4504.60,0.00528816,0
4504.00,0.02300000,0
4503.00,0.02476328,0
4502.50,0.00300000,0
4502.00,1.02300000,0
4501.13,0.43000000,0
4501.10,0.10000000,0
4501.01,1.99000000,0
4501.00,12.52300000,0
4500.81,0.10000000,0
4500.67,0.02756478,0
4500.10,0.01600000,0
4500.02,0.00113333,0
4500.00,9.95705778,0
4499.80,0.06444442,0
4499.56,0.00178140,0
4499.00,0.32220000,0
4498.00,0.02300000,0
4497.00,0.02300000,0
4496.00,1.02300000,0
4495.00,0.02300000,0
4494.32,0.06444442,0
4494.00,0.02476681,0
4493.80,0.00178139,0
4493.00,0.02300000,0
4492.00,0.05810209,0
4491.83,0.11598983,0
4491.56,7.96858107,0
4491.00,10.02300000,0
4490.01,0.00500000,0
4490.00,1.47541850,0
4489.52,0.01000000,0
4489.00,4.62990246,0
4488.84,0.06444442,0
4488.50,0.05575456,0
4488.05,0.00178138,0
4488.00,35.06388379,0
4487.99,0.75000000,0
4487.54,25.01250000,0
4487.36,0.06000000,0
4487.27,0.01634847,0
4487.00,0.73302187,0
