date,tid,price,amount,type
1504439883,20039280,0.07532749,0.00009995,0
1504439882,20039274,0.07532748,9.25164881,1
1504439881,20039272,0.07532748,3.24825124,0
1504439767,20039233,0.07539701,1.00000000,0
1504439765,20039232,0.07539702,5.00000000,0
1504439763,20039231,0.07526000,0.16899500,1
1504439740,20039224,0.07526000,0.07765696,1
1504439740,20039222,0.07530000,0.09133804,1
1504439705,20039214,0.07539955,0.90786929,1
1504439705,20039213,0.07532749,0.09133804,0
1504439703,20039212,0.07530000,0.00079267,0
1504439581,20039155,0.07530000,2.01529880,0
1504439532,20039138,0.07530000,0.51652800,0
1504439516,20039118,0.07530000,0.46738053,0
1504439142,20038913,0.07500100,0.10000000,1
1504439089,20038833,0.07500100,0.10000000,1
1504439087,20038830,0.07507000,0.10000000,1
1504439020,20038804,0.07512000,4.88000000,1
1504438971,20038778,0.07524999,0.13259800,0
1504438964,20038777,0.07525000,4.88415805,1
1504438954,20038772,0.07525000,8.12719600,1
1504438900,20038741,0.07524032,3.28923700,1
1504438895,20038735,0.07524033,0.06980514,1
1504438834,20038708,0.07532014,8.21549699,1
1504438834,20038707,0.07533000,0.13500000,1
1504438772,20038684,0.07589848,0.43287639,0
1504438690,20038598,0.07589900,0.06980514,0
1504438572,20038498,0.07536003,0.07030339,1
1504438561,20038487,0.07589954,0.49328000,0
1504438538,20038431,0.07534002,1.40562057,1
1504438444,20038370,0.07590000,0.06571186,0
1504438245,20038206,0.07524373,1.66147121,1
1504438093,20038012,0.07573646,0.07030339,0
1504437926,20037860,0.07573867,1.86017736,1
1504437925,20037858,0.07573867,2.74945178,0
1504437906,20037812,0.07524343,0.07094105,1
1504437777,20037593,0.07557000,0.09035000,1
1504437580,20037305,0.07578973,0.01066668,0
1504437580,20037303,0.07578000,0.15900000,0
1504437577,20037289,0.07535004,4.72938217,1
1504437577,20037288,0.07535259,0.62161783,1
1504437577,20037287,0.07537000,0.15900000,1
1504437542,20037247,0.07578987,0.10071380,0
1504437542,20037246,0.07578000,0.15800000,0
1504437514,20037201,0.07578993,6.31775224,0
1504437412,20037119,0.07531096,7.02208036,1
1504437412,20037118,0.07531777,2.61000000,1
1504437411,20037117,0.07531777,0.20991964,1
1504437411,20037116,0.07533000,0.15800000,1
1504437384,20037104,0.07582942,0.86790171,0
1504437384,20037103,0.07582000,0.15684527,0
1504437384,20037102,0.07581999,0.16215302,0
1504437348,20037083,0.07584972,1.18640000,0
1504437196,20036945,0.07552094,0.35657556,0
1504437193,20036944,0.07552094,0.64342419,0
1504437188,20036928,0.07524035,0.51641761,1
1504437188,20036927,0.07552087,0.76041277,1
1504437188,20036926,0.07552095,2.61000000,1
1504437188,20036925,0.07552095,0.92346225,1
1504437188,20036924,0.07552107,0.53796000,1
1504437188,20036923,0.07552108,4.33174737,1
1504437181,20036911,0.07611901,0.53372900,0
1504437172,20036905,0.07552090,6.94000000,1
1504437161,20036902,0.07570996,4.33174780,1
1504437160,20036901,0.07570996,6.45900000,1
1504437160,20036900,0.07570996,2.61000000,0
1504437092,20036888,0.07552158,10.00000000,1
1504436822,20036761,0.07569363,1.13453878,1
1504436703,20036732,0.07617462,8.00000000,0
1504436618,20036693,0.07569288,4.50272683,1
1504436618,20036692,0.07569289,0.37117317,1
1504436609,20036668,0.07569287,2.46761495,1
1504436609,20036667,0.07569288,2.38775457,1
1504436608,20036665,0.07593599,0.00006799,1
1504436601,20036648,0.07593599,0.92185537,1
