price,amount,type
0.07530000,0.00009995,0
0.07526000,2.75334804,0
0.07520025,70.31800000,0
0.07501854,2.40111217,0
0.07501853,11.12017063,0
0.07500010,0.20000000,0
0.07500000,8.36490000,0
0.07470002,0.48047083,0
0.07470000,9.59483530,0
0.07450696,132.40100000,0
0.07400000,2.00000000,0
0.07398825,0.50000000,0
0.07390000,0.10000000,0
0.07364941,132.40100000,0
0.07339736,0.10530488,0
0.07320000,0.10000000,0
0.07300010,0.10000000,0
0.07300000,4.54391780,0
0.07259870,1.10194810,0
0.07223995,37.56193075,0
0.07210000,1.50000000,0
0.07209000,0.70000000,0
0.07208700,0.10000000,0
0.07200010,0.10000000,0
0.07200000,0.26111110,0
0.07131135,0.30270000,0
0.07120000,50.00000000,0
0.07110000,0.10000000,0
0.07100010,0.10000000,0
0.07080000,1.00000000,0
0.07054900,3.00000000,0
0.07017400,3.00000000,0
0.07011000,10.00000000,0
0.07010000,10.00000000,0
0.07000000,16.14000000,0
0.06979900,3.00000000,0
0.06975875,0.28598560,0
0.06974500,0.39782527,0
0.06942400,3.00000000,0
0.06932586,0.14388570,0
0.06904900,3.00000000,0
0.06868500,50.00000000,0
0.06867400,3.50000000,0
0.06829900,3.50000000,0
0.06810000,0.10000000,0
0.06800000,3.90000000,0
0.06764423,0.14746300,0
0.06762213,10.00000000,0
0.06738214,0.14803630,0
0.06700000,0.08000000,0
0.06574766,0.15171600,0
0.06560000,0.10000000,0
0.06558515,0.15209240,0
0.06554445,0.15218680,0
0.06395455,0.15597010,0
0.06260000,0.10000000,0
0.06188276,0.16119190,0
0.06060000,0.10000000,0
0.06010000,7.98668885,0
0.06000000,0.09000000,0
0.05810000,0.10000000,0
0.05731000,10.00000000,0
0.05610000,0.10000000,0
0.05522000,10.00000000,0
0.05360000,0.10000000,0
0.05200000,2.00000000,0
0.05160000,0.10000000,0
0.05126200,20.00000000,0
0.05012345,555.55555550,0
0.05010000,0.20000000,0
0.05000001,101.93633900,0
0.05000000,899.90000000,0
0.04997665,1.00000000,0
0.04870000,24.00000000,0
0.04760000,0.20000000,0
0.04752200,30.00000000,0
0.04610000,0.20000000,0
0.04410000,0.20000000,0
0.04361000,11.00000000,0
0.04260000,0.20000000,0
0.04226000,22.00000000,0
0.04060000,0.20000000,0
0.03910000,0.20000000,0
0.03760000,0.20000000,0
0.03610000,0.20000000,0
0.03510000,0.20000000,0
0.03360000,0.30000000,0
0.03210000,0.30000000,0
0.03166109,9.50000000,0
0.03110000,0.30000000,0
0.03010000,0.30000000,0
0.02010000,3.80000000,0
0.02000000,55.00000000,0
0.01111111,1111.00000000,0
0.01010000,12.60000000,0
0.01000000,85.00000000,0
0.00500000,160.00000000,0
0.00310000,50.00000000,0
0.00200000,400.00000000,0
0.00100000,874.00000000,0
0.00050000,1600.00000000,0
0.00022000,345.00000000,0
0.00020000,100.00000000,0
0.00007110,100.00000000,0
0.00000120,8333.33333333,0
0.07532749,0.09123809,1
0.07539416,2.61000000,1
0.07539421,2.57222437,1
0.07551000,0.15963814,1
0.07560123,0.51444487,1
0.07560124,1.08850697,1
0.07576454,0.20000000,1
0.07589966,0.87922394,1
0.07649996,122.13268900,1
0.07649997,108.58275843,1
0.07650000,0.00000597,1
0.07710000,0.19500000,1
0.07720000,0.17000000,1
0.07730000,0.10000000,1
0.07749885,0.90392626,1
0.07750844,0.90386802,1
0.07752802,0.90386796,1
0.07756704,0.90328496,1
0.07760000,0.50000000,1
0.07780000,6.90100000,1
0.07790000,0.19300000,1
0.07800000,2.00000000,1
0.07848591,0.10491136,1
0.07850000,0.10000000,1
0.07860000,2.95610821,1
0.07870000,0.19100000,1
0.07900000,27.50000000,1
0.07911445,0.88783549,1
0.07930575,0.13132890,1
0.07943709,0.70000000,1
0.07950000,0.18900000,1
0.08000000,1.70000000,1
0.08000020,0.13276371,1
0.08064938,0.17021352,1
0.08064939,0.11286285,1
0.08090000,0.10000000,1
0.08100000,24.91260000,1
0.08100500,0.12018072,1
0.08120000,0.06330000,1
0.08123000,3.00000000,1
0.08200000,30.34824504,1
0.08209144,4.00000000,1
0.08223889,0.12944853,1
0.08233500,0.85676682,1
0.08240000,10.50000000,1
0.08250000,0.18200000,1
0.08267920,1.19111547,1
0.08280000,3.00000000,1
0.08280387,0.12141586,1
0.08297839,2.00000000,1
0.08300000,0.50000000,1
0.08333000,0.30000000,1
0.08336900,3.83369317,1
0.08345413,0.50000000,1
0.08350000,1.45521131,1
0.08366688,0.06500000,1
0.08367501,0.87234654,1
0.08388720,6.03360780,1
0.08393330,0.25350000,1
0.08400000,32.71243368,1
0.08410000,7.80737331,1
0.08417920,0.33175364,1
0.08433330,0.49000000,1
0.08440000,0.10000000,1
0.08441700,8.00000000,1
0.08450000,12.41100000,1
0.08460000,2.26306561,1
0.08469900,0.75000000,1
0.08479241,0.87234654,1
0.08479999,0.08302873,1
0.08490000,1.44915254,1
0.08499999,0.26540000,1
0.08500000,17.58500000,1
0.08508000,1.09082624,1
0.08513978,17.00000000,1
0.08520000,0.30000000,1
0.08550000,12.36621474,1
0.08620444,4.79908172,1
0.08620530,0.15130104,1
0.08700000,25.91849440,1
0.08706014,3.35593473,1
0.08750000,0.80000000,1
0.08794000,0.10000000,1
0.08796930,0.10000000,1
0.08800000,15.00000000,1
0.08899996,1.00000000,1
0.08900000,24.45700000,1
0.08971666,16.66780378,1
0.08988000,0.25000000,1
0.08989990,1.00000000,1
0.09000000,7.00000000,1
0.09054950,0.14320900,1
0.09090000,0.10000000,1
0.09170000,0.16400000,1
0.09280055,0.13973520,1
0.09322898,0.13909300,1
0.09390000,0.08000000,1
0.09400000,9.82264665,1
0.09540000,0.10000000,1
0.09591828,0.27038640,1
0.09594490,0.13515570,1
0.09710001,13.00000000,1
0.09800000,12.44621923,1
0.09863495,0.13146960,1
0.09876733,0.13129340,1
0.09890000,0.10000000,1
0.09990000,0.08000000,1
0.10000000,23.05878839,1
0.10100000,10.00000000,1
0.10148019,0.12778360,1
0.10195956,0.35363472,1
0.10290000,0.10000000,1
0.10295956,0.35363472,1
0.10449445,0.12409750,1
0.10690000,0.10000000,1
0.10800000,0.10000000,1
0.10900000,0.10000000,1
0.11000000,0.10000000,1
0.11095830,1.00000000,1
0.11100000,10.10000000,1
0.11200000,0.10000000,1
0.11300000,0.10000000,1
0.11400000,0.10000000,1
0.11500000,0.10000000,1
0.11600000,0.10000000,1
0.11700000,0.10000000,1
0.11800000,0.10000000,1
0.11900000,0.10000000,1
0.12000000,0.10000000,1
0.12100000,0.10000000,1
0.12200000,0.10000000,1
0.12300000,0.10000000,1
0.12400000,0.10000000,1
0.12500000,0.10000000,1
0.12600000,0.10000000,1
0.12700000,0.10000000,1
0.12770000,2.00124497,1
0.12800000,0.10000000,1
0.12900000,0.10000000,1
0.13000000,0.10000000,1
0.13100000,0.10000000,1
0.13200000,0.10000000,1
0.13300000,0.10000000,1
0.13400000,0.10000000,1
0.13500000,0.10000000,1
0.13600000,0.10000000,1
0.14000000,12.50000000,1
0.14100000,12.49234073,1
0.14400000,5.00000000,1
0.14970000,0.27858283,1
0.21000000,5.00000000,1
0.21100000,28.50000000,1
0.38000000,5.00000000,1
0.50000000,5.00000000,1
1.00000000,9.00000000,1
2.00000000,4.00000000,1
3.00000000,3.00000000,1
5.00000000,2.00000000,1
10.00000000,6.33500000,1
70.00000000,67.00643500,1
