date,tid,price,amount,type
1504439913,20039303,292.81,0.51097982,0
1504439871,20039270,291.79,1.09572490,1
1504439779,20039236,291.99,2.56561700,0
1504439579,20039153,292.72,2.01000000,0
1504439551,20039148,291.92,1.00758961,0
1504439550,20039147,292.31,0.00002740,1
1504439516,20039120,292.31,0.46738053,1
1504439466,20039080,292.84,1.50949800,0
1504439363,20039056,292.31,4.90803808,1
1504439270,20039007,292.31,2.20552371,1
1504439269,20039006,292.32,4.84000000,1
1504439265,20039004,292.98,2.56851588,0
1504439265,20039003,292.40,0.39148412,0
1504439258,20039000,292.35,5.14000000,1
1504439258,20038998,292.37,6.77101278,1
1504439163,20038925,293.00,1.87804688,0
1504439163,20038924,293.00,0.01786691,0
1504439163,20038923,292.99,3.80000000,0
1504439163,20038922,292.98,0.59508621,0
1504439131,20038902,292.98,0.14138303,0
1504439125,20038894,292.63,0.04740300,0
1504439105,20038852,292.63,0.23387171,0
1504439094,20038842,292.63,1.59480824,0
1504439094,20038841,292.61,3.01319176,0
1504438892,20038734,292.31,0.80679649,0
1504438847,20038711,292.31,0.01786691,1
1504438779,20038692,292.33,3.01319176,1
1504438779,20038690,294.16,0.29943024,1
1504438778,20038685,294.16,0.06000000,0
1504438702,20038613,293.62,1.19101360,1
1504438700,20038610,293.62,0.74188032,1
1504438686,20038595,293.62,5.30075384,1
1504438686,20038593,293.62,1.25680908,1
1504438686,20038592,293.62,5.86884994,1
1504438678,20038589,293.63,0.05348404,0
1504438676,20038582,293.62,0.76668483,1
1504438672,20038576,293.62,0.79077209,1
1504438672,20038575,293.62,1.14212193,1
1504438634,20038536,293.62,3.58000000,0
1504438570,20038495,292.39,0.14653732,0
1504438560,20038483,292.34,0.10692500,1
1504438527,20038422,292.46,3.32878823,1
1504438445,20038377,293.58,0.00447000,1
1504438445,20038376,293.58,2.98000000,1
1504438444,20038371,293.58,0.36000000,0
1504438428,20038336,293.60,0.45527526,1
1504438425,20038335,293.60,1.47044000,1
1504438369,20038310,293.60,1.25214577,0
1504438368,20038309,293.58,3.01319176,1
1504438368,20038308,292.73,0.01781687,0
1504438368,20038307,292.30,0.50000000,0
1504438368,20038306,292.13,0.93000000,0
1504438366,20038305,292.12,0.29200000,0
1504438362,20038302,292.13,3.50000000,0
1504438217,20038152,292.24,0.05348404,1
1504438062,20037981,291.78,1.48492599,1
1504438059,20037976,291.78,0.49372741,1
