price,amount,type
291.79,1.91746686,0
291.51,7.87763041,0
291.50,6.94137221,0
291.21,1.20387349,0
291.11,1.10000000,0
290.43,0.90000000,0
290.31,62.73300000,0
290.30,15.00000000,0
290.02,0.29790000,0
290.01,14.81700000,0
290.00,4.15410775,0
289.85,0.39000000,0
289.02,3.00000000,0
289.00,0.11600251,0
288.87,1.24000000,0
288.55,12.68303327,0
288.53,5.00000000,0
288.00,13.42070754,0
287.38,0.13000000,0
287.36,96.23800000,0
287.35,0.14000000,0
287.00,0.34842000,0
286.54,0.03500000,0
286.20,15.00000000,0
286.00,0.02097902,0
285.66,10.00000000,0
285.50,1.00000000,0
285.10,1.00000000,0
285.04,3.00000000,0
285.01,12.62615820,0
285.00,10.50000000,0
284.75,6.40000000,0
284.25,0.20400000,0
284.00,10.23723296,0
283.19,96.23800000,0
282.95,0.35340000,0
282.43,5.00000000,0
282.00,3.00000000,0
281.55,0.50000000,0
281.40,0.53304904,0
281.00,19.83033594,0
280.87,3.00000000,0
280.75,1.77648241,0
280.20,15.00000000,0
280.10,10.00000000,0
280.00,54.33665672,0
279.00,0.80709646,0
278.82,0.10000000,0
278.75,1.00000000,0
278.62,1.15232216,0
278.50,0.20830000,0
278.38,0.53386062,0
278.04,1.00000000,0
278.00,7.47668577,0
277.68,0.35922655,0
277.50,0.50000000,0
277.00,10.35080000,0
276.76,0.06555358,0
276.43,1.00000000,0
276.40,0.38353306,0
276.20,4.84000000,0
276.00,1.56233100,0
275.70,1.00000000,0
275.39,1.00000000,0
275.37,31.05174457,0
275.20,0.79169313,0
275.11,0.09061830,0
275.06,5.11524758,0
275.02,1.00000000,0
275.00,28.93881817,0
274.74,0.06000000,0
274.01,10.33253796,0
274.00,0.82338408,0
273.84,0.36520000,0
273.80,0.36432014,0
273.38,1.00000000,0
273.00,2.30322344,0
272.75,0.21260000,0
272.43,0.18305620,0
272.20,1.00000000,0
272.09,0.05000000,0
271.82,0.44300000,0
271.50,1.00770460,0
271.20,4.50000000,0
271.00,7.37000000,0
270.75,0.10000000,0
270.31,0.03000000,0
270.13,0.20000000,0
270.12,1.00000000,0
270.10,10.00000000,0
270.02,10.00000000,0
270.00,31.05724935,0
268.64,0.10000000,0
268.61,0.37000000,0
268.27,0.18589481,0
268.00,0.70000000,0
267.12,0.50000000,0
267.01,2.00000000,0
267.00,1.21720000,0
266.59,1.12532353,0
266.48,1.25000000,0
266.02,0.05000000,0
