date,tid,price,amount,type
1504439885,20039288,344.11,1.00508543,1
1504439884,20039287,344.12,3.24854701,0
1504439883,20039282,344.11,2.24491457,0
1504439883,20039279,344.11,1.00508543,0
1504439882,20039276,344.00,4.89851744,0
1504439881,20039273,344.00,0.10148256,0
1504439839,20039257,343.99,1.33733538,0
1504439839,20039256,343.89,1.41306000,0
1504439837,20039255,343.87,0.14986453,0
1504439762,20039230,343.86,0.16899500,0
1504439740,20039223,343.87,0.16899500,0
1504439739,20039221,343.87,0.68114047,1
1504439734,20039218,343.88,0.12000000,0
1504439700,20039209,343.90,0.36399500,1
1504439573,20039150,343.90,5.00000000,1
1504439532,20039139,343.90,0.51652800,1
1504439527,20039133,343.90,1.11947700,1
1504439525,20039131,343.91,1.41306000,1
1504439495,20039105,343.82,1.21622812,0
1504439494,20039104,343.82,0.23000000,0
1504439494,20039103,343.80,3.01319176,0
1504439482,20039100,343.43,10.00000000,1
1504439333,20039042,343.43,0.61934297,1
1504439332,20039041,343.43,0.53549481,1
1504439332,20039040,343.43,1.75278722,1
1504439332,20039039,343.43,0.85649816,1
1504439323,20039035,343.44,0.58233601,1
1504439323,20039034,343.45,0.23000000,1
1504439323,20039033,343.46,0.28900000,1
1504439314,20039027,344.49,0.35816227,0
1504439301,20039014,344.36,0.23000000,0
1504439250,20038996,343.16,0.76506389,1
1504439250,20038995,343.16,0.23000000,1
1504439239,20038982,343.15,3.01319176,1
1504439230,20038976,343.13,0.16077647,1
1504439174,20038934,344.65,2.74954301,0
1504439166,20038928,344.23,0.59813479,0
1504439166,20038927,344.21,0.49256894,0
1504439142,20038910,342.34,0.49256894,1
1504439132,20038907,344.26,0.36147098,0
1504439132,20038906,344.25,0.58097313,0
1504439132,20038905,344.23,0.28900000,0
1504439131,20038901,344.21,0.39114085,1
1504439130,20038900,344.21,2.72419176,0
1504438994,20038788,342.13,0.16000000,1
1504438951,20038770,343.86,0.23000000,1
1504438948,20038766,343.86,0.28900000,0
1504438929,20038755,341.36,5.55819532,0
1504438927,20038754,343.00,0.06580468,1
1504438914,20038751,343.00,9.41796941,1
1504438909,20038749,343.00,1.51622591,1
1504438905,20038747,343.01,1.33000000,1
1504438905,20038746,343.01,0.58306603,1
1504438905,20038745,343.13,0.23000000,1
1504438905,20038744,343.15,1.51480544,1
1504438847,20038713,343.04,1.49838632,0
1504438847,20038712,344.00,0.73706850,1
1504438791,20038698,344.00,1.26293150,1
1504438791,20038697,344.48,0.28900000,1
1504438791,20038695,344.82,0.41998724,1
1504438728,20038631,344.82,0.58001276,0
1504438711,20038619,344.82,2.62336928,1
1504438707,20038616,344.82,0.05283000,1
1504438706,20038615,344.82,0.05893200,1
1504438696,20038605,344.82,0.75140306,1
1504438696,20038604,344.83,0.48499064,1
1504438696,20038603,344.83,0.78764886,1
1504438694,20038601,344.83,0.13813050,0
1504438691,20038599,344.82,0.25385600,1
1504438684,20038591,344.82,0.23000000,0
1504438643,20038546,344.71,1.41127082,0
1504438643,20038545,344.70,3.87722851,0
1504438643,20038544,344.70,0.04934327,0
1504438643,20038543,344.70,0.23000000,0
1504438643,20038542,344.68,3.01319176,0
1504438640,20038539,343.16,13.47572971,1
1504438640,20038538,343.18,9.87100000,0
1504438639,20038537,343.18,1.65327029,1
1504438597,20038522,343.94,0.14653732,0
1504438561,20038484,344.00,4.58201300,0
1504438560,20038482,344.00,4.85034300,0
1504438559,20038481,343.98,1.65327029,0
1504438543,20038443,341.22,3.45050980,1
1504438543,20038442,341.76,0.35388200,1
1504438543,20038441,341.76,0.42078800,1
1504438543,20038440,341.76,0.42078800,1
1504438537,20038427,342.00,0.50000000,1
1504438536,20038426,342.01,0.23000000,1
1504438529,20038424,344.01,1.25277000,1
1504438528,20038423,344.03,0.23000000,1
1504438507,20038407,345.52,0.09211941,0
1504438488,20038397,344.00,0.99500000,1
1504438476,20038391,341.21,4.42083994,1
1504438469,20038390,344.97,1.24928802,0
1504438460,20038387,341.20,2.03460972,1
1504438460,20038386,341.98,0.12252300,1
1504438457,20038384,343.03,5.57000000,1
1504438449,20038382,343.76,0.97690249,1
1504438449,20038381,345.00,0.28800000,1
1504438444,20038374,345.01,2.29000000,1
1504438444,20038373,345.01,0.93634000,1
1504438444,20038372,345.01,0.57832859,1
1504438417,20038333,345.00,2.96478411,1
1504438413,20038331,345.00,1.77142858,1
1504438386,20038322,343.76,3.25855100,0
1504438386,20038321,343.74,0.43860001,0
1504438381,20038320,343.76,6.74144900,0
1504438381,20038319,343.75,3.73000000,0
1504438371,20038315,342.99,0.94185962,0
1504438371,20038313,342.99,0.58310738,0
1504438362,20038301,343.00,1.22900000,0
1504438362,20038296,343.00,5.57000000,0
1504438359,20038289,343.00,0.20100000,0
1504438067,20037984,341.30,0.04202143,1
1504438067,20037983,341.30,0.14649868,1
1504438067,20037982,341.30,2.11000000,1
1504438058,20037972,341.30,3.46000000,1
1504438058,20037971,341.30,2.10726266,1
1504438055,20037965,341.30,3.46273734,1
1504438053,20037964,341.30,1.46132435,1
1504438053,20037963,341.73,0.04799110,1
1504438048,20037961,342.33,6.00000000,1
1504438048,20037960,343.00,0.56000000,1
1504438048,20037959,343.00,3.00000000,1
1504438039,20037942,343.20,5.72685875,1
1504438034,20037926,343.20,21.73674847,1
1504438034,20037925,343.22,1.02607000,1
1504437929,20037862,343.99,1.02376154,0
1504437908,20037815,344.00,0.97623846,1
1504437901,20037799,344.00,0.56763692,1
1504437901,20037797,344.00,0.86524857,1
1504437890,20037773,344.00,1.97270799,1
1504437881,20037762,344.00,4.89736272,1
1504437877,20037760,344.00,20.00000000,1
1504437871,20037752,344.00,0.72080534,1
1504437871,20037751,344.06,0.04778236,1
1504437871,20037750,344.84,0.03500000,1
1504437871,20037749,345.00,0.03341230,1
1504437870,20037746,345.00,0.11913842,1
1504437870,20037745,345.00,0.71786158,1
1504437862,20037738,345.00,1.08000000,1
1504437861,20037735,345.00,0.20213842,1
1504437861,20037734,345.00,7.23767358,1
1504437857,20037725,345.00,1.77592600,1
1504437853,20037717,345.00,0.17448600,1
1504437852,20037715,345.00,7.26837743,1
1504437852,20037714,345.00,0.32692692,1
1504437847,20037710,345.00,10.94691358,1
1504437846,20037709,345.00,4.17800000,1
1504437831,20037681,345.00,7.84142442,1
1504437830,20037680,345.00,6.03283193,1
1504437830,20037679,345.00,1.81892870,1
1504437826,20037670,345.00,3.07100000,1
1504437826,20037669,345.00,6.00000000,1
1504437825,20037668,345.00,23.01465700,1
1504437825,20037667,345.00,12.70821421,1
1504437825,20037666,345.00,5.39806894,1
1504437825,20037665,345.00,2.20657129,1
1504437825,20037664,345.00,0.44015997,1
1504437824,20037663,345.00,0.55984003,1
1504437824,20037661,345.00,4.32520560,1
1504437824,20037660,345.00,3.13063520,1
1504437824,20037659,345.00,3.98683433,1
1504437823,20037657,345.00,9.36104000,1
1504437823,20037655,345.00,2.40204400,1
1504437822,20037654,345.10,0.09595600,1
1504437815,20037637,345.10,0.90604400,1
1504437791,20037603,345.10,0.99800000,1
1504437745,20037564,345.00,1.79424087,1
1504437744,20037563,345.72,1.06478000,1
1504437743,20037561,345.02,0.00098340,1
1504437742,20037559,345.02,0.19569576,1
1504437739,20037553,345.50,5.00000000,1
1504437739,20037552,345.71,3.00000000,1
1504437739,20037551,345.71,0.12473380,1
1504437739,20037550,345.72,0.34622000,1
1504437738,20037549,345.86,13.10961581,0
1504437738,20037548,345.85,5.57000000,0
1504437738,20037547,345.85,1.06438419,0
1504437738,20037546,345.84,0.25600000,0
1504437721,20037509,345.76,0.28985507,1
1504437721,20037508,345.76,0.21502782,1
1504437668,20037473,345.86,2.22998906,0
1504437667,20037471,345.86,0.03432270,1
1504437522,20037225,346.80,0.03378548,0
1504437522,20037224,346.80,0.16232800,0
1504437517,20037214,345.87,0.45000000,0
1504437517,20037211,345.87,0.70261112,0
1504437516,20037208,345.87,4.06638000,0
1504437515,20037204,345.87,0.35000000,1
1504437515,20037203,345.88,0.10000000,1
1504437499,20037182,346.82,0.34513581,0
1504437386,20037106,346.85,0.16225566,0
1504437350,20037085,346.25,0.16232800,1
1504437350,20037084,346.43,0.23000000,1
1504437202,20036952,346.98,0.19421441,1
1504437191,20036935,346.98,0.00293950,0
1504437190,20036932,346.98,0.19431300,0
1504437183,20036917,346.98,0.03274750,0
1504437183,20036916,346.97,0.08700003,0
1504437176,20036910,346.97,0.19999997,0
1504437146,20036896,347.00,1.31825158,1
1504436984,20036833,347.00,1.49329123,1
1504436940,20036804,347.00,6.50670877,1
1504436940,20036803,347.01,0.23000000,1
1504436921,20036792,347.10,0.07378885,0
1504436920,20036788,347.10,0.52212923,0
1504436919,20036786,347.10,0.62487029,0
1504436918,20036784,347.11,0.38000000,1
1504436918,20036783,347.13,3.01319176,1
1504436896,20036780,347.51,0.28700000,1
1504436766,20036750,348.84,1.00000000,0
1504436615,20036686,348.96,0.00015748,1
1504436614,20036682,348.96,0.03133882,1
1504436613,20036681,349.17,1.34570824,0
1504436613,20036680,349.17,0.28500000,0
1504436613,20036679,349.17,0.23000000,0
1504436613,20036678,349.15,3.01319176,0
1504436610,20036673,345.76,1.21337739,1
1504436608,20036663,345.76,0.00007977,0
1504436608,20036661,345.76,4.85543751,0
1504436607,20036657,346.01,0.39000000,1
1504436607,20036656,346.03,0.92185537,1
1504436607,20036655,347.65,0.23000000,1
1504436601,20036646,346.00,1.00000000,1
1504436601,20036645,346.00,2.91755725,1
1504436601,20036644,347.62,0.92185537,0
1504436600,20036642,346.00,2.30244275,1
1504436600,20036641,346.09,0.39000000,1
1504436599,20036640,347.66,2.50000000,1
1504436599,20036639,347.68,0.50000000,1
1504436595,20036627,347.67,0.28500000,1
1504436591,20036623,347.73,7.62000000,1
1504436590,20036622,347.68,1.65113107,0
1504436537,20036575,349.35,1.00000000,0
1504436535,20036574,349.35,1.00000000,0
1504436535,20036573,349.33,1.00000000,0
1504436535,20036572,349.33,0.65113107,0
1504436535,20036571,348.36,0.34886893,0
1504436534,20036570,348.36,0.48499500,0
1504436534,20036569,348.18,0.23000000,0
1504436534,20036568,348.17,0.28500500,0
1504436486,20036554,346.84,5.33540991,1
1504436486,20036553,346.86,2.88000000,1
1504436486,20036552,346.88,0.57656100,1
1504436486,20036551,346.97,0.58000000,1
1504436486,20036550,346.98,0.28500000,1
1504436486,20036549,346.99,0.88182461,1
1504436431,20036514,347.51,0.30137064,1
1504436431,20036513,347.52,0.10223000,1
1504436431,20036512,347.54,0.23000000,1
1504436419,20036509,348.28,0.10200000,0
1504436404,20036499,347.49,2.12884715,1
