price,amount,type
343.57,0.10148256,0
343.56,0.23000000,0
343.54,1.41450000,0
343.43,0.03295339,0
343.00,0.10000000,0
342.10,0.34000000,0
342.08,1.70000000,0
342.04,0.13644450,0
342.00,1.00000000,0
341.35,5.00000000,0
341.21,2.29261123,0
341.20,7.44021443,0
341.03,0.42000000,0
341.00,66.12102632,0
340.96,0.10000000,0
340.86,0.19638561,0
340.76,1.00000000,0
340.10,1.00000000,0
340.00,168.83929369,0
339.00,5.09000000,0
338.95,0.15214633,0
338.22,0.03500000,0
338.01,10.00000000,0
338.00,56.88000000,0
337.00,53.92259675,0
336.50,240.11900000,0
336.00,4.56000000,0
335.00,149.98579104,0
334.65,1.00000000,0
334.00,1.08000000,0
333.45,1.00000000,0
333.00,7.00000000,0
332.63,4.90000000,0
332.28,3.00000000,0
332.00,4.69994382,0
331.93,9.47636549,0
331.77,0.09428218,0
331.75,11.80633247,0
331.73,7.37543000,0
331.69,4.13435000,0
331.55,0.56000000,0
331.54,0.10000000,0
331.53,0.08000000,0
331.49,3.00914055,0
331.44,0.95398865,0
331.00,18.00000000,0
330.80,3.00000000,0
330.26,0.10000000,0
330.20,1.43240460,0
330.00,160.37964155,0
329.00,6.36000000,0
328.50,10.00000000,0
328.08,3.00000000,0
328.01,1.00000000,0
327.00,3.37040671,0
326.22,0.06115400,0
326.14,1.00000000,0
326.00,4.20000000,0
325.97,0.10000000,0
325.12,0.10000000,0
325.01,24.80000000,0
325.00,128.72922368,0
324.49,0.01550000,0
324.00,3.13000000,0
323.00,6.08000000,0
322.00,16.11285714,0
321.49,10.00000000,0
321.06,0.93440274,0
321.00,79.58542056,0
320.40,0.64000000,0
320.10,7.00000000,0
320.02,0.31732391,0
320.01,20.00000000,0
320.00,354.79244391,0
319.56,0.50000000,0
319.49,0.01570000,0
319.00,28.60108227,0
318.91,0.06255700,0
318.80,1.00000000,0
318.77,2.00000000,0
318.00,5.83000000,0
317.55,0.56000000,0
317.50,1.00000000,0
317.33,0.06286900,0
317.00,0.23000000,0
316.52,5.00000000,0
316.50,1.00000000,0
316.20,1.25000000,0
316.00,5.86000000,0
315.92,0.03300000,0
315.60,0.02500000,0
315.50,4.50000000,0
315.03,0.34971273,0
315.00,143.66777429,0
314.78,4.00000000,0
314.74,3.39000000,0
314.49,0.01600000,0
314.11,0.80831555,0
314.00,1.50000000,0
313.50,1.00000000,0
313.00,51.52000000,0
312.66,2.46600000,0
312.50,1.00000000,0
312.30,0.50000000,0
312.00,16.50000000,0
311.52,5.00000000,0
311.32,0.10000000,0
311.11,1.03037511,0
311.00,2.00000000,0
310.01,10.00000000,0
310.00,170.06471975,0
309.71,0.06441500,0
309.66,2.44739392,0
309.49,0.01622000,0
309.00,6.63999999,0
308.79,1.42691062,0
308.50,10.00000000,0
308.00,11.41000000,0
307.66,0.06484400,0
307.52,53.77747593,0
307.00,7.50000000,0
306.52,5.00000000,0
306.50,3.41598694,0
306.00,0.60000000,0
305.66,3.00000000,0
305.43,1.50000000,0
305.20,4.50940366,0
305.01,30.00000000,0
305.00,3.86229508,0
304.49,0.01650000,0
304.20,2.00000000,0
304.00,21.00000000,0
303.56,0.12844248,0
303.25,1.00000000,0
303.23,1.00000000,0
303.20,2.00000000,0
303.00,50.43000000,0
302.71,1.40446066,0
302.11,0.50000000,0
302.00,12.41999999,0
301.52,7.00000000,0
301.50,3.80471073,0
301.20,1.00000000,0
301.12,5.00000000,0
301.11,5.00879539,0
301.07,99.36961503,0
301.03,0.06627300,0
301.00,18.56000000,0
300.49,10.00000000,0
300.39,2.00000000,0
300.05,1.00000000,0
300.01,10.00000000,0
300.00,423.25400816,0
299.49,0.01680000,0
299.04,0.06671400,0
299.00,19.38013377,0
298.88,0.12084942,0
298.50,31.00000000,0
298.28,6.00000000,0
298.22,1.00000000,0
298.00,7.50000000,0
297.12,1.00000000,0
297.00,3.20000000,0
296.55,1.00000000,0
296.50,3.00000000,0
296.00,0.13000000,0
295.00,8.19999999,0
294.59,5.00000000,0
294.49,0.01705000,0
294.22,0.06780500,0
294.00,13.86999999,0
293.77,1.13827144,0
293.50,0.90000000,0
293.20,20.00000000,0
293.01,0.21330300,0
293.00,3.00000000,0
292.82,0.06813100,0
292.00,0.76000000,0
291.86,7.80000000,0
291.50,0.02500000,0
291.00,2.70000000,0
290.88,0.06858500,0
290.05,1.00000000,0
290.01,10.00000000,0
290.00,94.61467715,0
289.49,0.01735000,0
289.22,1.00000000,0
289.07,0.06901500,0
289.00,2.94948095,0
288.86,2.00000000,0
288.00,22.88086804,0
287.20,11.35804317,0
287.03,0.78476117,0
287.00,13.90999999,0
286.57,50.00000000,0
286.20,0.06970600,0
286.00,77.50000000,0
285.00,35.21356139,0
284.55,5.70000000,0
284.49,0.01765000,0
284.03,0.93542935,0
284.00,3.00000000,0
283.00,2.30000000,0
282.00,0.13000000,0
281.25,20.00000000,0
281.22,0.26679230,0
281.00,9.75999999,0
280.96,0.07100600,0
280.88,7.00000000,0
280.52,0.15000000,0
280.25,5.00000000,0
280.01,10.00000000,0
280.00,55.88212239,0
279.78,2.15000000,0
279.49,0.01800000,0
279.00,4.00000000,0
278.50,101.00000000,0
278.00,1.07902589,0
277.11,2.00000000,0
277.00,4.59999999,0
276.50,1.00000000,0
276.30,5.00000000,0
276.00,3.60000000,0
275.00,51.77000000,0
274.49,0.01830000,0
274.00,11.53999999,0
273.30,0.07299700,0
273.00,17.61999999,0
272.00,4.50000000,0
271.50,0.02500000,0
271.00,3.05000000,0
270.93,10.00000000,0
270.25,5.00000000,0
270.10,0.20000000,0
270.01,10.00000000,0
270.00,21.86407406,0
269.00,1.00000000,0
268.00,19.13000000,0
267.00,14.31999999,0
266.34,3.50000000,0
266.00,17.30999999,0
265.00,10.83548792,0
264.00,1.08000000,0
263.00,3.89999999,0
262.00,1.00000000,0
261.50,3.00000000,0
261.00,10.13000000,0
260.00,32.76999999,0
259.22,4.46000000,0
259.00,18.45999999,0
258.00,5.50000000,0
257.00,1.92000000,0
256.00,4.19999999,0
255.00,10.98043137,0
254.00,0.34000000,0
253.50,1.00000000,0
253.00,12.87999999,0
252.00,21.16999999,0
251.00,23.00000000,0
250.01,20.00000000,0
250.00,67.97254550,0
249.00,48.49999999,0
247.00,1.13000000,0
246.00,13.66000000,0
245.00,20.19999999,0
244.44,444.44444444,0
244.00,8.68508196,0
243.00,1.32000000,0
242.00,4.79999999,0
241.00,11.00000000,0
240.00,0.20208333,0
239.00,14.44000000,0
238.00,21.34999999,0
237.00,9.24858386,0
236.00,1.40000000,0
235.00,5.09999999,0
234.42,4.89999999,0
234.00,32.43568375,0
233.33,333.33330000,0
233.00,0.91000000,0
232.00,15.22000000,0
231.00,24.25999999,0
230.00,7.57826086,0
229.00,4.48000000,0
228.00,5.39999999,0
227.04,0.70000000,0
227.00,20.00000000,0
226.00,0.13000000,0
225.50,0.03000000,0
225.00,31.00000000,0
224.90,0.36400000,0
224.00,23.64999999,0
223.00,18.00000000,0
222.00,1.56000000,0
221.00,5.69999999,0
220.00,1.07954545,0
219.00,0.13000000,0
218.00,16.77999999,0
217.04,5.36400000,0
217.00,24.79999999,0
216.00,8.50000000,0
215.07,0.10000000,0
215.00,1.64000000,0
214.00,5.99999999,0
213.00,3.79999999,0
212.00,7.27999999,0
211.00,18.55999999,0
210.00,32.36547617,0
209.00,9.00000000,0
208.00,1.72000000,0
207.00,6.55999999,0
205.06,0.10000000,0
205.00,0.13000000,0
204.00,18.33999999,0
203.52,0.98000000,0
203.00,27.09999999,0
202.00,9.50000000,0
201.00,1.80000000,0
200.00,39.72749999,0
199.70,0.50960000,0
198.50,15.00000000,0
197.00,19.11999999,0
196.00,28.24999999,0
195.00,10.00000000,0
194.00,1.88000000,0
193.52,0.50960000,0
193.00,6.89999999,0
192.00,4.19999999,0
191.00,0.33000000,0
190.00,19.89999999,0
189.58,9.60399999,0
189.00,31.55999999,0
188.45,10.00000000,0
187.00,3.33200000,0
186.00,7.19999999,0
185.60,0.36400000,0
183.00,20.67999999,0
182.00,31.26344000,0
181.00,1.00000000,0
180.99,5.00000000,0
180.00,2.04000000,0
179.00,7.49999999,0
177.00,0.71344000,0
176.00,21.45999999,0
175.50,0.19225071,0
175.00,35.55000000,0
173.00,2.12000000,0
172.00,7.79999999,0
171.00,4.60000000,0
170.48,1.92080000,0
170.00,0.37000000,0
169.00,22.24000000,0
168.80,0.50960000,0
168.00,40.21000000,0
167.00,10.00000000,0
166.00,2.20000000,0
165.00,9.10357574,0
164.30,0.99881600,0
162.00,5.22000000,0
161.84,13.44559999,0
161.00,34.00000000,0
160.48,0.99881600,0
159.00,2.28000000,0
158.00,8.39999999,0
157.00,0.97344000,0
156.00,4.00000000,0
155.00,5.40000000,0
154.00,35.15000000,0
152.00,2.36000000,0
151.00,9.69999999,0
150.04,2.68911999,0
150.00,77.56730700,0
149.00,0.41000000,0
148.00,5.58000000,0
147.00,38.86000000,0
146.30,0.36400000,0
145.20,0.99881600,0
145.00,2.44000000,0
144.00,14.00000000,0
142.40,1.39834240,0
141.00,5.76000000,0
140.04,1.39834240,0
140.00,37.45000000,0
138.00,2.52000000,0
137.90,0.50960000,0
137.00,9.30000000,0
134.00,5.94000000,0
133.00,38.60000000,0
132.00,15.21344000,0
131.00,2.60000000,0
130.60,1.39834240,0
130.00,9.60000000,0
129.00,5.40000000,0
128.00,0.45000000,0
127.00,6.12000000,0
126.10,0.99881600,0
126.00,42.51000000,0
125.25,1444.00000000,0
125.00,0.50000000,0
124.00,2.68000000,0
123.00,9.90000000,0
121.00,1.00000000,0
120.00,6.30000000,0
119.00,40.90000000,0
118.80,1.39834240,0
117.00,25.34860798,0
116.00,10.20000000,0
113.09,42.36195242,0
113.00,6.48000000,0
112.00,36.00000000,0
110.00,2.84000000,0
109.00,10.50000000,0
108.00,5.80000000,0
107.00,3.91535872,0
106.00,2.96000000,0
