date,tid,price,amount,type
1504439246,20038990,1.17401,153.93507,1
1504439243,20038987,1.17400,896.90885,1
1504439242,20038986,1.17400,134.36791,1
1504439242,20038985,1.17401,56.10033,1
1504439242,20038984,1.17401,167.66999,1
1504439193,20038944,1.17400,209.48500,1
1504439193,20038943,1.17401,287.01410,1
1504439131,20038904,1.17400,18.57482,1
1504439131,20038903,1.17400,95.98999,1
1504439125,20038896,1.17401,267.08999,0
1504439124,20038887,1.17400,908.03534,1
1504439124,20038886,1.17400,13.71957,1
1504439124,20038885,1.17401,329.75277,1
1504438743,20038646,1.17401,61.16555,0
1504438731,20038637,1.17400,791.68643,1
1504438731,20038636,1.17401,291.46723,1
1504438730,20038634,1.17401,55.63903,1
1504438730,20038633,1.17401,61.16555,0
1504438727,20038628,1.17401,190.13053,1
1504438725,20038626,1.17401,205.34715,1
1504438725,20038624,1.17401,55.70030,1
1504438678,20038587,1.17401,95.99000,1
1504438665,20038566,1.17401,167.67499,1
1504438571,20038497,1.17401,86.87347,0
1504438558,20038478,1.17401,466.64165,0
1504438558,20038477,1.17401,58.72049,0
1504438550,20038465,1.17401,494.79463,1
1504438537,20038430,1.17401,42.84605,1
1504438362,20038300,1.17800,1088.96826,0
1504438362,20038299,1.17800,162.83042,0
1504438362,20038298,1.17800,47.28537,0
1504438362,20038297,1.17800,257.08085,0
1504438362,20038295,1.17800,42.74539,0
1504438361,20038294,1.17800,648.90433,0
1504438361,20038292,1.17800,1276.31055,0
1504438357,20038284,1.17800,77.25000,0
1504438354,20038279,1.17800,3522.71047,0
1504438345,20038276,1.17400,663.04457,1
1504438345,20038275,1.17401,496.02543,1
1504438344,20038273,1.17800,970.02127,0
1504438344,20038272,1.17800,159.49960,0
1504438344,20038271,1.17800,16.59285,0
1504438344,20038270,1.17800,12.95628,0
1504438340,20038265,1.17800,182.52371,0
1504438340,20038264,1.17800,473.62189,0
1504438340,20038263,1.17800,1092.83440,0
1504438245,20038204,1.17800,2809.87156,0
1504438245,20038203,1.17800,716.17926,0
1504438227,20038172,1.17400,393.41208,1
1504438221,20038163,1.17400,1603.88093,1
1504438221,20038162,1.17405,77.60369,1
1504438221,20038160,1.17405,86.30974,1
1504438220,20038156,1.17400,1.72643,1
1504438219,20038155,1.17401,391.68565,1
1504438214,20038150,1.17400,86.98008,1
1504438213,20038148,1.17403,163.88960,0
1504438211,20038140,1.17401,12.25000,1
1504438180,20038106,1.17401,38.23119,1
1504438178,20038102,1.17401,305.57667,1
1504438126,20038033,1.17400,1177.80840,1
1504438126,20038032,1.17401,110.31779,1
1504438125,20038031,1.17401,119.35159,1
1504438109,20038020,1.17401,197.58086,0
1504438096,20038014,1.17401,274.57023,0
1504438085,20038006,1.17400,162.83042,1
1504438083,20038001,1.17401,290.81991,0
1504438083,20037999,1.17401,12.60637,0
1504438074,20037993,1.17400,47.28537,1
1504438069,20037989,1.17401,325.51740,0
1504438069,20037988,1.17401,9.79700,0
1504438060,20037977,1.17400,257.08085,1
1504438059,20037975,1.17400,42.74539,1
1504438058,20037973,1.17400,648.90433,1
1504438056,20037968,1.17401,6.77867,0
1504438056,20037967,1.17401,363.77393,0
1504438043,20037954,1.17401,455.37906,0
1504438043,20037953,1.17401,3.37950,0
1504438041,20037951,1.17400,5846.29229,1
1504438041,20037950,1.17400,159.49960,1
1504438041,20037949,1.17400,16.59285,1
1504438040,20037948,1.17400,195.47999,1
1504438040,20037947,1.17400,473.62189,1
1504438039,20037941,1.17401,468.77159,1
1504437902,20037803,1.17401,16.67911,1
1504437901,20037801,1.17401,356.12366,1
1504437813,20037632,1.17401,268.87132,1
1504437743,20037562,1.17800,258.66332,0
1504437742,20037560,1.17800,59.27000,0
1504437702,20037497,1.17401,12.61000,1
1504437684,20037490,1.17401,50.00000,1
1504437650,20037436,1.17401,16.58000,1
1504437646,20037433,1.17403,116.27155,0
1504437645,20037431,1.17403,52.40094,0
1504437637,20037405,1.17400,3902.70596,1
1504437637,20037404,1.17401,466.26033,1
1504437636,20037403,1.17401,17.29780,1
1504437636,20037402,1.17401,16.67999,1
1504437633,20037395,1.17401,175.51240,1
1504437632,20037389,1.17401,257.65342,1
1504437631,20037378,1.17401,67.07230,1
1504437526,20037231,1.17400,974.84258,1
1504437526,20037230,1.17401,226.29156,1
1504437521,20037220,1.17401,40.70001,1
1504437521,20037217,1.17401,12.22999,1
1504437518,20037215,1.17401,207.51995,1
1504437517,20037213,1.17401,16.60000,1
1504437516,20037210,1.17401,38.34542,1
1504437516,20037209,1.17401,169.13173,1
1504437430,20037146,1.17401,33.28000,1
1504437409,20037115,1.17401,58.00000,1
1504437274,20037027,1.17402,16.68000,0
1504437273,20037025,1.17401,521.52634,1
1504437273,20037024,1.17401,110.44366,1
1504437248,20037002,1.17403,66.77000,1
1504437248,20037001,1.17402,59.19999,1
1504437227,20036971,1.17403,333.05672,1
1504437223,20036968,1.17402,63.90808,1
1504437193,20036943,1.17402,35.43412,1
1504437193,20036942,1.17402,154.68588,1
1504437191,20036941,1.17402,58.39145,1
1504437190,20036933,1.17401,57.31974,1
1504437184,20036918,1.17400,59.27000,1
1504437183,20036915,1.17401,35.49000,1
1504437176,20036909,1.17401,19.74226,1
1504436974,20036828,1.17253,154.74998,0
1504436974,20036827,1.17253,214.58947,0
1504436964,20036822,1.17253,55.41053,1
1504436963,20036820,1.17253,223.12591,1
1504436963,20036818,1.17254,270.00000,1
1504436962,20036817,1.17253,272.01988,1
1504436920,20036790,1.17290,0.10572,1
1504436919,20036785,1.17290,21.03845,1
1504436615,20036688,1.17853,50.33834,0
1504436611,20036676,1.17318,85.62095,1
