price,amount,type
1.17402,923.66095,0
1.17401,494.46934,0
1.17400,30217.22808,0
1.17250,37245.38863,0
1.17248,9600.00000,0
1.17217,437.62892,0
1.17210,21.15860,0
1.17203,1000.00000,0
1.17200,200.00000,0
1.17170,1000.00000,0
1.17169,85.13344,0
1.17154,2000.00000,0
1.17149,2000.00000,0
1.17147,1000.00000,0
1.17130,21.17306,0
1.17112,1000.00000,0
1.17110,31.17667,0
1.17101,1461.59390,0
1.17099,1000.00000,0
1.17097,2000.00000,0
1.17096,5000.00000,0
1.17094,2792.64902,0
1.17092,1000.00000,0
1.17091,1000.00000,0
1.17090,21.18029,0
1.17089,1000.00000,0
1.17088,1000.00000,0
1.17070,21.18391,0
1.17061,1000.00000,0
1.17058,1000.00000,0
1.17050,21.18753,0
1.17031,65.70000,0
1.17030,21.19115,0
1.17024,1000.00000,0
1.17010,21.19477,0
1.17005,75000.00000,0
1.17001,200.00000,0
1.17000,129706.06836,0
1.16999,1000.00000,0
1.16990,21.19839,0
1.16970,21.20202,0
1.16950,21.20564,0
1.16930,21.20927,0
1.16910,21.21290,0
1.16890,21.21653,0
1.16870,21.22016,0
1.16850,21.22379,0
1.16836,67.25000,0
1.16835,1000.00000,0
1.16830,21.22742,0
1.16810,21.23106,0
1.16800,200.00000,0
1.16790,21.23469,0
1.16770,555.23833,0
1.16750,25021.24197,0
1.16749,1000.00000,0
1.16730,21.24561,0
1.16710,21.24925,0
1.16699,1000.00000,0
1.16691,1709.81481,0
1.16690,1021.25289,0
1.16670,1021.25654,0
1.16650,21.26018,0
1.16630,21.26383,0
1.16611,72.72000,0
1.16610,31.26747,0
1.16600,150.00000,0
1.16596,85.55182,0
1.16590,21.27112,0
1.16588,10.09057,0
1.16570,21.27477,0
1.16550,21.27842,0
1.16540,2000.00000,0
1.16530,21.28207,0
1.16510,21.28573,0
1.16502,70.20000,0
1.16500,50622.00000,0
1.16490,21.28938,0
1.16251,70.70000,0
1.16250,1000.00000,0
1.16249,2000.00000,0
1.16243,1000.00000,0
1.16240,1000.00000,0
1.16229,429.10977,0
1.16228,1000.00000,0
1.16220,10.35951,0
1.16219,1000.00000,0
1.16218,2000.00000,0
1.16210,1000.00000,0
1.16200,300.00000,0
1.16199,1989.66110,0
1.16196,1000.00000,0
1.16195,1000.00000,0
1.16183,1000.00000,0
1.16180,1000.00000,0
1.16171,1000.00000,0
1.16147,1000.00000,0
1.16140,74.50000,0
1.16139,1000.00000,0
1.16127,1000.00000,0
1.16110,10.00000,0
1.16099,1000.00000,0
1.16050,1000.00000,0
1.16045,1000.00000,0
1.16038,73.32000,0
1.16037,1000.00000,0
1.16034,1000.00000,0
1.16032,53.56653,0
1.16020,75.52000,0
1.16014,1000.00000,0
1.16001,10.42828,0
1.16000,51735.00000,0
