date,tid,price,amount,type
1504439894,20039298,0.01685050,3.99419848,0
1504439893,20039297,0.01685062,10.00000000,1
1504439893,20039296,0.01685063,3.29627011,1
1504439009,20038798,0.01685050,0.40520135,1
1504439007,20038797,0.01701490,0.00000022,1
1504438883,20038728,0.01701490,3.55128252,1
1504438883,20038727,0.01701490,3.55128274,1
1504438883,20038726,0.01701490,3.55128274,1
1504438881,20038725,0.01701511,4.68994910,1
1504438881,20038724,0.01701613,0.00000019,1
1504438881,20038723,0.01701613,25.47837248,1
1504438881,20038722,0.01701613,6.03514352,1
1504438450,20038383,0.01710000,7.44762397,0
1504438448,20038380,0.01709999,1.16641267,0
1504438236,20038190,0.01707978,0.00000032,1
1504438233,20038186,0.01707978,1.03043800,1
1504438232,20038183,0.01707978,24.44802377,0
1504438232,20038182,0.01707978,1.03043832,0
1504438225,20038171,0.01707980,3.41136364,0
1504438224,20038164,0.01707978,1.65893940,0
1504438212,20038145,0.01707980,17.96122939,0
1504438212,20038143,0.01703558,6.03514352,0
1504438212,20038142,0.01701490,3.55128274,0
1504438208,20038128,0.01701490,0.56275727,0
1504438128,20038036,0.01696950,3.12091930,1
1504438127,20038035,0.01696950,2.66987100,0
1504437606,20037358,0.01698837,0.44700000,1
1504437557,20037261,0.01700000,0.15340515,1
1504437544,20037254,0.01700000,1.00000000,1
1504437537,20037245,0.01700000,39.01553100,1
1504437534,20037239,0.01700000,1.15340500,1
1504437507,20037190,0.01700000,11.80157600,1
1504437501,20037186,0.01700000,28.16600000,1
1504437501,20037185,0.01700000,1.00000000,1
1504437427,20037143,0.01700000,3.44494765,1
1504437421,20037140,0.01700000,17.11325000,1
1504437420,20037134,0.01700000,2.18412749,1
1504437417,20037126,0.01700000,1.00000000,1
1504437413,20037121,0.01700000,0.00333365,1
1504437413,20037120,0.01700001,2.22073635,1
1504437364,20037093,0.01700000,1.00000000,1
1504437360,20037090,0.01700000,13.85000000,1
1504437350,20037087,0.01701640,4.11368945,1
1504437350,20037086,0.01701641,2.21859606,1
1504437324,20037070,0.01701653,3.86600600,0
1504437317,20037059,0.01701653,3.88758900,0
1504437314,20037055,0.01701653,1.85470931,0
1504437313,20037047,0.01701653,7.10955317,0
1504437293,20037037,0.01701649,11.69000000,1
1504437280,20037032,0.01701647,11.69000000,1
1504437278,20037029,0.01706000,8.00000000,1
1504437278,20037028,0.01706001,3.69230053,1
1504437200,20036950,0.01708849,0.30000000,1
1504437200,20036949,0.01710000,0.99900000,1
1504437153,20036899,0.01715000,0.00000033,1
1504437152,20036897,0.01715000,4.07096000,1
1504436821,20036760,0.01723954,4.96897135,0
1504436586,20036618,0.01720006,2.31977272,1
