price,amount,type
0.01681011,47.47764947,0
0.01681010,157.79800000,0
0.01680000,64.00000000,0
0.01677000,64.00000000,0
0.01675000,63.00000000,0
0.01673000,56.00000000,0
0.01669000,55.00000000,0
0.01667000,53.00000000,0
0.01665526,92.05173000,0
0.01660001,408.61000000,0
0.01660000,0.50000000,0
0.01647364,2.42205122,0
0.01640508,408.61000000,0
0.01628000,0.20000000,0
0.01622164,123.04551204,0
0.01620000,0.92600000,0
0.01616160,120.00000000,0
0.01611996,0.22440000,0
0.01610000,0.93200000,0
0.01607613,10.00000000,0
0.01603482,5.00000000,0
0.01591996,0.21630000,0
0.01571769,10.00000000,0
0.01560000,116.00000000,0
0.01527728,2.00000000,0
0.01510000,0.99300000,0
0.01507950,10.00000000,0
0.01506000,0.31000000,0
0.01500000,8.50000000,0
0.01499640,16.66000000,0
0.01496000,0.20000000,0
0.01493011,6.70516702,0
0.01480000,20.00000000,0
0.01476995,6.06000000,0
0.01470000,476.39285714,0
0.01460007,6.00000000,0
0.01457610,0.00512010,0
0.01453238,4.79431860,0
0.01450000,69.02758620,0
0.01440000,25.00000000,0
0.01430000,25.00000000,0
0.01423330,0.35000000,0
0.01420000,25.00000000,0
0.01411000,20.00000000,0
0.01410000,25.00000000,0
0.01405000,3.00000000,0
0.01400000,35.00000000,0
0.01390000,25.00000000,0
0.01380000,25.00000000,0
0.01370000,25.00000000,0
0.01360000,25.00000000,0
0.01356000,0.20000000,0
0.01350000,25.00000000,0
0.01340000,48.00000000,0
0.01331810,0.32586880,0
0.01330000,25.00000000,0
0.01323000,1.95800000,0
0.01320000,25.00000000,0
0.01310000,26.14500000,0
0.01307000,5.00000000,0
0.01300000,85.62338461,0
0.01294000,0.65433833,0
0.01292548,1.06829435,0
0.01290000,25.00000000,0
0.01284399,1.00000000,0
0.01280700,5.00000000,0
0.01280000,25.00000000,0
0.01277000,0.20000000,0
0.01270000,25.00000000,0
0.01260000,25.00000000,0
0.01250000,25.00000000,0
0.01240000,25.00000000,0
0.01231967,10.00000000,0
0.01230000,25.00000000,0
0.01220000,25.00000000,0
0.01210000,25.00000000,0
0.01200000,25.00000000,0
0.01190000,25.00000000,0
0.01180000,25.00000000,0
0.01170000,25.00000000,0
0.01161000,0.42502678,0
0.01156000,0.20000000,0
0.01100000,10.99900000,0
0.01091000,0.30000000,0
0.01053996,1.00000000,0
0.01048000,0.85497830,0
0.01046154,0.95349265,0
0.01045000,9.00000000,0
0.01020000,0.30000000,0
0.01013819,1.00000000,0
0.01010000,894.98003390,0
0.01001000,777.77777770,0
0.01000100,888.88888800,0
0.01000000,464.07620734,0
0.00989091,1.00850184,0
0.00979341,0.78742155,0
0.00958285,1.04092157,0
0.00952016,1.04777637,0
0.00951882,0.81013563,0
0.00929915,1.07267923,0
0.00924424,0.83419906,0
0.00910000,0.30000000,0
0.00900952,1.10716203,0
0.00900000,15.00000000,0
0.00888880,4444.44444400,0
0.00877419,1.13685662,0
0.00850092,1.17340250,0
0.00810000,0.30000000,0
0.00800000,5.00000000,0
0.00760000,0.40000000,0
0.00710000,0.40000000,0
0.00660000,0.40000000,0
0.00610000,0.50000000,0
0.00560000,0.50000000,0
0.00511000,1.00000000,0
0.00510000,0.50000000,0
0.00500000,80.00000000,0
0.00460000,0.60000000,0
0.00415270,1.00000000,0
0.00410000,0.60000000,0
0.00360000,0.70000000,0
0.00310000,0.70000000,0
0.00262210,0.99000000,0
0.00260000,1.60000000,0
0.00210000,1.90000000,0
0.00200000,101.00000000,0
0.00100000,9.97000000,0
0.00031000,1000.00000000,0
0.00030000,100.00000000,0
0.00015191,100.00000000,0
0.00015190,200.00000000,0
0.00010000,260.00000000,0
0.01685050,0.00009277,1
0.01691994,162.41800000,1
0.01691995,3.70147146,1
0.01692000,59.00000000,1
0.01692991,15.98871223,1
0.01693998,3.19774245,1
0.01694000,62.00000000,1
0.01695000,60.00000000,1
0.01698000,61.00000000,1
0.01699000,58.00000000,1
0.01701913,10.00000000,1
0.01702000,55.00000000,1
0.01705818,1.00000000,1
0.01707752,408.61000000,1
0.01720562,100.00000000,1
0.01739998,75.36741693,1
0.01740000,0.40000000,1
0.01750000,154.87783388,1
0.01753999,0.74700000,1
0.01754000,3.73041532,1
0.01769683,0.30000000,1
0.01779999,0.30000000,1
0.01780000,1.47019776,1
0.01795594,0.30000000,1
0.01852979,0.37224045,1
0.01879000,20.00000000,1
0.01885398,2.20000000,1
0.01900000,75.00000000,1
0.01931500,0.45294474,1
0.01932879,8.10933614,1
0.01946455,0.66621129,1
0.01949000,0.15000000,1
0.01954002,8.00000000,1
0.01954725,10.00000000,1
0.01969226,10.00000000,1
0.01977000,0.50000000,1
0.01987650,50.00000000,1
0.01989060,0.57671718,1
0.01990000,6.00000000,1
0.01999017,150.00000000,1
0.02000000,202.58599500,1
0.02001028,0.64804189,1
0.02001899,0.50000000,1
0.02007000,5.00000000,1
0.02010000,10.00000000,1
0.02022144,1.01785700,1
0.02023823,5.74000000,1
0.02025580,0.51532864,1
0.02025794,30.00000000,1
0.02026999,37.43815139,1
0.02027000,1091.16172451,1
0.02027174,24.71914103,1
0.02032000,1000.00000000,1
0.02037000,1000.00000000,1
0.02040000,40.50000000,1
0.02042000,1000.00000000,1
0.02044828,0.56098853,1
0.02047000,1000.00000000,1
0.02050000,21.91761123,1
0.02051000,1.00000000,1
0.02052000,1000.00000000,1
0.02057000,3000.00000000,1
0.02058750,0.62987250,1
0.02062000,1000.00000000,1
0.02067000,1000.00000000,1
0.02072000,1000.00000000,1
0.02074328,0.62514215,1
0.02077000,1000.50000000,1
0.02082000,1000.00000000,1
0.02087000,1000.00000000,1
0.02098760,444.44440000,1
0.02099000,0.15000000,1
0.02099880,555.55555550,1
0.02100000,11.53261100,1
0.02110000,25.00000000,1
0.02119901,0.61170310,1
0.02140000,71.18069318,1
0.02143473,0.60497627,1
0.02172610,25.00000000,1
0.02198433,0.58985186,1
0.02199999,0.25000000,1
0.02200000,10.36134417,1
0.02256287,0.57472746,1
0.02288000,0.15000000,1
0.02290000,106.00000000,1
0.02322800,10.00000000,1
0.02338334,0.55456158,1
0.02390000,106.56000000,1
0.02400000,21.00000000,1
0.02403894,0.53943717,1
0.02488000,0.15000000,1
0.02500000,49.99900000,1
0.02600000,160.79125468,1
0.02688000,0.15000000,1
0.02720000,1762.41176470,1
0.02888000,0.10000000,1
0.02990000,20.00000000,1
0.03000000,5.20000000,1
0.03088000,0.10000000,1
0.03200000,120.00000000,1
0.03300000,19.22755395,1
0.03344550,3000.00156932,1
0.03368900,77.24134000,1
0.03388000,0.10000000,1
0.03400000,35.00000000,1
0.03418600,138.62834000,1
0.03500000,9.00000000,1
0.10000000,1.00000000,1
1.00000000,0.51000000,1
