date,tid,price,amount,type
1504439895,20039299,65.50,3.99419848,1
1504439891,20039294,65.52,0.20876475,0
1504439888,20039289,65.52,1.00000000,1
1504439305,20039017,65.89,2.03005301,0
1504439123,20038884,66.10,0.62666263,0
1504439097,20038846,66.10,1.03536880,0
1504438974,20038779,65.52,1.25000000,1
1504438747,20038650,66.16,4.61251838,1
1504438744,20038648,66.16,13.47588952,0
1504438697,20038607,66.25,8.76758254,1
1504438696,20038602,66.25,3.29000000,0
1504438692,20038600,66.21,3.29000000,0
1504438677,20038584,66.21,20.10713400,0
1504438677,20038583,66.21,3.40000000,0
1504438676,20038581,66.21,26.02645700,0
1504438676,20038580,66.21,5.57354300,0
1504438670,20038571,66.21,3.40000000,0
1504438663,20038560,66.15,3.50999996,0
1504438663,20038559,66.14,0.00000004,0
1504438662,20038558,66.14,5.07030300,0
1504438433,20038365,65.50,35.36195508,1
1504438433,20038364,65.50,0.25000000,1
1504438433,20038363,65.50,0.25000000,1
1504438433,20038361,65.50,0.25000000,1
1504438433,20038360,65.50,0.25000000,1
1504438433,20038359,65.50,0.25000000,1
1504438433,20038358,65.50,0.25000000,1
1504438432,20038357,65.50,0.25000000,1
1504438432,20038355,65.50,0.25000000,1
1504438432,20038354,65.50,0.25000000,1
1504438432,20038353,65.50,140.25000000,1
1504438432,20038352,65.55,6.00000000,1
1504438432,20038351,65.55,4.79000000,0
1504438432,20038350,65.59,18.00000000,1
1504438431,20038348,65.68,37.00000000,1
1504438431,20038347,65.68,23.96000000,0
1504438431,20038346,65.76,33.00000000,1
1504438431,20038345,65.86,37.00000000,1
1504438431,20038344,65.92,1.16641267,1
1504438430,20038343,65.95,35.00000000,1
1504438430,20038342,65.99,0.02574273,1
1504438430,20038341,66.03,23.95000000,1
1504438430,20038340,66.04,11.45000000,1
1504438430,20038339,66.04,4.79000000,1
1504438429,20038337,66.05,13.47588952,1
1504438312,20038252,65.99,0.01500000,1
1504438311,20038251,66.00,10.00000000,1
1504438297,20038244,66.01,0.00000038,1
1504438297,20038242,66.01,8.64102062,1
