price,amount,type
65.50,174.14646208,0
65.40,1.00000000,0
65.30,1.00000000,0
65.25,12.22588952,0
65.24,16.00000000,0
65.20,1.00000000,0
65.18,37.00000000,0
65.10,1.00000000,0
65.08,10.00000000,0
65.00,166.93621075,0
64.90,2.25000000,0
64.80,0.50000000,0
64.79,1.83000000,0
64.74,0.16565087,0
64.70,0.50000000,0
64.66,3.48000000,0
64.60,0.25000000,0
64.50,5.80693837,0
64.41,419.63000000,0
64.40,0.25000000,0
64.30,0.25000000,0
64.20,31.25000000,0
64.12,2.60140283,0
64.10,10.75000000,0
64.00,180.25000000,0
63.88,0.24574271,0
63.80,8.00000000,0
63.70,160.00000000,0
63.50,2.50000000,0
63.40,64.54686803,0
63.22,0.07602428,0
63.20,419.63000000,0
63.10,3.00000000,0
63.05,3.63631165,0
63.00,94.55401666,0
62.96,5.00000000,0
62.61,0.79651813,0
62.59,3.17000000,0
62.51,2.00000000,0
62.10,1.61433200,0
62.00,91.49230040,0
61.91,150.00000000,0
61.74,3.00000000,0
61.50,18.08200000,0
61.49,3.62500000,0
61.17,4.00000000,0
61.00,99.72028467,0
60.82,2.50000000,0
60.50,0.28700000,0
60.39,25.00000000,0
60.38,0.25670751,0
60.33,1.00000000,0
60.20,10.00000000,0
60.10,2.87833826,0
60.01,29.89474754,0
60.00,134.61437587,0
59.66,60.23607790,0
59.50,400.00000000,0
59.21,0.50000000,0
59.16,8.33000000,0
59.00,1.43617372,0
58.90,0.30000000,0
58.86,5.00000000,0
58.75,2.00000000,0
58.63,1.00000000,0
58.50,2.07977307,0
58.20,10.00000000,0
58.11,0.10000000,0
58.00,35.72408400,0
57.65,3.62500000,0
57.61,0.10000000,0
57.60,1.74050000,0
57.30,2.00000000,0
57.28,8.70722765,0
57.00,11.26360000,0
56.68,7.61203008,0
56.56,2.50000000,0
56.51,37.00000000,0
56.11,0.10000000,0
56.10,25.00000000,0
56.02,0.30000000,0
56.00,1.00000000,0
55.80,10.00000000,0
55.50,4.00000000,0
55.35,10.00000000,0
55.10,1.81942000,0
55.00,467.65688716,0
54.97,100.00000000,0
54.69,10.00000000,0
54.60,1.00000000,0
54.50,6.00000000,0
54.39,2.22234566,0
54.29,3.62500000,0
54.26,0.15000000,0
54.00,10.00000000,0
53.67,0.46580958,0
53.59,3.00000000,0
53.50,12.19620753,0
53.21,0.50000000,0
53.08,0.45000000,0
53.01,0.27500000,0
53.00,15.00000000,0
52.91,1.00000000,0
52.70,1.00000000,0
52.50,5.00000000,0
52.30,3.00000000,0
52.10,10.00000000,0
52.00,80.29800692,0
51.97,126.34181065,0
51.89,3.62500000,0
51.50,3.00000000,0
51.21,0.50000000,0
51.01,9.78000000,0
51.00,486.00000000,0
50.81,3.00000000,0
50.60,0.40000000,0
50.30,10.00000000,0
50.15,1.00000000,0
50.10,8.20400000,0
50.00,197.48832016,0
49.96,3.62500000,0
49.88,0.30000000,0
49.66,1.00000000,0
49.61,10.00000000,0
49.50,5.03780000,0
49.43,0.25047632,0
49.01,0.20179555,0
49.00,1001.15000000,0
48.74,46.02437166,0
48.70,0.50000000,0
48.62,20.00000000,0
48.50,1.20618557,0
48.28,30.00000000,0
48.23,10.00000000,0
48.17,1.00000000,0
48.12,10.05563746,0
48.04,3.62500000,0
48.00,40.88549374,0
47.60,10.00000000,0
47.45,0.70676396,0
47.13,39.98551000,0
47.00,33.06916010,0
46.81,5.00000000,0
46.30,7.33000000,0
46.25,20.00000000,0
46.10,9.46876043,0
46.08,3.62500000,0
46.00,5.00000000,0
45.89,4.34735236,0
45.75,2.50000000,0
45.68,0.90652364,0
45.38,0.25083840,0
45.20,19.00000000,0
45.15,6.00000000,0
45.00,250.21857972,0
44.92,3.62500000,0
44.89,6.00000000,0
44.87,1.00000000,0
44.78,1.00000000,0
44.46,3.00000000,0
44.40,10.00000000,0
44.35,0.50000000,0
44.00,7.00000000,0
43.72,3.62500000,0
43.45,0.35193728,0
43.20,30.70380675,0
43.00,5.64000000,0
42.92,0.31584401,0
42.82,27.00000000,0
42.80,0.52000000,0
42.76,3.62500000,0
42.13,10.00000000,0
42.04,3.62500000,0
42.00,33.02932500,0
41.77,5.00000000,0
41.70,11.69523810,0
41.65,1.90476190,0
41.60,0.50125313,0
41.59,0.26065163,0
41.50,0.52000000,0
41.45,6.00000000,0
41.32,3.62500000,0
41.16,15.00000000,0
41.00,54.52000000,0
40.90,5.00000000,0
40.63,5.00000000,0
40.50,16.00000000,0
40.31,0.20000000,0
40.20,2.26353731,0
40.10,2.00000000,0
40.00,149.52720750,0
39.65,0.52000000,0
39.55,0.52000000,0
39.50,4.30784810,0
39.20,7.00000000,0
39.01,10.68683400,0
39.00,60.37000000,0
38.90,0.52000000,0
38.87,3.04844417,0
38.80,0.52000000,0
38.58,2.00000000,0
38.35,0.57326988,0
38.01,10.00000000,0
38.00,147.39401250,0
37.98,2.00000000,0
37.84,1.00000000,0
37.60,0.53058511,0
37.50,82.60000000,0
37.44,10.00000000,0
37.41,0.53461641,0
37.38,93.00000000,0
37.36,2.00000000,0
37.11,2.00000000,0
37.04,1.00000000,0
37.01,2.00000000,0
37.00,5.14000000,0
36.80,10.50000000,0
36.75,2.00000000,0
36.71,3.00000000,0
36.70,27.20000000,0
36.60,10.00000000,0
36.50,6.73300000,0
36.43,1.41232637,0
36.40,30.00000000,0
36.31,3.00000000,0
36.25,4.00000000,0
