date,tid,price,amount,type
1504439309,20039023,77.42,1.28842676,0
1504439294,20039013,77.35,1.31000000,1
1504439294,20039012,77.35,1.30908364,1
1504439280,20039010,77.50,0.00030129,1
1504439161,20038920,77.63,4.83644138,0
1504439142,20038911,77.50,22.58283871,1
1504439073,20038823,77.50,27.41686000,1
1504438927,20038753,78.19,3.00000000,0
1504438901,20038742,77.51,0.29000000,1
1504438746,20038649,77.79,0.00004719,1
1504438742,20038645,77.79,1.66119219,1
1504438740,20038644,77.79,7.37059900,1
1504438740,20038643,77.70,2.00117832,0
1504438538,20038433,77.50,7.37059900,1
1504438459,20038385,77.61,5.55700566,1
1504438335,20038262,77.90,10.00000000,0
1504438265,20038228,77.61,0.36399717,1
1504438265,20038227,77.61,0.59100283,1
1504438219,20038154,77.61,0.89000000,0
1504438219,20038153,77.61,4.44000000,0
1504438182,20038113,76.99,5.96700802,0
1504438180,20038109,76.99,0.58299198,0
1504438179,20038103,77.35,0.15459967,0
1504438167,20038086,77.00,54.15298021,0
1504438166,20038085,77.00,42.22000000,0
1504438166,20038084,76.99,7.78000000,0
1504438164,20038083,77.00,10.00000000,0
1504438164,20038082,77.00,66.00000000,0
1504438162,20038078,77.00,3.06453100,0
1504438160,20038077,77.00,2.21648728,0
1504438160,20038076,76.99,4.67733472,0
1504438153,20038067,76.99,4.56266528,1
1504438151,20038066,77.00,1.48053000,0
1504438149,20038061,77.00,12.52795200,0
1504438142,20038055,77.00,73.00000000,0
1504438142,20038048,77.00,9.86000000,0
1504438135,20038045,77.00,25.61051600,0
1504438134,20038044,77.00,12.52795200,0
1504438132,20038041,77.00,9.86000000,0
1504438129,20038039,77.00,2.67402597,0
1504438128,20038037,77.00,3.12623376,0
1504438125,20038029,77.01,9.86000000,1
1504438124,20038028,77.40,36.36606733,0
1504438124,20038027,77.37,10.98000000,0
1504438124,20038026,77.37,2.65393267,0
1504438083,20037998,77.35,5.98899978,1
1504438030,20037919,77.28,5.52411048,0
1504438030,20037918,77.27,31.00000000,0
1504438030,20037917,77.27,13.47588952,0
1504437894,20037792,76.77,30.02700000,1
1504437894,20037791,76.82,1.50000000,1
1504437894,20037789,76.92,1.50000000,1
1504437893,20037784,76.94,33.02680860,1
1504437885,20037766,76.94,65.00000000,1
1504437867,20037741,77.06,10.00000000,0
1504437843,20037707,77.07,32.53652800,0
1504437843,20037705,77.07,1.46347200,0
1504437830,20037678,76.94,1.97319140,1
1504437828,20037675,77.00,17.29056136,1
1504437828,20037674,77.00,29.73624724,1
1504437816,20037638,77.07,35.00000000,0
1504437796,20037604,77.00,26.15977200,1
1504437762,20037587,77.29,2.15538847,0
1504437737,20037545,77.00,44.10398076,1
1504437737,20037544,77.00,1.50000000,1
1504437737,20037543,77.00,4.95000000,1
1504437737,20037542,77.00,25.50422701,1
1504437737,20037541,77.02,1.50000000,1
1504437736,20037540,77.06,29.00000000,1
1504437736,20037539,77.10,90.00000000,1
1504437736,20037538,77.12,1.50000000,1
1504437736,20037537,77.12,0.44179223,1
1504437736,20037536,77.22,1.50000000,1
1504437734,20037532,77.23,35.14000000,1
1504437575,20037275,77.42,18.70000000,1
1504437562,20037265,77.41,10.00000000,1
1504437553,20037258,77.34,50.00000000,1
1504437544,20037255,77.32,15.11000000,1
1504437544,20037252,77.33,18.89000000,1
1504437533,20037236,77.32,9.16500000,1
1504437524,20037228,77.32,3.83500000,1
1504437524,20037227,77.32,1.50000000,1
1504437523,20037226,77.42,1.50000000,1
1504437514,20037202,77.78,0.18400000,1
1504437490,20037172,77.50,9.99600000,1
1504437450,20037149,77.95,0.61121012,1
1504437421,20037139,77.50,17.13209260,0
1504437420,20037135,77.50,2.18412749,0
1504437420,20037132,77.50,8.18377991,1
1504437420,20037131,77.52,1.50000000,1
1504437420,20037130,77.62,1.50000000,1
1504437420,20037129,77.72,1.50000000,1
1504437420,20037128,77.82,18.00000000,1
1504437417,20037127,77.94,9.89693802,1
1504437388,20037107,77.94,64.00000000,1
1504437347,20037082,77.94,2.99000000,1
1504437336,20037080,77.94,1.88000000,1
1504437322,20037066,77.94,12.22000000,1
1504437313,20037045,77.94,50.00000000,1
1504437300,20037038,77.95,7.52000000,1
1504437291,20037036,77.95,50.00000000,1
1504437280,20037034,77.95,9.20691048,1
1504437280,20037033,77.96,9.52000000,1
1504437280,20037031,78.06,1.80000000,1
1504437279,20037030,78.07,7.37308952,1
1504437270,20037021,78.23,0.00006096,1
1504437270,20037014,78.23,7.55000000,0
1504437270,20037013,78.23,1.92333119,0
1504437266,20037010,78.07,3.78300000,1
1504437256,20037006,78.23,0.24981265,0
1504437247,20036996,78.07,2.31980000,1
1504437247,20036994,78.22,2.00000000,1
1504437244,20036980,78.23,0.14682190,0
1504437244,20036979,78.23,0.00003426,0
1504437244,20036978,78.23,7.55022728,0
1504437243,20036976,78.23,2.31977272,1
1504436818,20036757,78.89,1.01153505,0
1504436615,20036685,78.96,0.75140926,0
1504436537,20036576,78.97,0.88197800,0
