price,amount,type
77.00,50.00000000,0
76.77,19.97300000,0
76.73,13.18588952,0
76.72,1.50000000,0
76.62,1.50000000,0
76.59,35.00000000,0
76.50,50.00000000,0
76.46,37.00000000,0
76.42,1.50000000,0
76.34,8.00000000,0
76.32,1.50000000,0
76.23,34.00000000,0
76.22,1.50000000,0
76.15,1.87000000,0
76.14,46.00018240,0
76.12,3.70000000,0
76.05,5.00000000,0
76.02,1.50000000,0
76.00,69.41629473,0
75.92,1.50000000,0
75.91,1.00000000,0
75.82,1.50000000,0
75.76,0.57226239,0
75.72,1.50000000,0
75.71,28.25668070,0
75.65,20.00000000,0
75.62,1.50000000,0
75.52,1.50000000,0
75.50,55.00000000,0
75.42,1.50000000,0
75.36,0.91341258,0
75.32,1.50000000,0
75.22,1.50000000,0
75.12,1.50000000,0
75.10,3.00000000,0
75.05,5.00000000,0
75.02,1.50000000,0
75.00,318.21892583,0
74.99,2.50000000,0
74.92,1.50000000,0
74.82,1.50000000,0
74.72,1.50000000,0
74.62,1.50000000,0
74.52,1.50000000,0
74.50,70.00000000,0
74.42,1.50000000,0
74.32,1.50000000,0
74.22,1.50000000,0
74.12,1.50000000,0
74.10,160.00000000,0
74.02,1.50000000,0
74.00,347.07207770,0
73.92,1.50000000,0
73.82,51.50000000,0
73.72,1.50000000,0
73.62,1.50000000,0
73.60,0.07000000,0
73.52,1.50000000,0
73.50,99.95000000,0
73.49,6.00000000,0
73.42,1.50000000,0
73.32,1.50000000,0
73.30,98.77385402,0
73.29,1.10881718,0
73.22,1.50000000,0
73.12,1.50000000,0
73.11,0.10000000,0
73.02,1.50000000,0
73.00,122.00000000,0
72.92,1.50000000,0
72.82,51.50000000,0
72.80,3.00000000,0
72.72,1.50000000,0
72.62,1.50000000,0
72.61,7.00000000,0
72.52,1.50000000,0
72.50,150.00000000,0
72.49,0.80054076,0
72.47,10.00000000,0
72.46,10.00000000,0
72.42,1.50000000,0
72.38,50.00000000,0
72.34,1.80000000,0
72.32,1.50000000,0
72.31,5.00000000,0
72.30,44.50334605,0
72.22,1.50000000,0
72.20,0.40000000,0
72.15,0.27650907,0
72.12,1.50000000,0
72.08,0.10000000,0
72.02,1.50000000,0
72.00,231.43000000,0
71.92,1.50000000,0
71.82,1.50000000,0
71.72,1.50000000,0
71.62,1.50000000,0
71.52,1.50000000,0
71.50,119.97459310,0
71.42,1.50000000,0
71.32,6.50000000,0
71.30,22.89848785,0
71.22,1.50000000,0
71.21,782.82077292,0
71.12,2.49469488,0
71.11,0.10000000,0
71.02,1.50000000,0
71.01,4.89578393,0
71.00,1194.36599710,0
70.92,1.50000000,0
70.82,11.50000000,0
70.72,1.50000000,0
70.62,1.50000000,0
70.52,1.50000000,0
70.50,500.00000000,0
70.42,1.50000000,0
70.32,1.50000000,0
70.22,1.50000000,0
70.18,0.28426166,0
70.16,13.00000000,0
70.12,1.50000000,0
70.11,0.10000000,0
70.10,67.81000000,0
70.02,1.50000000,0
70.00,293.28606274,0
69.92,1.73000000,0
69.82,51.50000000,0
69.80,5.00000000,0
69.72,1.50000000,0
69.32,2.00000000,0
69.11,8.10000000,0
69.00,1.00000000,0
68.81,7.75628542,0
68.11,0.08000000,0
68.10,100.00000000,0
68.00,216.70588235,0
67.99,10.00000000,0
67.72,0.13000000,0
67.50,1.25000000,0
67.42,10.00000000,0
67.11,0.10000000,0
67.10,6.00000000,0
67.02,5.00000000,0
67.01,10.00000000,0
67.00,1.00000000,0
66.63,40.00000000,0
66.30,6.93886877,0
66.21,4.00000000,0
66.12,1.07706896,0
66.11,0.10000000,0
66.05,488.96772552,0
66.00,306.50000000,0
65.70,0.23473629,0
65.65,5.00000000,0
65.11,0.10000000,0
65.04,20.00000000,0
65.00,586.00000000,0
64.99,56.09942040,0
64.84,5.00000000,0
64.71,13.00077268,0
64.34,10.10879702,0
64.20,1.00000000,0
64.00,99.00000000,0
63.62,200.00000000,0
63.53,0.30355575,0
63.50,10.00000000,0
63.42,17.65700000,0
63.36,18.66000000,0
63.32,12.78600000,0
63.27,16.98600000,0
63.24,17.98600000,0
63.19,32.56900000,0
63.11,14.68300000,0
63.10,0.08000000,0
63.09,16.25583000,0
63.00,277.91772203,0
62.92,16.25583000,0
62.89,99.66768742,0
62.82,16.25583000,0
62.81,158.20564206,0
62.76,158.25583000,0
62.72,144.00000000,0
62.69,144.45274000,0
62.67,21.45247000,0
62.64,147.00000000,0
62.61,144.00000000,0
62.60,2.00000000,0
62.59,176.00000000,0
62.51,156.00000000,0
62.50,9.41552000,0
62.39,23.66100000,0
62.34,47.22200000,0
62.31,2.28253678,0
62.29,17.65610000,0
62.22,10.00000000,0
62.21,947.03441887,0
62.16,17.65610000,0
62.10,66.45610000,0
62.07,14.45610000,0
62.00,38.12903225,0
61.99,14.68550000,0
61.88,10.02506266,0
61.79,14.56684000,0
61.72,49.13953512,0
61.67,150.00000000,0
61.64,14.56540000,0
61.63,150.00000000,0
61.59,150.00000000,0
61.55,150.00000000,0
61.50,76.41432167,0
61.44,14.25654000,0
61.36,5.00000000,0
61.34,15.00000000,0
61.32,5.00000000,0
61.24,25.00000000,0
61.22,1.76617567,0
61.20,5.00000000,0
61.11,0.10000000,0
61.00,388.70784537,0
60.79,52.67953956,0
60.41,254.87030061,0
60.30,20.00000000,0
60.12,60.00000000,0
60.11,0.10000000,0
60.10,0.50000000,0
60.00,447.42516758,0
59.82,7.00000000,0
59.75,0.33389121,0
59.59,0.09733141,0
59.38,10.00000000,0
59.15,0.23565700,0
59.05,50.00000000,0
59.00,1178.00169542,0
58.71,1.60000000,0
58.50,100.00000000,0
58.32,5.00000000,0
58.15,0.09000000,0
58.11,0.10000000,0
58.07,0.34352269,0
58.04,10.00000000,0
58.00,1007.00000000,0
57.90,1.60000000,0
57.48,10.00000000,0
57.08,0.25479239,0
57.00,118.00000000,0
56.99,8.00000000,0
56.94,1.97244698,0
56.49,0.35315417,0
56.39,3.00000000,0
56.11,0.10000000,0
56.00,1012.00000000,0
55.65,5.00000000,0
55.51,100.00000000,0
55.50,50.00000000,0
55.31,11.31477129,0
55.11,0.10000000,0
