date,tid,price,amount,type
1504439729,20039217,0.00004925,2036.18253807,0
1504439647,20039204,0.00004928,1859.70000000,0
1504439647,20039203,0.00004926,1090.30860000,0
1504439241,20038983,0.00004933,1097.13630000,0
1504439179,20038937,0.00004937,303.16183917,0
1504439125,20038893,0.00004934,74899.25100000,1
1504439124,20038892,0.00004934,6992.46853591,1
1504439124,20038890,0.00004935,925.97248875,1
1504439124,20038888,0.00004935,4169.91397534,1
1504439119,20038879,0.00004935,470.40178571,1
1504439114,20038870,0.00004928,31078.78732917,1
1504439113,20038869,0.00004933,925.04092689,1
1504439113,20038868,0.00004933,4642.19747871,1
1504439113,20038867,0.00004935,4562.64234523,1
1504439112,20038862,0.00004934,355.74210255,1
1504438938,20038761,0.00004931,761.50885147,1
1504438936,20038760,0.00004932,282.37722683,1
1504438906,20038748,0.00004940,562.67735572,1
1504438760,20038683,0.00004938,170.40939327,0
1504438707,20038617,0.00004929,281.45831124,1
1504438678,20038588,0.00004938,170.15671741,1
1504438671,20038572,0.00004938,169.93347323,1
1504438667,20038568,0.00004938,298.76955357,0
1504438588,20038511,0.00004928,468.16964285,0
1504438527,20038421,0.00004950,408.12101010,0
1504438397,20038326,0.00004935,1347.94273237,1
1504438397,20038325,0.00004935,1652.05726763,1
1504438239,20038196,0.00004960,238.84085700,0
1504438239,20038194,0.00004957,1084.02950000,0
1504438187,20038116,0.00004960,457.44000000,0
1504438070,20037990,0.00004921,921.10000000,0
1504438068,20037985,0.00004955,1078.90000000,1
1504438045,20037955,0.00004954,466.45879732,1
1504438036,20037930,0.00004954,351.34110535,1
1504437756,20037583,0.00004993,331.63629081,0
1504437740,20037554,0.00004976,303.46597800,1
1504437733,20037530,0.00004976,1026.05473684,1
1504437733,20037529,0.00004977,472.21726316,1
1504437706,20037500,0.00005015,238.72861415,0
1504437704,20037499,0.00005014,240.63074980,0
1504437528,20037233,0.00005001,3035.04439112,0
1504437528,20037232,0.00004997,1533.26860000,1
1504437526,20037229,0.00004973,0.00000032,0
1504437508,20037192,0.00004973,1327.43362800,0
1504437217,20036960,0.00004963,1357.60515900,0
1504436878,20036775,0.00004964,300.00000000,0
1504436786,20036753,0.00004960,2010.76794354,0
1504436585,20036613,0.00004958,2119.68398000,1
1504436584,20036611,0.00004957,366.32449058,1
1504436546,20036582,0.00004972,62.76830249,0
1504436441,20036520,0.00004979,925.53610000,1
1504436439,20036519,0.00004979,1072.63080000,0
