price,amount,type
0.00004921,59.89819142,0
0.00004914,566.32997125,0
0.00004912,2041.08958162,0
0.00004911,7400.14900000,0
0.00004909,72643.71800000,0
0.00004902,665.00000000,0
0.00004901,4140.00000000,0
0.00004900,6468.42857142,0
0.00004892,50000.00000000,0
0.00004890,629.15619408,0
0.00004889,54.22356310,0
0.00004888,88.00000000,0
0.00004880,1000.00000000,0
0.00004870,11305.00000000,0
0.00004864,271754.00000000,0
0.00004863,132.40000000,0
0.00004860,1000.00000000,0
0.00004850,1000.00000000,0
0.00004840,1000.00000000,0
0.00004830,1000.00000000,0
0.00004820,1206.95020700,0
0.00004819,10000.00000000,0
0.00004813,162.16000000,0
0.00004810,1000.00000000,0
0.00004800,27775.39714907,0
0.00004790,1000.00000000,0
0.00004788,271754.00000000,0
0.00004781,810.00000000,0
0.00004780,1000.00000000,0
0.00004770,1000.00000000,0
0.00004762,187.24000000,0
0.00004760,1000.00000000,0
0.00004750,18220.00000000,0
0.00004740,1000.00000000,0
0.00004730,1000.00000000,0
0.00004720,1000.00000000,0
0.00004718,55.13904197,0
0.00004711,209.34000000,0
0.00004710,1000.00000000,0
0.00004709,847.31365470,0
0.00004700,9211.80851063,0
0.00004690,1000.00000000,0
0.00004688,188.00000000,0
0.00004686,249.79995000,0
0.00004680,1000.00000000,0
0.00004670,1000.00000000,0
0.00004661,229.32000000,0
0.00004660,1000.00000000,0
0.00004651,50.00000000,0
0.00004650,31400.44131632,0
0.00004640,2000.00000000,0
0.00004630,2000.00000000,0
0.00004620,2000.00000000,0
0.00004610,2247.70000000,0
0.00004603,1011.56684958,0
0.00004601,59.11888720,0
0.00004600,2055.00000000,0
0.00004598,1000.00000000,0
0.00004590,1000.00000000,0
0.00004580,1228.00000000,0
0.00004570,1000.00000000,0
0.00004565,5000.00000000,0
0.00004560,1000.00000000,0
0.00004559,264.80000000,0
0.00004557,1040.66218408,0
0.00004555,320.00000000,0
0.00004550,1000.00000000,0
0.00004540,1000.00000000,0
0.00004539,800.00000000,0
0.00004533,15405.25038605,0
0.00004532,220.11976600,0
0.00004530,1000.00000000,0
0.00004520,16150.00000000,0
0.00004517,10000.00000000,0
0.00004513,120675.93618435,0
0.00004511,1079.77239754,0
0.00004510,1000.00000000,0
0.00004509,280.86000000,0
0.00004500,14880.00000000,0
0.00004490,1220.00000000,0
0.00004480,1000.00000000,0
0.00004470,1000.00000000,0
0.00004466,1177.49659462,0
0.00004460,1000.00000000,0
0.00004458,296.06000000,0
0.00004450,1100.00000000,0
0.00004440,1000.00000000,0
0.00004430,1000.00000000,0
0.00004421,1078.97059208,0
0.00004420,1000.00000000,0
0.00004410,1000.00000000,0
0.00004400,3720.45454544,0
0.00004397,226.87087300,0
0.00004390,2000.00000000,0
0.00004380,1000.00000000,0
0.00004377,1167.61983417,0
0.00004370,1000.00000000,0
0.00004360,1000.00000000,0
0.00004350,1000.00000000,0
0.00004344,300.00000000,0
0.00004340,1000.00000000,0
0.00004336,40000.00000000,0
0.00004333,1166.67453547,0
0.00004330,1000.00000000,0
0.00004320,1000.00000000,0
0.00004310,1050.00000000,0
0.00004300,3587.79069767,0
0.00004298,1000.00000000,0
0.00004295,1393.48079161,0
0.00004290,7025.94639581,0
0.00004280,1000.00000000,0
0.00004276,233.28932500,0
0.00004270,1000.00000000,0
0.00004260,1000.00000000,0
0.00004250,1000.00000000,0
0.00004247,1008.66548823,0
0.00004240,1000.00000000,0
0.00004239,5412.24345364,0
0.00004230,1000.00000000,0
0.00004220,1000.00000000,0
0.00004210,1000.00000000,0
0.00004205,1021.48884588,0
0.00004200,513496.50000000,0
0.00004190,1000.00000000,0
0.00004180,1150.00000000,0
0.00004170,1000.00000000,0
0.00004166,530.29320000,0
0.00004163,1095.09929029,0
0.00004160,1000.00000000,0
0.00004150,1000.00000000,0
0.00004140,1000.00000000,0
0.00004130,1000.00000000,0
0.00004125,25276.72363636,0
0.00004121,1193.81507156,0
0.00004120,1000.00000000,0
0.00004113,142504.13323608,0
0.00004110,1000.00000000,0
0.00004100,1000.00000000,0
0.00004090,1000.00000000,0
0.00004080,2050.95854301,0
0.00004070,1000.00000000,0
0.00004060,2000.00000000,0
0.00004050,1000.00000000,0
0.00004040,1000.00000000,0
0.00004039,1145.98685112,0
0.00004030,1000.00000000,0
0.00004020,1000.00000000,0
0.00004017,5711.92432163,0
0.00004010,2560.00000000,0
0.00004008,1450.00000000,0
0.00004000,10694.50137465,0
0.00003999,2940.54418014,0
0.00003990,26800.00000000,0
0.00003980,1000.00000000,0
0.00003970,1000.00000000,0
0.00003960,1000.00000000,0
0.00003950,1000.00000000,0
0.00003940,1000.00000000,0
0.00003930,1000.00000000,0
0.00003920,1000.00000000,0
0.00003910,1000.00000000,0
0.00003900,1200.00000000,0
0.00003891,15894.37162683,0
0.00003890,6000.00000000,0
0.00003880,1000.00000000,0
0.00003870,1148.00000000,0
0.00003860,1000.00000000,0
0.00003850,1000.00000000,0
0.00003840,1000.00000000,0
0.00003830,1000.00000000,0
0.00003820,1000.00000000,0
0.00003810,1282.00000000,0
0.00003800,3000.00000000,0
0.00003797,2287.18340879,0
0.00003790,1000.00000000,0
0.00003780,1000.00000000,0
0.00003770,1000.00000000,0
0.00003760,1000.00000000,0
0.00003750,1000.00000000,0
0.00003740,1000.00000000,0
0.00003730,1060.00000000,0
0.00003720,1000.00000000,0
0.00003710,1000.00000000,0
0.00003701,10000.00000000,0
0.00003700,1000.00000000,0
0.00003690,1000.00000000,0
0.00003689,270.36747500,0
0.00003680,1000.00000000,0
0.00003670,1000.00000000,0
0.00003660,1060.00000000,0
0.00003650,5372.60273972,0
0.00003640,1000.00000000,0
0.00003630,1000.00000000,0
0.00003620,1000.00000000,0
0.00003610,1000.00000000,0
0.00003600,3000.00000000,0
0.00003590,1000.00000000,0
0.00003580,1000.00000000,0
0.00003575,335.66433566,0
0.00003571,17877.34528143,0
0.00003570,1000.00000000,0
0.00003560,1000.00000000,0
0.00003550,1000.00000000,0
0.00003540,1000.00000000,0
0.00003530,1000.00000000,0
0.00003525,28000.00000000,0
0.00003520,1000.00000000,0
0.00003510,1000.00000000,0
0.00003500,2170.00000000,0
0.00003490,1000.00000000,0
0.00003488,285.96559800,0
0.00003480,11500.00000000,0
0.00003470,1000.00000000,0
0.00003460,1000.00000000,0
0.00003450,1000.00000000,0
0.00003440,1000.00000000,0
0.00003430,1000.00000000,0
0.00003420,1000.00000000,0
0.00003410,1060.00000000,0
0.00003400,1118.00000000,0
0.00003390,1000.00000000,0
0.00003380,1000.00000000,0
0.00003370,1000.00000000,0
0.00003360,1000.00000000,0
0.00003350,1000.00000000,0
0.00003340,1000.00000000,0
0.00003330,1000.00000000,0
0.00003323,300.21844700,0
0.00003320,1000.00000000,0
0.00003310,1000.00000000,0
0.00003300,1000.00000000,0
0.00003290,1000.00000000,0
0.00003280,1000.00000000,0
0.00003279,304.16340900,0
0.00003270,1000.00000000,0
0.00003260,1000.00000000,0
0.00003250,1000.00000000,0
0.00003245,250.00000000,0
0.00003240,1000.00000000,0
0.00003230,1000.00000000,0
0.00003220,1239.46303000,0
0.00003210,1000.00000000,0
0.00003200,1000.00000000,0
0.00003190,3188.87147335,0
0.00003180,1000.00000000,0
0.00003170,1000.00000000,0
0.00003160,1000.00000000,0
0.00003150,1000.00000000,0
0.00003140,1000.00000000,0
0.00003130,1000.00000000,0
0.00003120,1000.00000000,0
0.00003110,1070.00000000,0
0.00003102,580.00000000,0
0.00003100,1000.00000000,0
0.00003094,322.36122000,0
0.00003090,1000.00000000,0
0.00003080,1000.00000000,0
0.00003070,1000.00000000,0
0.00003060,1000.00000000,0
0.00003050,1000.00000000,0
0.00003040,1000.00000000,0
0.00003030,1000.00000000,0
0.00003020,1000.00000000,0
0.00003012,2000.00000000,0
0.00003010,1000.00000000,0
0.00003000,16045.50000000,0
0.00002990,1000.00000000,0
0.00002980,1000.00000000,0
0.00002970,1000.00000000,0
0.00002960,1000.00000000,0
0.00002950,1000.00000000,0
0.00002940,1000.00000000,0
0.00002930,1000.00000000,0
0.00002920,1000.00000000,0
