date,tid,price,amount,type
1504439846,20039259,0.19048,2559.97503700,1
1504439846,20039258,0.19049,1446.40801000,1
1504439752,20039227,0.19179,80.00000000,0
1504439701,20039210,0.19215,25.95644028,0
1504439655,20039206,0.19174,1054.71996000,1
1504439649,20039205,0.19164,500.00000000,0
1504439251,20038997,0.19105,10356.36376043,0
1504439249,20038994,0.19105,146.25896885,1
1504439249,20038993,0.19125,18616.29300000,1
1504439249,20038992,0.19126,12896.43900000,1
1504439246,20038989,0.19124,805.57908571,1
1504439192,20038942,0.19221,3777.06206753,0
1504439192,20038941,0.19220,3946.47475000,0
1504439191,20038940,0.19219,1101.86090000,0
1504439122,20038883,0.19218,1093.38729316,0
1504439121,20038882,0.19217,9291.16135053,0
1504439094,20038840,0.19221,356.60413089,0
1504439094,20038839,0.19214,290.00000000,0
1504439094,20038838,0.19212,2150.32682000,0
1504439092,20038837,0.19211,12784.49954000,0
1504439055,20038820,0.19213,45.57143600,0
1504439053,20038819,0.19185,2554.84375000,0
1504439047,20038816,0.19191,708.00915992,0
1504439046,20038815,0.19180,2088.99084008,0
1504439046,20038814,0.19140,232.00000000,0
1504438749,20038666,0.19207,123.16420988,1
1504438749,20038665,0.19207,290.00000000,0
1504438749,20038664,0.19204,1077.28340000,0
1504438748,20038663,0.19141,319.77624591,0
1504438748,20038659,0.19141,289.77614421,0
1504438730,20038635,0.19121,5667.60974845,1
1504438728,20038632,0.19141,30.00000000,1
1504438728,20038630,0.19143,0.00010170,1
1504438725,20038623,0.19207,290.00000000,1
1504438676,20038577,0.19208,500.00000000,0
1504438664,20038565,0.19143,7623.68855458,1
1504438664,20038564,0.19145,0.00005223,1
1504438663,20038563,0.19145,3277.99994777,1
1504438573,20038499,0.19143,5377.00000000,1
1504438557,20038476,0.19143,2893.49937186,1
1504438549,20038464,0.19143,2893.49937186,1
1504438493,20038401,0.19144,4809.28800000,1
1504438493,20038400,0.19146,6000.00000000,1
1504438376,20038317,0.19219,26.33758260,0
1504438375,20038316,0.19207,472.21726316,0
1504438312,20038253,0.19213,5633.17790038,0
1504438237,20038193,0.19150,1028.00000000,1
1504438237,20038192,0.19160,30.00000000,1
1504438212,20038144,0.19200,2000.00000000,1
1504438212,20038141,0.19200,5892.97130899,1
1504438177,20038101,0.19201,1592.29560961,1
1504438057,20037970,0.19221,1124.72100000,0
1504438057,20037969,0.19221,2253.01340500,0
1504438040,20037945,0.19200,43667.52416101,1
1504438040,20037944,0.19200,1000.00000000,1
1504438039,20037943,0.19200,52.08000000,1
1504438039,20037939,0.19201,1592.29566000,1
1504438039,20037938,0.19210,30.00000000,1
1504438039,20037937,0.19222,6270.67559566,1
1504438039,20037934,0.19222,1685.81782434,1
1504438037,20037932,0.19260,30.00000000,1
1504437901,20037798,0.19261,1936.51819740,1
1504437888,20037768,0.19261,1889.64191891,1
1504437852,20037713,0.19490,6278.66829000,0
1504437852,20037712,0.19490,7467.15200000,0
1504437852,20037711,0.19490,3294.78080000,0
1504437813,20037631,0.19240,7006.14879100,1
1504437813,20037630,0.19252,7309.61767596,1
1504437806,20037616,0.19252,1000.00000000,1
1504437732,20037522,0.19386,1211.95354700,1
1504437732,20037521,0.19386,9415.20347700,1
1504437732,20037520,0.19387,13640.21927000,1
1504437729,20037517,0.19386,835.61752300,1
1504437664,20037468,0.19531,1143.08958300,0
1504437664,20037467,0.19530,285.88150000,0
1504437654,20037446,0.19543,1318.79725690,0
1504437654,20037444,0.19532,352.94012000,0
1504437653,20037443,0.19532,1764.70062000,0
1504437653,20037442,0.19531,1845.77600000,0
1504437653,20037440,0.19400,9.27398298,0
1504437645,20037429,0.19400,51.55000000,1
1504437645,20037426,0.19536,2430.89694700,0
1504437645,20037425,0.19533,2072.48199000,0
1504437642,20037414,0.19533,8985.66200000,0
1504437642,20037411,0.19532,1978.80000000,0
1504437639,20037407,0.19533,2500.90894900,0
1504437634,20037400,0.19538,3465.50453900,0
1504437634,20037399,0.19537,1458.40964800,0
1504437634,20037398,0.19535,3828.74160300,0
1504437633,20037394,0.19538,4798.01789000,1
1504437633,20037393,0.19699,29956.69094877,1
1504437632,20037392,0.19600,51.02000000,0
1504437632,20037390,0.19600,22387.14976000,1
1504437632,20037388,0.19590,2000.00000000,0
1504437632,20037386,0.19543,175.70918000,0
1504437632,20037385,0.19543,878.54592000,0
1504437631,20037384,0.19537,8767.51007000,1
1504437631,20037380,0.19537,347.33230030,1
1504437631,20037373,0.19537,6089.88400000,0
1504437631,20037372,0.19537,2396.29570000,0
1504437630,20037371,0.19252,4104.32270500,1
1504437630,20037370,0.19260,30.00000000,1
1504437630,20037369,0.19310,30.00000000,1
1504437629,20037368,0.19327,100.00000000,1
1504437629,20037367,0.19328,2046.03127000,1
1504437629,20037366,0.19360,30.00000000,1
1504437629,20037365,0.19373,10220.46898000,1
1504437627,20037364,0.19419,232.00000000,1
1504437615,20037363,0.19416,232.00000000,0
1504437579,20037301,0.19410,30.00000000,1
1504437223,20036965,0.19482,1710.43382015,1
1504437222,20036963,0.19482,1361.65190000,0
1504437185,20036919,0.19490,351.00000000,0
1504436962,20036816,0.19353,1406.62618060,1
1504436961,20036813,0.19354,7545.49906997,0
1504436714,20036733,0.19368,623.27100000,1
1504436617,20036691,0.19352,593.18900000,1
1504436617,20036690,0.19360,30.00000000,1
1504436546,20036581,0.19343,256.03039000,1
1504436504,20036564,0.19490,576.41748111,0
1504436499,20036563,0.19493,1519.86291894,0
1504436499,20036562,0.19491,13202.75923000,0
1504436499,20036561,0.19448,232.00000000,1
1504436497,20036560,0.19405,172.05235604,0
1504436487,20036556,0.19316,383.47724000,1
1504436449,20036526,0.19310,172.05235604,1
1504436436,20036515,0.19308,241.82522000,1
1504436409,20036504,0.19306,362.20101000,1
1504436370,20036484,0.19297,149.72888000,1
1504436356,20036479,0.19349,90.10034000,1
1504436343,20036476,0.19349,560.12226000,1
1504436337,20036474,0.19281,169.46852000,1
1504436336,20036473,0.19350,650.22260000,1
1504436333,20036468,0.19333,650.22256000,0
