price,amount,type
0.19048,1266.60339643,0
0.19047,18882.38042000,0
0.19043,1000.00000000,0
0.19041,30.00000000,0
0.19010,3000.00000000,0
0.19001,350.00000000,0
0.19000,14804.86750000,0
0.18995,15235.00000000,0
0.18990,2550.00000000,0
0.18943,77578.73600000,0
0.18942,1872.30079731,0
0.18941,30.00000000,0
0.18940,500.00000000,0
0.18906,3218.42272295,0
0.18900,913.00000000,0
0.18860,31003.03404000,0
0.18801,20000.00000000,0
0.18800,34968.62071446,0
0.18753,176205.00000000,0
0.18752,400.50805000,0
0.18701,9500.00000000,0
0.18700,10281.59706139,0
0.18650,2750.88471849,0
0.18620,4440.00000000,0
0.18600,8175.00000000,0
0.18590,671.00000000,0
0.18565,3242.00000000,0
0.18550,190.00000000,0
0.18535,176205.00000000,0
0.18532,900.00000000,0
0.18519,500.00000000,0
0.18510,1050.00000000,0
0.18503,286.49233205,0
0.18501,766.00000000,0
0.18500,79378.91659161,0
0.18451,675.77638068,0
0.18450,101.00000000,0
0.18427,250.00000000,0
0.18422,1200.00000000,0
0.18401,2680.38820000,0
0.18400,200.00000000,0
0.18394,25000.08100467,0
0.18369,100.00000000,0
0.18365,275.00000000,0
0.18356,968.51736995,0
0.18350,354482.34307356,0
0.18323,5000.00000000,0
0.18300,25000.00000000,0
0.18298,175.00000000,0
0.18250,350.00000000,0
0.18210,500.00000000,0
0.18200,4781.13557700,0
0.18190,1500.00000000,0
0.18188,60.00000000,0
0.18110,4000.00000000,0
0.18100,45758.93922651,0
0.18090,700.00000000,0
0.18048,1000.00000000,0
0.18040,18934.60283813,0
0.18022,913.25879481,0
0.18018,327.08041958,0
0.18010,1820.68711826,0
0.18000,281022.83696622,0
0.17998,1108.45649517,0
0.17990,200.00000000,0
0.17985,293.95329441,0
0.17915,0.00000012,0
0.17900,3960.31731843,0
0.17861,1675.43810537,0
0.17800,23227.50000000,0
0.17799,4637.79493000,0
0.17791,52816.72266706,0
0.17777,256289.21190302,0
0.17750,2000.54225352,0
0.17715,1500.00000000,0
0.17700,25306.50000000,0
0.17690,50.00183667,0
0.17671,311.73150925,0
0.17640,5710.12202380,0
0.17625,802.00000000,0
0.17602,1900.00000000,0
0.17601,72300.11830900,0
0.17600,100.00000000,0
0.17599,2000.00000000,0
0.17590,285.00000000,0
0.17575,570.00000000,0
0.17573,15597.83252200,0
0.17555,12772.01713290,0
0.17550,500.00000000,0
0.17544,500.00000000,0
0.17540,71117.02881413,0
0.17532,300.00000000,0
0.17520,768.83690068,0
0.17510,909.25030000,0
0.17507,5077.18049923,0
0.17501,1609.57837837,0
0.17500,61272.51106398,0
0.17447,400.00000000,0
0.17435,60.00000000,0
0.17400,500.00000000,0
0.17399,566.70750000,0
0.17371,16068.75971000,0
0.17310,500.00000000,0
0.17284,1796.44215600,0
0.17275,2360.79811866,0
0.17253,1000.00000000,0
0.17250,8625.00000000,0
0.17248,250.00000000,0
0.17221,50.00000000,0
0.17216,200.00000000,0
0.17210,4000.00000000,0
0.17200,10000.00000000,0
0.17170,1000.00000000,0
0.17150,110.00000000,0
0.17110,50.00000000,0
0.17100,5722.49325114,0
0.17086,10450.33917000,0
0.17058,11724.00000000,0
0.17050,9800.00000000,0
0.17045,400.00000000,0
0.17044,500.00000000,0
0.17033,200.00000000,0
0.17022,1500.00000000,0
0.17015,250.00000000,0
0.17011,25000.00000000,0
0.17010,7796.62005878,0
0.17001,5000.00000000,0
0.17000,156517.44756295,0
0.16990,1000.00000000,0
0.16920,6500.00000000,0
0.16900,5118.04734000,0
0.16821,143.00000000,0
0.16810,1921.00342058,0
0.16801,200.00000000,0
0.16800,1925.29375000,0
0.16791,100.00000000,0
0.16750,350.00000000,0
0.16704,1000.00000000,0
0.16700,11000.00000000,0
0.16679,11727.92109838,0
0.16667,4690.10264594,0
0.16640,599.45913462,0
0.16630,4000.00000000,0
0.16605,405.80000000,0
0.16601,99898.12840085,0
0.16600,700.00000000,0
0.16541,2000.00000000,0
0.16520,2500.00000000,0
0.16510,50.00000000,0
0.16501,3000.00000000,0
0.16500,96750.21660605,0
0.16487,2185.03742342,0
0.16452,11616.64271156,0
0.16450,1247.88753799,0
0.16432,1132.80259234,0
0.16416,33.00000000,0
0.16400,12159.34253048,0
0.16365,620.00000000,0
0.16363,23000.00000000,0
0.16350,7434.73611620,0
0.16321,1645.95227000,0
0.16320,4000.00000000,0
0.16300,28899.10628834,0
0.16280,800.00000000,0
0.16250,250.00000000,0
0.16210,4600.00000000,0
0.16200,2500.00000000,0
0.16190,10000.00000000,0
0.16170,83.39743986,0
0.16160,1000.00000000,0
0.16137,100.00000000,0
0.16120,100.00000000,0
0.16110,5152.45000000,0
0.16100,3253.00000000,0
0.16072,700.00000000,0
0.16050,7251.24859813,0
0.16043,57.00000000,0
0.16022,1500.00000000,0
0.16020,8300.00000000,0
0.16007,2740.00000000,0
0.16000,168765.22921875,0
0.15990,1000.00000000,0
0.15950,221.45125391,0
0.15927,3131.47485402,0
0.15900,13143.66839622,0
0.15800,8000.00000000,0
0.15750,5344.14999999,0
0.15720,3125.00000000,0
0.15700,1000.00000000,0
0.15641,115.43219742,0
0.15607,2000.00000000,0
0.15600,1000.00000000,0
0.15535,2000.00000000,0
0.15510,100.00000000,0
0.15500,6250.00000000,0
0.15444,9475.84570100,0
0.15435,70.00000000,0
0.15420,4000.00000000,0
0.15400,15300.00000000,0
0.15330,2000.00000000,0
0.15301,887.00000000,0
0.15300,1658.38251295,0
0.15270,1000.00000000,0
0.15250,450.00000000,0
0.15210,4000.00000000,0
0.15200,1000.00000000,0
0.15160,8346.14256975,0
0.15151,100.00000000,0
0.15110,50.00000000,0
0.15105,20000.00000000,0
0.15100,16110.33129138,0
0.15051,2750.00000000,0
0.15010,2000.00000000,0
0.15000,168444.55580124,0
0.14990,1200.00000000,0
0.14900,500.00000000,0
0.14862,150.00000000,0
0.14801,4000.00000000,0
0.14800,600.00000000,0
0.14782,2222.76776000,0
0.14750,295.00000000,0
0.14740,17059.41554000,0
0.14718,13556.18969969,0
0.14700,84085.05730612,0
0.14600,226.00000000,0
0.14570,697.00000000,0
0.14510,4000.00000000,0
0.14502,450.00000000,0
0.14500,20446.64209068,0
0.14489,100.00000000,0
0.14488,47372.36833931,0
0.14466,827.45748652,0
0.14455,1000.00000000,0
0.14400,3800.00000000,0
0.14353,1280.00000000,0
0.14290,100.00000000,0
0.14250,250.00000000,0
0.14220,1000.00000000,0
0.14200,25100.00000000,0
0.14159,590.00000000,0
0.14151,100.00000000,0
0.14123,3000.00000000,0
0.14110,4000.00000000,0
0.14019,4820.00000000,0
0.14010,1500.00000000,0
0.14009,10000.00000000,0
0.14001,200.00000000,0
0.14000,152944.73354126,0
0.13999,500.00000000,0
0.13990,550.00000000,0
0.13900,1000.00000000,0
0.13880,1151.90458000,0
0.13878,7500.00000000,0
0.13831,300.00000000,0
0.13800,890.70545100,0
0.13771,1500.44557000,0
0.13750,11150.00000000,0
0.13700,1146.00000000,0
0.13684,22713.82728003,0
0.13610,4000.00000000,0
0.13600,36913.93617647,0
0.13598,100.00000000,0
0.13542,10000.00000000,0
0.13510,7383.41968911,0
0.13500,63169.07667777,0
0.13472,148.45605700,0
0.13435,80.00000000,0
0.13400,23192.02388059,0
0.13390,15000.00000000,0
0.13380,335.00000000,0
0.13370,10000.00000000,0
0.13327,5000.00000000,0
0.13300,300.00000000,0
0.13278,1000.00000000,0
0.13251,5000.29407000,0
0.13248,500.00000000,0
0.13219,350.69000000,0
0.13210,5000.00000000,0
0.13205,100.00000000,0
0.13200,7565.00000000,0
0.13180,1680.00000000,0
0.13130,200.00000000,0
0.13120,3000.00000000,0
0.13110,200.00000000,0
0.13100,6700.00000000,0
0.13099,99.00000000,0
0.13094,1000.00000000,0
0.13033,30000.00000000,0
0.13001,3200.00000000,0
