date,tid,price,amount,type
1504439871,20039269,0.22399,30.00000000,1
1504439799,20039242,0.22534,752.31416924,1
1504439798,20039239,0.22534,3674.35766000,0
1504439708,20039216,0.22400,1363.09228572,1
1504439708,20039215,0.22400,1136.90771428,1
1504439539,20039145,0.22399,29.39745414,1
1504439538,20039144,0.22401,0.60254586,1
1504439474,20039098,0.22524,37.64713195,0
1504439343,20039044,0.22401,280.00000000,1
1504439323,20039038,0.22400,949.06676800,0
1504439323,20039037,0.22400,820.55795500,0
1504439323,20039036,0.22400,2685.93623200,0
1504439319,20039029,0.22400,805.57908571,1
1504439314,20039028,0.22401,1000.00000000,1
1504439314,20039026,0.22401,1000.00000000,1
1504439311,20039025,0.22401,1000.00000000,1
1504439301,20039015,0.22450,1000.00000000,1
1504439262,20039002,0.22534,25.00000000,0
1504439229,20038975,0.22400,806.14303171,0
1504439227,20038974,0.22400,472.09499350,1
1504439227,20038973,0.22401,8721.76197479,1
1504439223,20038966,0.22401,2256.27472000,1
1504439223,20038965,0.22402,1361.14928000,1
1504439223,20038964,0.22403,6382.57600000,1
1504439217,20038961,0.22402,620.96600000,1
1504439217,20038960,0.22404,9379.03400000,1
1504439157,20038919,0.22401,10000.00000000,1
1504439153,20038916,0.22401,65000.00000000,1
1504439115,20038876,0.22400,9519.78462902,0
1504439115,20038875,0.22400,5567.23840600,0
1504439115,20038874,0.22400,8481.66102900,0
1504439115,20038873,0.22400,4916.43547200,0
1504439115,20038872,0.22400,7281.70305300,0
1504439114,20038871,0.22400,12088.35500000,0
1504439113,20038866,0.22400,1726.94718000,0
1504439112,20038865,0.22400,355.74210255,0
1504439112,20038864,0.22400,1129.94604236,0
1504439112,20038861,0.22400,1256.67972607,1
1504439112,20038860,0.22413,1727.33246000,1
1504439112,20038859,0.22417,9869.25100000,1
1504439112,20038858,0.22418,1078.92390000,1
1504439107,20038855,0.22417,30.00000000,1
1504439105,20038853,0.22538,120.00000000,0
1504439102,20038848,0.22417,65000.00000000,1
1504439090,20038834,0.22412,65000.00000000,1
1504439081,20038827,0.22408,65000.00000000,1
1504439074,20038824,0.22406,5000.00000000,1
1504439063,20038821,0.22405,30.00000000,1
1504439041,20038812,0.22548,1000.00000000,0
1504439000,20038794,0.22400,887.20939000,1
1504439000,20038793,0.22401,407.93828000,1
1504439000,20038792,0.22437,2036.51275000,1
1504439000,20038791,0.22442,70543.73900000,1
1504439000,20038790,0.22443,1124.60058000,1
1504438985,20038784,0.22434,30.00000000,1
1504438977,20038783,0.22547,1000.00000000,0
1504438977,20038782,0.22500,2000.00000000,0
1504438976,20038781,0.22432,109.66600000,1
1504438976,20038780,0.22432,69890.33400000,1
1504438961,20038776,0.22430,199.13470000,1
1504438961,20038775,0.22431,3280.86530000,1
1504438959,20038774,0.22500,1970.00000000,1
1504438950,20038769,0.22500,30.00000000,1
1504438949,20038767,0.22549,120.00000000,0
1504438904,20038743,0.22565,2303.59178700,0
1504438899,20038740,0.22414,20000.00000000,1
1504438886,20038733,0.22412,3261.26200000,1
1504438886,20038732,0.22413,4296.00000000,1
1504438886,20038731,0.22413,3296.87200000,1
1504438886,20038730,0.22414,64145.86600000,1
1504438838,20038709,0.22406,3420.78203220,1
1504438801,20038700,0.22418,30.00000000,1
1504438785,20038693,0.22569,2995.73310000,0
1504438779,20038691,0.22410,1286.40884973,1
1504438778,20038689,0.22415,1126.80066027,1
1504438778,20038687,0.22416,15639.50200000,1
1504438778,20038686,0.22417,1947.28849000,1
1504438737,20038642,0.22400,10777.22592818,0
1504438737,20038641,0.22400,291.28984000,1
1504438737,20038640,0.22400,319.77624591,1
1504438737,20038639,0.22400,291.93174000,1
1504438737,20038638,0.22400,319.77624591,1
1504438727,20038629,0.22400,9559.83406777,0
1504438726,20038627,0.22400,1075.19324318,0
1504438725,20038625,0.22400,1074.97268905,0
1504438725,20038622,0.22400,290.00000000,0
1504438687,20038597,0.22399,1902.37633969,0
1504438687,20038596,0.22399,1211.91607000,0
1504438686,20038594,0.22399,170.62366031,0
1504438677,20038586,0.22390,0.37242118,1
1504438677,20038585,0.22394,29.62757882,1
