price,amount,type
0.22399,440.60254586,0
0.22398,6000.00000000,0
0.22397,170.38605074,0
0.22380,600.00000000,0
0.22360,600.00000000,0
0.22350,400.00000000,0
0.22340,600.00000000,0
0.22320,600.00000000,0
0.22310,9133.87535634,0
0.22300,7742.81569505,0
0.22280,600.00000000,0
0.22269,1000.00000000,0
0.22260,600.00000000,0
0.22241,5000.00000000,0
0.22240,600.00000000,0
0.22220,600.00000000,0
0.22211,450.23448969,0
0.22200,16500.00000000,0
0.22190,12459.00000000,0
0.22185,11750.00000000,0
0.22180,600.00000000,0
0.22170,50000.00000000,0
0.22167,505.00000000,0
0.22162,42.83000000,0
0.22161,6069.82308000,0
0.22160,625.00000000,0
0.22150,4730.35665914,0
0.22140,600.00000000,0
0.22120,600.00000000,0
0.22110,270.19570000,0
0.22105,500.00000000,0
0.22104,500.00000000,0
0.22103,530.48179000,0
0.22102,500.00000000,0
0.22101,500.00000000,0
0.22100,11525.43076923,0
0.22080,1600.00000000,0
0.22070,58572.42171724,0
0.22060,600.00000000,0
0.22050,1250.00000000,0
0.22040,600.00000000,0
0.22020,600.00000000,0
0.22010,190.00000000,0
0.22005,6000.00000000,0
0.22001,3116.45172000,0
0.22000,405210.31948312,0
0.21990,25180.00000000,0
0.21982,454.92443230,0
0.21980,1600.00000000,0
0.21960,600.00000000,0
0.21940,653.00000000,0
0.21920,700.00000000,0
0.21912,1000.00000000,0
0.21900,2679.26369862,0
0.21880,11600.00000000,0
0.21879,164.88556000,0
0.21877,2869.41335302,0
0.21860,600.00000000,0
0.21849,4651.99208000,0
0.21843,480.78710000,0
0.21840,600.00000000,0
0.21820,630.00000000,0
0.21800,19754.00000000,0
0.21793,30.52215000,0
0.21780,600.00000000,0
0.21760,600.00000000,0
0.21753,1149.28277632,0
0.21740,600.00000000,0
0.21720,630.00000000,0
0.21701,1000.00000000,0
0.21700,600.00000000,0
0.21680,989.00000000,0
0.21660,600.00000000,0
0.21640,600.00000000,0
0.21631,1950.45047000,0
0.21620,630.00000000,0
0.21615,171.95699000,0
0.21605,25.00000000,0
0.21601,1000.00000000,0
0.21600,89308.20488888,0
0.21589,1500.00000000,0
0.21580,600.00000000,0
0.21570,10000.00000000,0
0.21560,600.00000000,0
0.21550,1000.00000000,0
0.21540,600.00000000,0
0.21520,630.00000000,0
0.21515,15000.00000000,0
0.21510,1500.00000000,0
0.21505,5515.95931000,0
0.21501,5000.00000000,0
0.21500,186230.23825581,0
0.21488,30.95553000,0
0.21482,300.00000000,0
0.21480,600.00000000,0
0.21465,54453.34417889,0
0.21460,600.00000000,0
0.21450,150.00000000,0
0.21440,600.00000000,0
0.21420,630.00000000,0
0.21415,1874.37244000,0
0.21400,6770.00000000,0
0.21380,600.00000000,0
0.21378,5000.00000000,0
0.21360,600.00000000,0
0.21351,179.20329000,0
0.21340,600.00000000,0
0.21321,498.00000000,0
0.21320,630.00000000,0
0.21300,50953.44859154,0
0.21280,600.00000000,0
0.21266,43465.95340165,0
0.21260,600.00000000,0
0.21255,200.00000000,0
0.21250,5300.00000000,0
0.21240,600.00000000,0
0.21220,630.00000000,0
0.21210,7931.40028288,0
0.21201,2638.81298000,0
0.21200,600.00000000,0
0.21187,31.39506000,0
0.21185,1000.00000000,0
0.21180,600.00000000,0
0.21179,1000.00000000,0
0.21160,600.00000000,0
0.21152,50.00000000,0
0.21151,7085.94803000,0
0.21150,5000.00000000,0
0.21140,4300.00000000,0
0.21120,630.00000000,0
0.21100,7600.00000000,0
0.21088,186.62218000,0
0.21080,600.00000000,0
0.21060,600.00000000,0
0.21050,1400.00000000,0
0.21045,4739.84319316,0
0.21040,600.00000000,0
0.21030,7000.00000000,0
0.21023,159.00015368,0
0.21020,630.00000000,0
0.21012,100000.00000000,0
0.21005,5546.25740537,0
0.21000,165909.61957142,0
0.20989,4783.37693000,0
0.20980,1000.00000000,0
0.20977,1069.44629833,0
0.20930,73.40200668,0
0.20891,31.84084000,0
0.20849,161.44189170,0
0.20844,39.62771061,0
0.20830,433.86360553,0
0.20824,194.23779000,0
0.20820,30.00000000,0
0.20779,3699.41101000,0
0.20760,9979.60000000,0
0.20650,1000.00000000,0
0.20620,30.00000000,0
0.20608,1213.13181945,0
0.20600,8014.56427000,0
0.20598,32.29294000,0
0.20571,1329.58884000,0
0.20570,7201.54265921,0
0.20560,202.04897000,0
0.20555,9822.04809048,0
0.20550,5000.00000000,0
0.20542,383.66617107,0
0.20534,16684.90000000,0
0.20532,5000.00000000,0
0.20520,30.00000000,0
0.20517,25000.00000000,0
0.20511,13014.62483545,0
0.20500,168466.36540173,0
0.20470,70174.90385930,0
0.20460,35543.00000000,0
0.20420,30.00000000,0
0.20417,25000.00000000,0
0.20400,492.70036764,0
0.20372,1500.00000000,0
0.20365,2918.57526000,0
0.20325,6642.12632718,0
0.20320,30.00000000,0
0.20317,25000.00000000,0
0.20310,32.75146000,0
0.20300,9798.49310344,0
0.20296,210.06336000,0
0.20280,1000.00000000,0
0.20234,176.43829692,0
0.20232,246.51542112,0
0.20220,4705.00000000,0
0.20217,25000.00000000,0
0.20211,15500.00000000,0
0.20200,10125.00000000,0
0.20188,941.49544284,0
0.20185,1000.00000000,0
0.20166,5000.00000000,0
0.20161,2986.57703000,0
0.20110,30.00000000,0
0.20109,15500.00000000,0
0.20105,1286.60000000,0
0.20102,6900.00000000,0
0.20101,37000.00000000,0
0.20100,99175.00000000,0
0.20052,60.00000000,0
0.20051,8503.13763000,0
0.20026,2051.21649000,0
0.20020,30.00000000,0
0.20004,14421.91109778,0
0.20002,5000.00000000,0
0.20001,7500.00000000,0
0.20000,324273.37151552,0
0.19990,10000.00000000,0
0.19980,6400.00000000,0
0.19959,2124.39065000,0
0.19957,25000.00000000,0
0.19912,15500.00000000,0
0.19910,35.00000000,0
0.19903,250.61548510,0
0.19857,25000.00000000,0
0.19850,5000.00000000,0
0.19820,35.00000000,0
0.19812,15500.00000000,0
0.19810,35.00000000,0
0.19800,7191.00000000,0
0.19760,3000.00000000,0
0.19759,3784.16231000,0
0.19757,25000.00000000,0
0.19745,33.68812000,0
