borza,par,volume,price
Bithumb,BTC/KRW,"$227,854,000",$4321.31
Bittrex,NEO/BTC,"$193,455,000",$4173.70
Bitfinex,BTC/USD,"$148,679,000",$4257.00
OKCoin.cn,BTC/CNY,"$89,803,700",$4288.76
GDAX,BTC/USD,"$80,494,900",$4278.71
BTCC,BTC/CNY,"$79,643,100",$4263.27
Huobi,BTC/CNY,"$74,176,400",$4293.41
Poloniex,ETH/BTC,"$73,736,800",$4266.65
Binance,NEO/BTC,"$66,552,300",$4240.87
bitFlyer,BTC/JPY,"$66,506,100",$4318.13
Gemini,BTC/USD,"$65,452,700",$4246.07
Kraken,BTC/EUR,"$59,466,200",$4316.18
Korbit,BTC/KRW,"$57,850,300",$4319.11
Bitstamp,BTC/USD,"$52,725,500",$4256.99
Poloniex,BTC/USDT,"$46,135,100",$4274.15
Bittrex,ETH/BTC,"$44,001,100",$4277.13
Coinone,BTC/KRW,"$43,650,900",$4323.94
HitBTC,BCC/BTC,"$42,047,000",$4340.51
Bittrex,OMG/BTC,"$39,451,500",$4242.83
Binance,BNB/BTC,"$37,998,400",$4282.41
Kraken,BTC/USD,"$35,633,900",$4301.00
Gemini,ETH/BTC,"$24,396,800",$4273.42
Bittrex,PAY/BTC,"$24,159,200",$4259.52
Bittrex,BTC/USDT,"$23,495,700",$4269.19
Bittrex,BCC/BTC,"$21,743,400",$4315.45
Poloniex,BCH/BTC,"$21,430,100",$4315.23
BTCC,BTC/USD,"$18,818,200",$4337.99
Bittrex,CVC/BTC,"$17,291,400",$3666.24
Kraken,ETH/BTC,"$17,243,200",$4277.56
CHBTC,BTC/CNY,"$16,412,200",$4279.82
Poloniex,XRP/BTC,"$15,541,700",$4296.36
Bitfinex,ETH/BTC,"$15,401,000",$4272.62
Bitfinex,IOT/BTC,"$15,109,800",$4250.12
Bittrex,QTUM/BTC,"$14,888,700",$4260.66
Poloniex,LTC/BTC,"$14,823,700",$4281.49
itBit,BTC/USD,"$14,435,900",$4253.06
YoBit,ETH/BTC,"$11,311,400",$4279.85
Bittrex,STRAT/BTC,"$11,206,900",$4215.29
GDAX,BTC/EUR,"$10,750,200",$4316.32
SZZC,BTC/CNY,"$10,351,100",$4257.42
Bitfinex,BCH/BTC,"$9,674,220",$4290.07
Huobi,BCC/BTC,"$9,520,240",$4293.40
Bitstamp,BTC/EUR,"$9,326,070",$4292.59
Bittrex,QWARK/BTC,"$8,553,530",$4236.62
Binance,ETH/BTC,"$8,293,810",$4281.27
GDAX,ETH/BTC,"$7,916,360",$4270.34
HitBTC,ETH/BTC,"$7,493,190",$4268.07
CEX.IO,BTC/USD,"$7,482,700",$4383.98
Poloniex,STR/BTC,"$7,480,860",$4674.79
Poloniex,BTS/BTC,"$7,355,230",$4532.62
BCC Exchange,BCC/BTC,"$7,235,090",$4119.44
HitBTC,BTC/USD,"$7,198,610",$4249.81
Poloniex,STRAT/BTC,"$6,916,950",$4272.46
Bittrex,LTC/BTC,"$6,913,210",$4267.46
Bittrex,XRP/BTC,"$6,726,590",$4286.56
HitBTC,STRAT/BTC,"$6,414,560",$4306.24
Gatecoin,BTC/EUR,"$6,403,110",$4294.83
Kraken,BCH/BTC,"$6,378,900",$4307.31
Binance,GAS/BTC,"$6,204,890",$4076.20
BTC-X,BTC/USD,"$6,043,440",$4243.08
CoinsBank,BTC/EUR,"$5,981,470",$4300.50
BitBay,BTC/PLN,"$5,942,310",$4303.18
Yunbi,BTC/CNY,"$5,914,850",$4336.28
Gatecoin,BTC/USD,"$5,680,280",$4265.90
Bittrex,SWIFT/BTC,"$5,571,190",$4276.16
Bitfinex,LTC/BTC,"$5,557,310",$4267.80
Gatecoin,ETH/BTC,"$5,451,730",$4259.90
CoinsBank,BTC/USD,"$5,450,320",$4200.90
Poloniex,DGB/BTC,"$5,294,260",$4261.70
HitBTC,EOS/BTC,"$5,291,680",$4291.35
Poloniex,XEM/BTC,"$5,259,350",$4179.83
Livecoin,ETH/BTC,"$4,992,760",$4281.01
Poloniex,XMR/BTC,"$4,965,810",$4294.00
OkCoin Intl.,BTC/USD,"$4,866,310",$4492.70
Poloniex,DASH/BTC,"$4,783,430",$4269.79
HitBTC,ZEC/BTC,"$4,539,320",$4277.14
BTER,BTC/CNY,"$4,455,770",$4303.75
xBTCe,BTC/USD,"$4,336,200",$4047.00
Bittrex,STORJ/BTC,"$4,251,320",$4331.90
Bitfinex,OMG/BTC,"$4,185,320",$4292.90
Poloniex,NXT/BTC,"$4,083,550",$4344.99
Bittrex,DGB/BTC,"$3,994,150",$4232.61
Poloniex,ETC/BTC,"$3,960,160",$4266.06
HitBTC,DASH/BTC,"$3,833,970",$4270.15
ViaBTC,BTC/CNY,"$3,771,840",$4311.25
Poloniex,SJCX/BTC,"$3,704,610",$4227.77
Poloniex,FCT/BTC,"$3,659,370",$4269.92
