borza,par,volume,price
Bitfinex,BTC/USD,"$117,515,000",$4530.00
bitFlyer,BTC/JPY,"$60,589,400",$4478.47
Bithumb,BTC/KRW,"$38,256,300",$4457.83
HitBTC,BCC/BTC,"$37,916,500",$4538.97
Bitstamp,BTC/USD,"$33,976,000",$4512.65
GDAX,BTC/USD,"$23,691,800",$4519.22
Bittrex,NEO/BTC,"$22,327,600",$4541.47
Poloniex,XRP/BTC,"$21,810,100",$4511.98
Binance,NEO/BTC,"$20,773,100",$4461.90
BTCC,BTC/USD,"$20,151,100",$4489.00
Poloniex,STR/BTC,"$17,524,000",$4333.18
Kraken,BTC/EUR,"$16,110,500",$4481.03
Kraken,BTC/USD,"$13,664,700",$4500.00
Poloniex,BTC/USDT,"$13,100,500",$4534.02
Gemini,BTC/USD,"$13,021,200",$4509.48
Poloniex,ETH/BTC,"$12,407,600",$4536.68
Bittrex,XRP/BTC,"$12,290,700",$4517.49
Bittrex,BTC/USDT,"$11,847,100",$4539.02
OKCoin.cn,BTC/CNY,"$10,866,300", * $4341.69
Bittrex,XLM/BTC,"$9,559,240",$4343.19
Korbit,BTC/KRW,"$9,370,170",$4448.66
Binance,ETH/BTC,"$9,369,370",$4561.85
Bittrex,ETH/BTC,"$9,365,960",$4522.25
HitBTC,XMR/BTC,"$9,092,570",$4520.36
YoBit,ETH/BTC,"$8,934,810",$4520.08
Bitfinex,BCH/BTC,"$8,741,100",$4534.30
LakeBTC,BTC/USD,"$8,697,180",$4623.25
Bitfinex,ETH/BTC,"$8,653,020",$4527.07
itBit,BTC/USD,"$8,471,980",$4500.00
Bittrex,ADA/BTC,"$7,302,650",$4513.45
CoinsBank,BTC/EUR,"$6,584,990",$4453.82
HitBTC,ZEC/BTC,"$6,454,310",$4544.62
HitBTC,ETH/BTC,"$6,405,290",$4532.79
Coinone,BTC/KRW,"$6,289,420",$4451.28
Gatecoin,BTC/HKD,"$6,119,690",$4658.95
Gatecoin,BTC/USD,"$6,080,910",$4635.30
Bittrex,QTUM/BTC,"$5,831,680",$4457.98
Binance,WTC/BTC,"$5,768,940",$4561.99
Bittrex,OMG/BTC,"$5,753,450",$4538.66
Bittrex,MONA/BTC,"$5,603,640",$4509.52
Gatecoin,ETH/BTC,"$5,471,180",$4513.63
BCC Exchange,BCC/BTC,"$5,411,160",$4515.82
HitBTC,DASH/BTC,"$5,364,040",$4507.44
HitBTC,BTC/USDT,"$5,201,940",$4523.69
Huobi,BTC/CNY,"$4,716,360", * $4223.86
CoinsBank,BTC/USD,"$4,407,590",$4459.44
Bitstamp,BTC/EUR,"$4,138,380",$4482.20
Bittrex,AEON/BTC,"$3,925,450",$4486.51
Kraken,ETH/BTC,"$3,900,350",$4527.40
Bittrex,STRAT/BTC,"$3,849,630",$4496.08
Livecoin,ETH/BTC,"$3,829,170",$4518.08
Bittrex,BCC/BTC,"$3,696,670",$4537.93
HitBTC,XRP/BTC,"$3,600,370",$4511.98
YoBit,LSK/BTC,"$3,544,970",$4534.78
Poloniex,NXT/BTC,"$3,396,360",$4541.78
Binance,LINK/BTC,"$3,396,000",$4570.80
Bittrex,ADX/BTC,"$3,300,770",$4486.14
CEX.IO,BTC/USD,"$3,128,540",$4530.00
WEX,BTC/USD,"$3,072,790",$4589.51
Binance,BNB/BTC,"$3,048,470",$4477.15
BitBay,BTC/PLN,"$2,967,360",$4408.76
Bittrex,NXT/BTC,"$2,936,050",$4533.44
Poloniex,BCH/BTC,"$2,843,250",$4529.46
GDAX,BTC/EUR,"$2,821,580",$4511.52
Tidex,WAVES/BTC,"$2,813,270",$4514.55
Binance,QTUM/BTC,"$2,761,460",$4453.68
Poloniex,LTC/BTC,"$2,758,500",$4517.34
Bitfinex,XRP/BTC,"$2,630,680",$4517.49
Allcoin,HSR/BTC,"$2,609,290",$4496.69
GetBTC,BTC/EUR,"$2,578,560",$4549.65
GetBTC,BTC/USD,"$2,578,230",$4549.07
GetBTC,BTC/RUB,"$2,533,760",$4470.60
Livecoin,BTC/USD,"$2,506,720",$4460.00
Binance,MCO/BTC,"$2,398,560",$4511.58
Bitfinex,NEO/BTC,"$2,366,680",$4555.48
HitBTC,XDN/BTC,"$2,233,050",$4511.50
Bittrex,TRST/BTC,"$2,201,160",$4612.18
