borza,par,volume,price
Bithumb,ETH/KRW,"$163,501,000",$295.51
Coinone,ETH/KRW,"$83,074,800",$295.16
Poloniex,ETH/BTC,"$82,830,200",$287.28
OKCoin.cn,ETH/CNY,"$78,371,800",$291.73
GDAX,ETH/USD,"$59,348,600",$286.38
Gemini,ETH/USD,"$52,116,800",$285.74
Bitfinex,ETH/USD,"$51,032,400",$285.50
Korbit,ETH/KRW,"$43,857,200",$294.63
Bittrex,ETH/BTC,"$36,120,300",$286.41
Huobi,ETH/CNY,"$31,357,000",$291.54
Gemini,ETH/BTC,"$30,575,700",$287.11
Kraken,ETH/BTC,"$23,194,800",$287.01
CHBTC,ETH/CNY,"$22,907,000",$291.41
Bitfinex,ETH/BTC,"$21,952,700",$287.06
Kraken,ETH/EUR,"$21,138,200",$287.52
Yunbi,ETH/CNY,"$20,325,700",$290.39
Kraken,ETH/USD,"$19,569,200",$285.55
Poloniex,ETH/USDT,"$15,176,200",$283.93
BTER,ETH/CNY,"$13,333,100",$293.77
YoBit,ETH/BTC,"$12,352,300",$288.06
GDAX,ETH/BTC,"$12,039,300",$286.53
Bittrex,NEO/ETH,"$10,844,200",$283.94
Binance,BNB/ETH,"$10,034,000",$288.09
HitBTC,ETH/BTC,"$9,743,630",$287.48
Jubi,ETH/CNY,"$9,051,970",$293.39
Binance,ETH/BTC,"$8,816,580",$290.89
Bitfinex,IOT/ETH,"$7,641,660",$285.79
Bittrex,ETH/USDT,"$4,755,570",$284.04
Bittrex,OMG/ETH,"$4,075,340",$280.86
Livecoin,ETH/BTC,"$4,010,600",$290.89
CEX.IO,ETH/USD,"$3,931,390",$295.00
Gatecoin,ETH/HKD,"$3,711,390",$293.61
xBTCe,ETH/BTC,"$3,396,190",$288.60
SZZC,ETH/CNY,"$3,161,070",$292.25
HitBTC,SNT/ETH,"$3,126,260",$278.51
Liqui,DNT/ETH,"$3,082,290",$281.86
GDAX,ETH/EUR,"$2,823,140",$289.11
Bitfinex,OMG/ETH,"$2,348,030",$280.65
Yuanbao,ETH/CNY,"$2,340,450",$295.95
QuadrigaCX,ETH/CAD,"$2,298,140",$295.55
Gatecoin,ETH/BTC,"$2,100,390",$289.06
Bittrex,PAY/ETH,"$2,075,310",$285.46
BTC38,ETH/CNY,"$2,063,220",$292.79
HitBTC,ADX/ETH,"$1,951,680",$287.59
Biduobao,ETH/CNY,"$1,876,930",$298.03
Bitfinex,EOS/ETH,"$1,857,640",$288.52
ViaBTC,ETH/CNY,"$1,773,670",$291.87
Liqui,ETH/BTC,"$1,728,960",$289.07
bitFlyer,ETH/BTC,"$1,654,310",$290.47
EtherDelta,CDT/ETH,"$1,616,630",$313.66
Binance,BTM/ETH,"$1,595,750",$291.05
Binance,QTUM/ETH,"$1,445,110",$281.71
Bittrex,QTUM/ETH,"$1,404,680",$288.68
Gatecoin,ETH/EUR,"$1,381,850",$279.36
OkCoin Intl.,ETH/USD,"$1,370,190",$299.01
BTC Markets,ETH/AUD,"$1,267,790",$293.98
CEX.IO,ETH/BTC,"$1,129,730",$286.83
EtherDelta,DNT/ETH,"$1,038,660",$281.22
USD X,ETH/USD,"$962,327",$288.06
Bittrex,CVC/ETH,"$741,492",$285.11
QuadrigaCX,ETH/BTC,"$738,469",$289.47
BX Thailand,ETH/THB,"$699,624",$297.46
Exmo,ETH/BTC,"$689,293",$284.76
Kraken,EOS/ETH,"$662,941",$287.66
Bitfinex,BCH/ETH,"$634,062",$286.40
Bittrex,BCC/ETH,"$605,808",$284.75
19800,ETH/CNY,"$598,967",$287.91
Poloniex,GNT/ETH,"$594,940",$286.75
Liqui,STX/ETH,"$593,976",$288.31
Bittrex,STRAT/ETH,"$583,954",$286.77
HitBTC,ETH/USD,"$582,161",$286.13
Kraken,ETH/GBP,"$568,181",$297.55
HitBTC,DICE/ETH,"$519,055",$294.37
BNT Smart Token Contract,BNT/ETH,"$503,238",$285.49
EtherDelta,PPT/ETH,"$487,123",$292.17
HitBTC,SNC/ETH,"$478,648",$302.20
Exmo,ETH/USD,"$467,994",$282.57
Bittrex,SNT/ETH,"$449,366",$277.28
EtherDelta,VERI/ETH,"$422,839",$289.49
xBTCe,ETH/USD,"$417,384",$295.33
Poloniex,BCH/ETH,"$415,887",$285.26
Gatehub,ETH/USD,"$409,896",$305.37
b8wang,ETH/CNY,"$398,380",$294.29
Gatehub,XRP/ETH,"$398,103",$268.17
HitBTC,BCC/ETH,"$378,481",$278.96
Poloniex,ETC/ETH,"$374,337",$289.11
CEX.IO,ETH/EUR,"$372,520",$294.36
Bitcoin Indonesia,ETH/IDR,"$343,733",$296.80
Bittrex,SC/ETH,"$341,382",$287.30
Kraken,ICN/ETH,"$339,694",$287.15
Poloniex,ZEC/ETH,"$335,174",$285.60
Liqui,ETH/USDT,"$315,405",$279.50
Bittrex,LTC/ETH,"$311,499",$288.25
Binance,SNT/ETH,"$298,905",$286.96
Bittrex,BNT/ETH,"$294,638",$285.97
BitBay,ETH/PLN,"$281,130",$280.11
Bittrex,XRP/ETH,"$261,039",$284.79
Binance,EOS/ETH,"$258,649",$286.90
The Rock Trading,ETH/EUR,"$241,493",$287.50
Bittrex,QRL/ETH,"$237,927",$283.07
Bittrex,DGB/ETH,"$228,455",$284.88
C-CEX,ETH/BTC,"$217,667",$290.55
Liqui,EDG/ETH,"$215,067",$281.13
Bit520,ETH/CNY,"$206,663",$290.54
Bittrex,BAT/ETH,"$205,573",$289.05
Coinsquare,ETH/BTC,"$204,247",$299.76
EtherDelta,PLR/ETH,"$201,544",$290.76
Bitcoin Indonesia,ETH/BTC,"$198,116",$288.36
Livecoin,ETH/USD,"$197,994",$281.50
Bitfinex,SAN/ETH,"$189,202",$285.50
Poloniex,GNO/ETH,"$189,169",$280.61
ETHEXIndia,ETH/INR,"$178,830",$303.62
Bittrex,GNT/ETH,"$178,678",$289.66
Liqui,MGO/ETH,"$171,407",$293.01
Liqui,OMG/ETH,"$170,192",$285.64
Bittrex,MYST/ETH,"$167,657",$283.43
Exmo,ETH/EUR,"$167,209",$284.57
EtherDelta,XRL/ETH,"$165,912",$285.32
Yobtc,ETH/CNY,"$165,324",$309.26
Lykke Exchange,ETH/USD,"$158,512",$291.93
Bittrex,XEM/ETH,"$157,003",$288.17
Bittrex,MCO/ETH,"$154,161",$282.65
Bittrex,WAVES/ETH,"$150,791",$281.27
Bittrex,STORJ/ETH,"$142,499",$288.08
Liqui,BCAP/ETH,"$140,242",$285.35
EtherDelta,IXT/ETH,"$138,043",$287.78
Bittrex,FUN/ETH,"$137,209",$283.07
Cryptopia,ETH/BTC,"$132,279",$288.06
Exmo,ETH/LTC,"$131,814",$285.85
Liqui,BAT/ETH,"$129,921",$284.73
HitBTC,BQX/ETH,"$129,899",$300.31
BTC Markets,ETH/BTC,"$127,905",$286.40
CoinExchange,BQX/ETH,"$125,058",$290.32
Liqui,SNM/ETH,"$124,906",$288.69
Binance,BNT/ETH,"$122,798",$286.33
Exmo,ETH/RUB,"$120,766",$285.92
Kraken,ETC/ETH,"$120,251",$287.91
Kraken,ETH/CAD,"$119,876",$284.83
Lykke Exchange,ETH/LKK,"$118,988",$291.05
Liqui,NET/ETH,"$115,442",$283.93
Liqui,SNGLS/ETH,"$115,051",$293.81
HitBTC,BET/ETH,"$114,629",$288.45
EtherDelta,DICE/ETH,"$114,079",$260.80
Liqui,OAX/ETH,"$113,917",$285.81
Bittrex,GUP/ETH,"$113,056",$305.78
Liqui,TAAS/ETH,"$111,482",$285.77
Lykke Exchange,ETH/CHF,"$109,029",$297.30
Kraken,REP/ETH,"$108,533",$285.82
EtherDelta,PAY/ETH,"$106,727",$281.39
Liqui,PAY/ETH,"$105,941",$285.94
Bittrex,ETC/ETH,"$105,844",$283.69
HitBTC,IXT/ETH,"$105,815",$285.38
Bittrex,XLM/ETH,"$105,006",$290.11
Bittrex,ADX/ETH,"$101,885",$293.58
Quoine,ETH/JPY,"$101,239",$298.75
Liqui,ICN/ETH,"$101,033",$288.46
Poloniex,REP/ETH,"$99,926",$283.90
YoBit,ETH/RUR,"$96,595",$301.54
Liqui,GNT/ETH,"$94,601",$286.94
BTC Alpha,ETH/USD,"$93,957",$285.50
Altcoin Trader,ETH/ZAR,"$87,641",$375.22
Bittrex,TRST/ETH,"$87,402",$283.10
Bittrex,NMR/ETH,"$87,327",$287.21
Liqui,EOS/ETH,"$87,128",$288.29
EtherDelta,OMG/ETH,"$85,657",$293.34
Mr. Ripple,XRP/ETH,"$84,715",$265.35
Liqui,BNT/ETH,"$83,102",$289.82
Bittrex,ANT/ETH,"$81,991",$289.57
Liqui,SNT/ETH,"$81,933",$284.50
Lykke Exchange,ETH/EUR,"$80,490",$296.19
EtherDelta,TIX/ETH,"$79,958",$294.80
Bittrex,FCT/ETH,"$76,900",$277.92
CoinExchange,ETH/BTC,"$76,611",$290.56
Liqui,STORJ/ETH,"$75,966",$291.62
Poloniex,LSK/ETH,"$74,178",$284.80
Liqui,SAN/ETH,"$73,955",$282.52
Liqui,CVC/ETH,"$73,077",$285.38
Liqui,ANT/ETH,"$72,373",$287.47
Liqui,QTUM/ETH,"$71,183",$289.38
Mercatox,ETH/BTC,"$70,746",$344.51
Bittrex,ZEC/ETH,"$70,703",$283.64
Liqui,WAVES/ETH,"$70,348",$288.15
Gatehub,ETH/EUR,"$69,111",$306.46
Kraken,GNO/ETH,"$68,383",$284.09
Liqui,PTOY/ETH,"$66,780",$287.58
Liqui,ADX/ETH,"$66,113",$289.75
Liqui,BCC/ETH,"$65,437",$287.93
Liqui,MYST/ETH,"$65,342",$287.25
BTER,ETH/BTC,"$65,284",$286.21
