volume,combo,nr_tokens,priceUSD,nr_txs,prva,druga
817665.120156,BTCETH,2820.69389693,289.595394292,1084,BTC,ETH
3409430.24671,BTCEUR,801.58303663,4268.96037353,2652,BTC,EUR
167986.289939,BTCLTC,3837.90509909,43.5865212601,346,BTC,LTC
26784839.9104,BTCUSD,6309.88495767,4250.95108035,8812,BTC,USD
946153.370778,BTCXRP,6063311.94257,0.153744461751,1451,BTC,XRP
836215.53158,ETHBTC,2896.59777476,288.91598511,1110,ETH,BTC
730787.866385,ETHEUR,2424.98658534,301.813044311,1503,ETH,EUR
1156005.45093,ETHUSD,3846.39617177,300.319717042,1555,ETH,USD
4086925.79214,EURBTC,955.42516307,4280.37515827,4376,EUR,BTC
517448.6972,EURETH,1711.32695544,302.799912662,1232,EUR,ETH
217048.406522,EURLTC,4731.46990902,45.9582799031,826,EUR,LTC
1113132.48002,EURUSD,952781.54458,1.16826292172,2389,EUR,USD
317042.207131,EURXRP,1968346.09934,0.160441335159,1132,EUR,XRP
293831.146803,LTCBTC,6709.07065532,43.6474104735,623,LTC,BTC
462262.636558,LTCEUR,10052.3913209,45.8978331866,1136,LTC,EUR
715477.697792,LTCUSD,15762.0813169,45.4750128096,1171,LTC,USD
32474108.2758,USDBTC,7614.40324328,4268.46021151,15082,USD,BTC
1285384.43515,USDETH,4251.35265097,302.432221498,1535,USD,ETH
296313.611683,USDEUR,253152.65634,1.17036122622,473,USD,EUR
1361366.10558,USDLTC,29871.5891994,45.6765052115,1631,USD,LTC
1244215.93169,USDXRP,7721895.54919,0.160546672052,1857,USD,XRP
743331.58586,XRPBTC,4808973.28096,0.153826672117,1162,XRP,BTC
510404.062286,XRPEUR,3179557.63656,0.160156591361,1389,XRP,EUR
1283382.65366,XRPUSD,8100723.17964,0.158820511296,1682,XRP,USD
